id,b,se,vola,ub95,lb95,ub90,lb90
40,38.638092,.87208354,1,40.347374,36.92881,40.06831,37.207874
42,37.682022,.4303396,0,38.525486,36.838558,38.387779,36.976265
42,38.850094,.89791918,1,40.610016,37.090172,40.322681,37.377506
44,37.748398,.45093289,0,38.632225,36.864571,38.487926,37.008869
44,39.062092,.92441452,1,40.873943,37.25024,40.578133,37.546051
46,37.814774,.47164112,0,38.739189,36.890358,38.588264,37.041283
46,39.274094,.95151442,1,41.139061,37.409126,40.834576,37.713612
48,37.881153,.49244976,0,38.846355,36.915951,38.68877,37.073536
48,39.486095,.97916865,1,41.405266,37.566925,41.09193,37.88026
50,37.947529,.51334661,0,38.95369,36.941368,38.789417,37.10564
50,39.698097,1.0073316,1,41.672466,37.723728,41.350121,38.046074
