id,b,se,pb,vola,ub95,lb95,ub90,lb90
-34,27.130356,1.7191885,1,1,30.499966,23.760746,29.949825,24.310886
-36,35.301567,1.0458249,1,0,37.351383,33.251751,37.01672,33.586414
-36,26.624496,1.8251859,1,1,30.20186,23.047132,29.617802,23.631191
-38,35.248741,1.1091835,1,0,37.422741,33.074741,37.067802,33.42968
-38,26.118635,1.9321427,1,1,29.905636,22.331635,29.28735,22.949921
-40,35.195911,1.1726408,1,0,37.494286,32.897537,37.119041,33.272781
-40,25.612774,2.0399082,1,1,29.610994,21.614553,28.958223,22.267324
-42,35.143085,1.2361816,1,0,37.566002,32.720169,37.170422,33.115749
-42,25.106913,2.1483605,1,1,29.317699,20.896126,28.630224,21.583601
-44,35.090256,1.2997936,1,0,37.637852,32.54266,37.221916,32.958595
-44,24.601051,2.2574005,1,1,29.025557,20.176546,28.303188,20.898914
-46,35.037426,1.3634669,1,0,37.70982,32.365032,37.27351,32.801342
-46,24.095192,2.3669474,1,1,28.734409,19.455975,27.976986,20.213398
-48,34.9846,1.427193,1,0,37.781898,32.187302,37.325195,32.644005
-48,23.589331,2.4769335,1,1,28.44412,18.734541,27.651501,19.527161
-50,34.93177,1.4909656,1,0,37.854061,32.00948,37.376953,32.486588
-50,23.083469,2.5873032,1,1,28.154583,18.012356,27.326647,18.840292
