valgstedid;voters;votes;a;b;c;v;year;vsnavn;komnavn;kredsnavn;kontanthjaelp;arbejd;boligstoer_kvm;ejer;formue;indkomst;indkomst_80pct;_merge
101001;13452;11847;2538;1420;390;1427;2015;1. Østerbro;København;1. Østerbro;.041090039;.697420126;83.70579619;.144020038;307674.2602;431751.3591;647888;3
101002;5695;4890;1077;520;234;669;2015;1. Nord;København;1. Østerbro;.03920402;.634933228;88.9856329;.236269174;930278.3791;462669.8207;6473305;3
101003;14173;12677;2720;1519;416;1448;2015;1. Syd;København;1. Østerbro;.038398346;.708713165;91.01405318000001;.157251137;423562.6797;462381.6227;1391748;3
101005;10805;9126;2186;866;279;937;2015;1. Vest;København;1. Østerbro;.042122696;.637456797;75.59789499999999;.135816546;241680.5922;376664.5243;572478;3
101006;9509;8208;2113;757;222;858;2015;1. Nordvest;København;1. Østerbro;.048786548;.637206991;75.11392404999999;.174501636;402645.3381;393325.3429;5922115;3
101007;12822;10173;2623;640;220;932;2015;2. Sundbyvester;København;2. Sundbyvester;.047604491;.592152068;79.64253898;.27326358;515870.0495;399605.5274;618742;3
101008;12499;10079;2241;868;185;880;2015;2. Nord;København;2. Sundbyvester;.054926848;.627610354;71.52605882;.081574767;96263.40007;350907.0763;516947;3
101009;9229;7854;1626;777;195;934;2015;2. Syd;København;2. Sundbyvester;.034234805;.743216353;76.76646148;.331655481;415894.994;408621.32;684156;3
101010;9926;8874;1733;1055;286;1084;2015;2. Vest;København;2. Sundbyvester;.042408377;.684816754;84.63854411;.158485508;208085.4326;487014.6556;733028;3
101011;14012;10848;1948;1372;367;1090;2015;3. Indre By;København;3. Indre By;.054484194;.686728184;95.19419345999999;.16509804;657328.9479;469821.5117;1010464.2;3
101012;6234;5672;1154;732;240;704;2015;3. Nord;København;3. Indre By;.033441898;.710247761;112.2196146;.260064213;1322753.454;568102.8374;838287;3
101013;9107;8036;1572;858;165;671;2015;3. Syd;København;3. Indre By;.044805936;.652302131;84.32027442;.194883638;636159.8717;451898.8792;674244;3
101014;11352;9809;1888;1082;488;1387;2015;3. Øst;København;3. Indre By;.031800181;.70721272;91.83275897;.142313011;767685.6884;486894.1315;1082012.8;3
101016;8491;6852;1548;547;143;625;2015;4. Sundbyøster;København;4. Sundbyøster;.053237095;.611636045;67.37518685000001;.148812192;145836.8005;346828.0652;514795;3
101017;14371;11827;2424;1004;249;1108;2015;4. Nord;København;4. Sundbyøster;.053393691;.665017151;67.05454365;.134118579;78848.58968999999;342795.0612;505428;3
101018;8164;6819;1613;475;161;686;2015;4. Syd;København;4. Sundbyøster;.046767804;.644506716;71.46844659999999;.285441941;431831.6089;394433.4362;583560;3
101019;8720;7478;1754;665;202;856;2015;4. Øst;København;4. Sundbyøster;.036756453;.669659559;79.6563214;.453127971;896554.6058;457325.738;711249;3
101020;10225;8653;1553;933;147;448;2015;5. Nørrebro;København;5. Nørrebro;.060075651;.6635021880000001;62.4844358;.02930118;-20678.83355;299243.6036;4550085;3
101021;13678;11140;1871;1165;145;705;2015;5. Nord;København;5. Nørrebro;.062427685;.673082991;71.38086737;.091327545;10654.54959;330737.9939;481414;3
101022;5857;4880;809;490;87;283;2015;5. Syd;København;5. Nørrebro;.055436465;.659402167;86.46523798;.090614887;200248.703;392287.2522;582215;3
101023;5397;4722;847;643;93;315;2015;5. Øst;København;5. Nørrebro;.049440442;.660738924;80.64234621;.076725613;174244.3495;385555.1472;585999;3
101024;6962;6018;1057;663;62;312;2015;5. Vest;København;5. Nørrebro;.061659561;.663168252;75.00211327;.032544379;-68765.96150999999;360916.1286;538159;3
101025;10010;8565;1413;874;118;459;2015;5. Nordvest;København;5. Nørrebro;.06521215;.643924783;69.19244962000001;.086703562;-40361.84372;324411.3777;474275;3
101026;3267;2736;511;297;54;188;2015;5. Midt;København;5. Nørrebro;.053364269;.585717969;66.35037954000001;.079105074;159618.0408;292805.1978;425356;3
101027;15285;11720;2415;925;224;857;2015;6. Bispebjerg;København;6. Utterslev;.062352146;.609472312;63.9214939;.102522858;63421.10169;321837.3161;4713215;3
101028;7293;5774;1475;435;150;442;2015;6. Nord;København;6. Utterslev;.054243843;.559841238;69.06516609000001;.143608341;460242.9007;363486.2628;543376;3
101029;4040;3243;908;193;74;248;2015;6. Øst;København;6. Utterslev;.053712339;.56151363;69.32339089;.107378336;365473.3289;350184.0934;518419;3
101030;9467;7650;1453;652;132;490;2015;6. Syd;København;6. Utterslev;.069141316;.6142243200000001;63.93441415;.057012375;-31205.36841;312019.1478;452822;3
101031;3851;3358;832;245;120;370;2015;7. Brønshøj;København;7. Brønshøj;.033676704;.6737321710000001;84.46013289;.430533118;906008.5346;482144.4091;756363;3
101032;2270;1414;485;45;15;54;2015;7. Nord;København;7. Brønshøj;.071301248;.5798087830000001;76.4852071;0;4048.674118;283151.1122;4281685;3
101033;7103;6131;1435;535;169;591;2015;7. Syd;København;7. Brønshøj;.039772727;.635454545;78.20458850999999;.215187211;356902.0778;415249.6375;1256014;3
101034;7837;6675;1700;498;158;551;2015;7. Øst;København;7. Brønshøj;.041593896;.619358397;84.07830648;.300561798;662210.0357;432909.4579;8718867;3
101035;6032;4534;1224;280;111;371;2015;7. Vest;København;7. Brønshøj;.051868347;.554312405;69.19563875999999;.22773092;450580.1194;359668.679;539352;3
101036;8018;6735;1782;422;165;660;2015;7. Nordvest;København;7. Brønshøj;.04034803;.617347399;88.09218318000001;.426964074;857173.2415;464637.5837;742832;3
101039;4373;3749;914;299;130;405;2015;7. Katrinedal;København;7. Brønshøj;.042297502;.621309614;69.40506735;.213850593;485930.0686;398367.1658;577033;3
101040;5122;4523;1033;380;157;474;2015;7. Kirkebjerg;København;7. Brønshøj;.030054645;.702816309;96.09481583;.5929836509999999;1207938.496;561502.7306;832896;3
101041;10077;8622;2135;665;215;952;2015;7. Vanløse;København;7. Brønshøj;.043549648;.627208757;72.21468144000001;.28992527;607096.027;406610.1041;593342;3
101042;8081;6880;1713;580;215;707;2015;8. Valby;København;8. Valby;.040116801;.663791554;82.04925651000001;.330980684;752724.5882999999;444237.7677;6854455;3
101043;8512;7350;1597;682;188;777;2015;8. Nord;København;8. Valby;.047560164;.664700847;74.19390162000001;.186397985;287020.3504;402014.8026;1176242;3
101044;4535;3507;1064;167;83;309;2015;8. Syd;København;8. Valby;.048565291;.557925426;69.34782609;.280498406;491993.6769;360855.6909;556745;3
101046;4822;3733;992;229;81;304;2015;8. Vest;København;8. Valby;.055020021;.571407385;67.10220994;.177900552;317348.7723;353662.6182;539607;3
101047;3782;3042;762;240;58;264;2015;8. Sydøst;København;8. Valby;.053436631;.596344855;81.08042242000001;.214922952;481366.2066;386422.9275;592005;3
101048;6194;5269;1304;448;144;525;2015;8. Midt;København;8. Valby;.048402846;.6129167250000001;71.51225115;.173214286;309018.9482;388410.1307;590001;3
101049;7040;6264;1152;743;98;337;2015;9. Vesterbro;København;9. Vesterbro;.063817011;.665247298;76.00593533;.063011457;-66663.43493;381802.5566;567552;3
101050;8190;7096;1240;929;142;468;2015;9. Nord;København;9. Vesterbro;.06186472;.6807429310000001;77.20280341;.121518538;38236.92117;385874.703;571698;3
101051;8483;6638;1555;319;93;398;2015;9. Syd;København;9. Vesterbro;.069450569;.545550754;62.43721973;.158527535;75815.57122;314243.7547;455385;3
101052;6261;5488;1041;705;107;385;2015;9. Øst;København;9. Vesterbro;.056514639;.70185466;87.12353364000001;.086165629;67281.86508;419270.6652;627557;3
101053;5423;4705;910;535;71;300;2015;9. Vest;København;9. Vesterbro;.06190032;.651652452;80.7408896;.076861275;94984.04760999999;410281.3335;612652;3
101054;2944;2389;513;177;34;170;2015;9. Midt;København;9. Vesterbro;.049570668;.6581196070000001;71.54391234000001;.173775829;166865.0327;384012.2913;258458.65;3
101055;3991;3515;627;426;148;568;2015;9. Sydhavn;København;9. Vesterbro;.049570548;.658121574;71.54329284000001;.173778011;166864.865;384011.9053;349161.35;3
147001;8154;7295;1560;960;399;817;2015;10. Kreds, Søerne;Frederiksberg;10. Falkoner;.032097649;.664737794;109.2977919;.232725892;915828.4681000001;548221.2358;809046;3
147002;8552;7728;1646;896;508;1043;2015;10. Kreds, Ny Hollænder;Frederiksberg;10. Falkoner;.029165918;.649020313;104.9855151;.312285146;1156484.675;542554.373;808041;3
147003;10987;9811;2028;1292;516;1164;2015;10. Kreds, Bülowsvej;Frederiksberg;10. Falkoner;.033302759;.664926268;89.79256359999999;.159645233;522965.5458;465840.8923;705717;3
147004;10086;8841;1900;992;547;1105;2015;10. Kreds, Duevej;Frederiksberg;10. Falkoner;.034658357;.6527323860000001;86.4575248;.287458698;900973.5071000001;472324.8179;686840;3
147005;10136;8523;1893;765;508;1042;2015;11. Kreds, Lindevang;Frederiksberg;11. Slots;.043603988;.607031428;78.24668142;.154578854;528946.9259;404087.9549;595912;3
147006;8819;7635;1798;579;513;1122;2015;11. Kreds, Søndermark;Frederiksberg;11. Slots;.030078852;.558784442;82.64136565;.199360341;850342.369;419597.1213;605923;3
147007;9890;8485;1838;879;506;1110;2015;11. Kreds, Rådhuset;Frederiksberg;11. Slots;.03729505;.634362251;82.78743316000001;.196258907;677652.7966;451754.9147;673596;3
147008;7936;7194;1466;826;334;887;2015;11. Kreds, Nyelandsvej;Frederiksberg;11. Slots;.042216089;.668813247;71.60639413;.18048525;333213.9327;409855.6052;603506;3
151001;4257;3546;1412;79;50;320;2015;Tapeten;Ballerup;8. Ballerup;.032645769;.560500244;93.38020833;.219428178;548393.7434;405182.9385;623523;3
151002;6228;5034;1890;105;89;507;2015;Rugvængets Skole;Ballerup;8. Ballerup;.038936885;.493760499;78.93645485;.189128982;457684.655;365492.9755;545623;3
151003;2656;2423;806;93;76;389;2015;Højagerskolen;Ballerup;8. Ballerup;.017405494;.637748164;110.9223962;.441797141;1222839.532;569163.2023;858559;3
151004;2786;2297;852;28;27;199;2015;Grantoftehallen;Ballerup;8. Ballerup;.041470311;.587181904;93.90381515;.114868492;230133.0146;402159.7289;626353;3
151005;3678;3400;1125;160;101;623;2015;Rosenlundskolen;Ballerup;8. Ballerup;.017364658;.661082737;120.7447368;.891472868;2087405.886;633521.429;906097;3
151006;3844;3094;1300;48;28;202;2015;Lundebjergskolen;Ballerup;8. Ballerup;.035921766;.451394268;79.77712509;.008632597;199228.8339;329719.2754;485628;3
151007;1669;1474;437;83;37;254;2015;Tidl. Skovlunde Lokalkontor;Ballerup;8. Ballerup;.021748311;.682432432;98.57354393;.68503937;1426613.999;527319.2691;830361;3
151008;4084;3637;1168;177;124;618;2015;Måløv Ny Hal;Ballerup;8. Ballerup;.027985075;.657835821;105.1193694;.552608311;1300229.921;577301.1263;857010;3
151009;3224;2981;918;182;94;485;2015;Egebjerghallen;Ballerup;8. Ballerup;.019815668;.644930876;109.2337263;.579324463;1579352.573;584532.3537;8868875;3
151010;2082;1908;579;105;48;270;2015;Østerhøjhallen;Ballerup;8. Ballerup;.024574366;.692579505;106.0578512;.396366639;1024921.155;577342.4967;834592;3
153001;3254;2898;1001;90;51;417;2015;Brøndbyvester Skole;Brøndby;6. Brøndby;.023533503;.608856944;106.098546;.722431415;1283233.383;532681.2333;780156;3
