"ValgId";"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"Antal personer opgjort efter forsørgelsestype og afstemningsområde_01. Arbejdsløshedsdagpenge";"Antal personer opgjort efter forsørgelsestype og afstemningsområde_02. Sygedagpenge";"Antal personer opgjort efter forsørgelsestype og afstemningsområde_03. Barselsdagpenge";"Antal personer opgjort efter forsørgelsestype og afstemningsområde_04. Kontanthjælp";"Antal personer opgjort efter forsørgelsestype og afstemningsområde_05. Revalidering";"Antal personer opgjort efter forsørgelsestype og afstemningsområde_06. Aktivering";"Antal personer opgjort efter forsørgelsestype og afstemningsområde_07. Folkepension";"Antal personer opgjort efter forsørgelsestype og afstemningsområde_08. Førtidspension";"Antal personer opgjort efter forsørgelsestype og afstemningsområde_09. Efterløn";"Antal personer opgjort efter forsørgelsestype og afstemningsområde_10. Modtager ikke ydelser";"Antal personer opgjort efter forsørgelsestype og afstemningsområde_11. Ledighedsydelse og Fleksjob";"Antal personer opgjort efter forsørgelsestype og afstemningsområde_Antal personer i alt";"Boligstørrelse_Antal boliger_000-039";"Boligstørrelse_Antal boliger_040-079";"Boligstørrelse_Antal boliger_080-119";"Boligstørrelse_Antal boliger_120-159";"Boligstørrelse_Antal boliger_160-199";"Boligstørrelse_Antal boliger_200-";"Boligstørrelse_Antal boliger_Ingen BBR";"Boligstørrelse_Antal personer_000-039";"Boligstørrelse_Antal personer_040-079";"Boligstørrelse_Antal personer_080-119";"Boligstørrelse_Antal personer_120-159";"Boligstørrelse_Antal personer_160-199";"Boligstørrelse_Antal personer_200-";"Boligstørrelse_Antal personer_Ingen BBR";"Boligtype_Antal boliger_01. Stuehuse og parcelhuse";"Boligtype_Antal boliger_02. Række- og kædehuse";"Boligtype_Antal boliger_03. Flerfamiliehuse";"Boligtype_Antal boliger_04. Kollegier";"Boligtype_Antal boliger_05. Sommerhuse";"Boligtype_Antal boliger_06. Øvrige boliger";"Boligtype_Antal personer_01. Stuehuse og parcelhuse";"Boligtype_Antal personer_02. Række- og kædehuse";"Boligtype_Antal personer_03. Flerfamiliehuse";"Boligtype_Antal personer_04. Kollegier";"Boligtype_Antal personer_05. Sommerhuse";"Boligtype_Antal personer_06. Øvrige boliger";"Ejerforhold_Antal boliger_01. Ejerbolig";"Ejerforhold_Antal boliger_02. Andelsbolig";"Ejerforhold_Antal boliger_03. Almennyttig bolig";"Ejerforhold_Antal boliger_04. Lejer i offentligt ejet";"Ejerforhold_Antal boliger_05. Privat lejerbolig";"Ejerforhold_Antal boliger_06. Øvrige beboede boliger";"Ejerforhold_Antal personer_01. Ejerbolig";"Ejerforhold_Antal personer_02. Andelsbolig";"Ejerforhold_Antal personer_03. Almennyttig bolig";"Ejerforhold_Antal personer_04. Lejer i offentligt ejet";"Ejerforhold_Antal personer_05. Privat lejerbolig";"Ejerforhold_Antal personer_06. Øvrige beboede boliger";"Husstandsindkomster fordelt på afstemningsområder_100.000 - 149.999 kr";"Husstandsindkomster fordelt på afstemningsområder_150.000 - 199.999 kr.";"Husstandsindkomster fordelt på afstemningsområder_200.000 - 299.999 kr.";"Husstandsindkomster fordelt på afstemningsområder_300.000 - 399.999 kr.";"Husstandsindkomster fordelt på afstemningsområder_400.000 - 499.999 kr.";"Husstandsindkomster fordelt på afstemningsområder_50%-percentil for husstandsindkomst";"Husstandsindkomster fordelt på afstemningsområder_500.000 - 749.999 kr.";"Husstandsindkomster fordelt på afstemningsområder_750.000 kr.-";"Husstandsindkomster fordelt på afstemningsområder_80%-percentil for husstandsindkomst";"Husstandsindkomster fordelt på afstemningsområder_Antal husstande i alt";"Husstandsindkomster fordelt på afstemningsområder_Bruttoindkomst for de 20%, der tjener mest";"Husstandsindkomster fordelt på afstemningsområder_Bruttoindkomst for de 50%, der tjener mest";"Husstandsindkomster fordelt på afstemningsområder_Husstandenes formuesum";"Husstandsindkomster fordelt på afstemningsområder_Husstandenes indkomstbruttosum";"Husstandsindkomster fordelt på afstemningsområder_Sum af formue for de 20%, der tjener mest";"Husstandsindkomster fordelt på afstemningsområder_Sum af formue for de 50%, der tjener mest";"Husstandsindkomster fordelt på afstemningsområder_Under 100.000 kr."
"28";"756001";"756001";"79";"9";"3";"149";"133";"74";"22";"7";"38";"452";"70";"61";"1473";"38";"2517";"16";"175";"259";"346";"176";"126";"2";"23";"215";"496";"896";"485";"398";"4";"813";"180";"86";"1";"1";"19";"2076";"265";"125";"2";"1";"48";"756";"23";"103";"4";"175";"39";"1917";"32";"136";"13";"317";"102";"144";"93";"157";"145";"90";"392257";"302";"152";"681522";"1101";"-";"-";"1211693848";"510066989";"-";"-";"18"
"28";"756002";"756002";"79";"9";"3";"33";"32";"23";"5";"1";"16";"69";"21";"14";"386";"7";"607";"0";"15";"53";"67";"61";"32";"2";"0";"34";"101";"174";"183";"112";"3";"213";"13";"0";"0";"0";"4";"576";"20";"0";"0";"0";"11";"185";"8";"3";"1";"20";"13";"500";"14";"3";"3";"47";"40";"19";"14";"30";"30";"15";"509926";"80";"34";"689739";"223";"-";"-";"330873853";"120322477";"-";"-";"1"
"28";"756003";"756003";"79";"9";"3";"153";"148";"68";"29";"4";"65";"492";"119";"74";"1300";"31";"2483";"17";"195";"348";"299";"161";"125";"4";"27";"261";"632";"708";"458";"387";"8";"807";"197";"113";"0";"0";"32";"1946";"276";"184";"0";"0";"75";"749";"43";"93";"12";"210";"42";"1762";"62";"134";"17";"405";"101";"158";"88";"200";"165";"126";"376313";"293";"123";"638851";"1169";"-";"-";"998765256";"503546243";"-";"-";"16"
"28";"756004";"756004";"79";"9";"3";"49";"27";"22";"8";"1";"23";"46";"29";"14";"353";"6";"578";"3";"25";"64";"65";"41";"32";"0";"4";"49";"133";"170";"115";"107";"0";"217";"7";"5";"0";"0";"1";"556";"10";"10";"0";"0";"2";"178";"7";"3";"2";"34";"6";"465";"9";"4";"5";"77";"18";"21";"18";"26";"37";"39";"420384";"58";"27";"654096";"234";"-";"-";"142372734";"103171768";"-";"-";"8"
"28";"756005";"756005";"79";"9";"3";"61";"58";"29";"11";"2";"30";"196";"46";"24";"597";"8";"1062";"1";"43";"134";"145";"81";"59";"2";"2";"58";"236";"347";"223";"191";"5";"391";"29";"43";"0";"0";"2";"961";"39";"57";"0";"0";"5";"332";"8";"12";"24";"64";"25";"818";"9";"14";"24";"138";"59";"71";"38";"74";"51";"50";"382926";"108";"61";"665038";"465";"-";"-";"515889311";"198742420";"-";"-";"12"
"28";"756006";"756006";"79";"9";"3";"46";"30";"25";"3";"1";"10";"54";"23";"10";"288";"9";"499";"0";"14";"61";"72";"37";"23";"0";"0";"19";"124";"175";"96";"85";"0";"197";"7";"2";"0";"0";"1";"488";"7";"3";"0";"0";"1";"175";"0";"0";"2";"24";"6";"420";"0";"0";"9";"58";"12";"17";"15";"36";"22";"27";"424817";"71";"21";"6713035";"215";"-";"-";"192441125";"98518347";"-";"-";"6"
"28";"756007";"756007";"79";"9";"3";"440";"385";"255";"77";"18";"155";"1345";"313";"197";"4212";"84";"7481";"42";"627";"1125";"884";"435";"240";"11";"67";"828";"2154";"2296";"1299";"811";"25";"2106";"327";"871";"0";"0";"60";"5515";"497";"1315";"0";"0";"153";"1989";"102";"462";"122";"603";"86";"5125";"158";"784";"139";"1094";"180";"428";"284";"579";"409";"299";"3788895";"819";"490";"679946";"3374";"-";"-";"2148944460";"1529968611";"-";"-";"66"
"28";"756008";"756008";"79";"9";"3";"64";"72";"38";"12";"0";"23";"128";"54";"17";"608";"13";"1029";"1";"32";"112";"123";"71";"56";"0";"2";"58";"247";"340";"204";"178";"0";"366";"10";"14";"0";"0";"5";"969";"14";"34";"0";"0";"12";"326";"0";"5";"4";"47";"13";"848";"0";"9";"4";"136";"32";"25";"24";"58";"49";"53";"4727415";"124";"48";"6785875";"390";"-";"-";"454897251";"190535176";"-";"-";"9"
"28";"756009";"756009";"79";"9";"3";"23";"29";"19";"1";"0";"9";"51";"19";"7";"361";"5";"524";"1";"1";"53";"53";"39";"44";"2";"2";"1";"115";"126";"104";"171";"5";"179";"6";"3";"0";"0";"5";"491";"14";"8";"0";"0";"11";"159";"8";"0";"1";"18";"7";"436";"17";"0";"2";"49";"20";"6";"13";"25";"26";"16";"549490";"68";"37";"742664";"193";"-";"-";"199348605";"106648992";"-";"-";"2"
"28";"756010";"756010";"79";"9";"3";"19";"17";"22";"2";"1";"7";"28";"5";"7";"250";"4";"362";"0";"2";"27";"34";"29";"32";"0";"0";"2";"60";"98";"94";"108";"0";"123";"0";"0";"0";"0";"1";"356";"0";"0";"0";"0";"6";"106";"0";"0";"0";"14";"4";"319";"0";"0";"0";"32";"11";"3";"3";"12";"8";"7";"582784";"57";"30";"8076485";"125";"-";"-";"237114548";"69052337";"-";"-";"5"
