valgstedid;voters;votes;a;b;c;v;year;vsnavn;komnavn;kredsnavn;kontanthjaelp;arbejd;boligstoer_kvm;ejer;formue;indkomst;indkomst_80pct;_merge
101001;9231;7544;1631;1425;767;1366;2005;Ryvang;København;1. Kbh. Ryvang;;;82.86388502;.156569093;;;;3
101002;4051;3186;960;394;207;476;2005;Ryvang Vest;København;1. Kbh. Ryvang;;;87.75599129;.237472767;;;;3
101003;16557;13139;2994;2359;1133;2276;2005;Ryvang Syd;København;1. Kbh. Ryvang;;;89.09427682000001;.136287062;;;;3
101004;7615;6514;1388;1349;447;904;2005;Christianshavn;København;2. Kbh. Christianshavn;;;;;;;;1
101005;3652;2972;788;409;137;469;2005;Christianshavn Syd;København;2. Kbh. Christianshavn;;;71.19324542;.107512747;;;;3
101006;11110;8663;2340;1362;604;1349;2005;Christianshavn Øst;København;2. Kbh. Christianshavn;;;73.42694994;.176222352;;;;3
101007;6173;5140;1261;951;389;880;2005;Christianshavn Vest;København;2. Kbh. Christianshavn;;;77.029881;.255538059;;;;3
101008;10958;7625;1407;1881;786;1236;2005;Rådhus;København;3. Kbh. Rådhus;;;70.86769782;.093797621;;;;3
101009;6556;5539;910;1091;766;1401;2005;Rådhus Øst;København;3. Kbh. Rådhus;;;63.65478245;.277186261;;;;3
101010;6776;5790;969;1256;687;1279;2005;Rådhus Vest;København;3. Kbh. Rådhus;;;74.11368232;.067625253;;;;3
101011;8633;6763;1873;866;442;1211;2005;Sundby;København;4. Kbh. Sundby;;;92.87698103;.153082365;;;;3
101012;4202;3508;896;451;260;705;2005;Sundby Øst;København;4. Kbh. Sundby;;;110.3804301;.279275664;;;;3
101013;13353;10031;3110;1094;558;1710;2005;Sundby Vest;København;4. Kbh. Sundby;;;82.15938051000001;.215055871;;;;3
101014;6413;5104;1079;1059;296;544;2005;Blågård;København;5. Kbh. Blågård;;;90.11410248;.151880678;;;;3
101015;3708;3204;657;716;285;490;2005;Blågård Nord;København;5. Kbh. Blågård;;;;;;;;1
101016;4854;4099;814;1024;311;520;2005;Blågård Syd;København;5. Kbh. Blågård;;;66.97436594;.202584875;;;;3
101017;10347;8797;1716;1882;1035;1590;2005;Østbane;København;6. Kbh. Østbane;;;64.60239285;.139614923;;;;3
101018;4450;3968;690;946;458;739;2005;Østbane Syd;København;6. Kbh. Østbane;;;69.08108537;.279880636;;;;3
101019;8010;6587;1854;701;448;1094;2005;Husum;København;7. Kbh. Husum;;;74.97750048;.362637823;;;;3
101020;2899;2119;844;223;66;148;2005;Husum Nord;København;7. Kbh. Husum;;;63.92092507;.041059459;;;;3
101021;4276;3567;911;505;237;516;2005;Husum Øst;København;7. Kbh. Husum;;;69.11154375;.126870515;;;;3
101022;6305;4823;1371;520;331;678;2005;Husum Vest;København;7. Kbh. Husum;;;84.37254425;.081144197;;;;3
101023;6633;5475;1382;876;473;878;2005;Valby;København;8. Kbh. Valby;;;79.67597764999999;.082960894;;;;3
101024;4571;3752;897;576;337;646;2005;Valby Nord;København;8. Kbh. Valby;;;72.03088002;.04742113;;;;3
101025;4807;3744;1155;421;256;599;2005;Valby Syd;København;8. Kbh. Valby;;;66.94082206;.096934769;;;;3
101026;4915;3917;1093;569;301;580;2005;Valby Øst;København;8. Kbh. Valby;;;;.10398482;;;;3
101027;4942;3713;1220;432;253;498;2005;Valby Vest;København;8. Kbh. Valby;;;60.54888675;.089399535;;;;3
101028;14059;11095;2918;1772;733;1799;2005;Amagerbro;København;9. Kbh. Amagerbro;;;67.34328836;.18838344;;;;3
101029;9908;7847;2083;1115;470;1345;2005;Amagerbro Syd;København;9. Kbh. Amagerbro;;;69.69850841;.086004443;;;;3
101030;13640;11387;2229;2553;1197;2037;2005;Østerbro;København;10. Kbh. Østerbro;;;62.64749347;.07845946;;;;3
101031;5657;4696;792;829;662;1113;2005;Østerbro Nord;København;10. Kbh. Østerbro;;;83.96725558999999;.469526825;;;;3
101032;6886;5655;1167;1477;310;569;2005;Nørrebro;København;11. Kbh. Nørrebro;;;73.76920263;;;;;3
101033;9294;7460;1528;1627;550;998;2005;Nørrebro Nord;København;11. Kbh. Nørrebro;;;78.50076743;.225664126;;;;3
101034;3203;2482;528;597;183;239;2005;Nørrebro Syd;København;11. Kbh. Nørrebro;;;81.31369887;.284288008;;;;3
101035;9923;8048;1676;1885;496;952;2005;Bispeeng;København;12. Kbh. Bispeeng;;;66.82749437;.21368572;;;;3
101036;9836;7494;1962;1239;526;1083;2005;Bispeeng Nord;København;12. Kbh. Bispeeng;;;85.07122233;.414051973;;;;3
101037;5199;4324;989;900;267;486;2005;Bispeeng Syd;København;12. Kbh. Bispeeng;;;;;;;;1
101038;1957;1735;467;268;147;249;2005;Bispeeng Vest;København;12. Kbh. Bispeeng;;;;;;;;1
101039;6171;5109;1052;1373;315;550;2005;Vesterbro;København;13. Kbh. Vesterbro;;;69.28196294;.230657503;;;;3
101040;7250;5985;1150;1662;429;730;2005;Vesterbro Øst;København;13. Kbh. Vesterbro;;;93.30881506999999;.5863125420000001;;;;3
101041;7123;5952;1257;1462;355;650;2005;Vesterbro Vest;København;13. Kbh. Vesterbro;;;72.07223308;.304855836;;;;3
101042;2907;2293;656;367;152;267;2005;Enghave;København;14. Kbh. Enghave;;;78.05616611000001;.311376267;;;;3
101043;5129;4209;984;955;251;385;2005;Enghave Nord;København;14. Kbh. Enghave;;;72.1360255;.20439249;;;;3
101044;8619;6494;1985;823;393;825;2005;Enghave Syd;København;14. Kbh. Enghave;;;69.07459734;.305736084;;;;3
101045;3903;3078;826;447;211;425;2005;Enghave Vest;København;14. Kbh. Enghave;;;;;;;;1
101046;3092;2586;551;469;273;504;2005;Enghave Nordvest;København;14. Kbh. Enghave;;;64.87429035;.168153555;;;;3
101047;15092;11126;3047;1651;758;1556;2005;Bispebjerg;København;15. Kbh. Bispebjerg;;;78.35137967;.185819071;;;;3
101048;4382;3578;869;536;297;506;2005;Bispebjerg Nord;København;15. Kbh. Bispebjerg;;;65.93553674;.143676591;;;;3
101049;4209;3625;828;533;314;625;2005;Brønshøj;København;16. Kbh. Brønshøj;;;73.33324745;.108855035;;;;3
101050;5078;4231;1114;555;351;651;2005;Bellahøj;København;16. Kbh. Brønshøj;;;73.82549978;.095309379;;;;3
101051;3415;2816;634;475;283;512;2005;Frederiksgård;København;16. Kbh. Brønshøj;;;61.45317788;.167468593;;;;3
101052;4591;3773;912;620;334;697;2005;Katrinedal;København;16. Kbh. Brønshøj;;;86.23717259999999;.074713117;;;;3
101053;4509;3872;859;606;365;697;2005;Kirkebjerg;København;16. Kbh. Brønshøj;;;78.59404123;.075860391;;;;3
101054;10834;9011;2113;1353;890;1616;2005;Vanløse;København;16. Kbh. Brønshøj;;;51.83444043;.078415649;;;;3
147001;7966;6845;1241;1438;1092;1246;2005;Gl. Kongevej Østre;Frederiksberg;1. Frb. Gl. Kongevej;;;106.9272314;.241425052;;;;3
147002;8162;7089;1206;1445;1365;1387;2005;Gl. Kongevej Vestre;Frederiksberg;1. Frb. Gl. Kongevej;;;104.4379774;.318479447;;;;3
147003;9155;7655;1724;1250;1186;1382;2005;Slots Nordre;Frederiksberg;2. Frb. Slots;;;91.54283042;.163971669;;;;3
147004;8715;7355;1558;1047;1478;1427;2005;Slots Søndre;Frederiksberg;2. Frb. Slots;;;87.2654077;.306982872;;;;3
147005;9190;7515;1521;1415;1275;1347;2005;Slots Østre;Frederiksberg;2. Frb. Slots;;;76.41540917;.165554266;;;;3
147006;7836;6817;1350;1360;958;1322;2005;Slots Vestre;Frederiksberg;2. Frb. Slots;;;85.66373125;.212654925;;;;3
147007;10767;9274;1743;1857;1511;1781;2005;Falkoner Østre;Frederiksberg;3. Frb. Falkoner;;;84.25131423000001;.196879769;;;;3
147008;9845;8430;1623;1568;1485;1661;2005;Falkoner Vestre;Frederiksberg;3. Frb. Falkoner;;;70.39408019;.196695922;;;;3
151001;4161;3549;1437;200;174;613;2005;Tapeten;Ballerup;3. Ballerup;;;93.67743106;.194121916;;;;3
151002;6488;5298;2051;299;337;947;2005;Rugvængets Skole;Ballerup;3. Ballerup;;;78.77696242;.191460974;;;;3
151003;2550;2294;698;176;254;588;2005;Højagerskolen;Ballerup;3. Ballerup;;;;.463224894;;;;3
151004;2810;2290;911;111;123;386;2005;Grantoftehallen;Ballerup;3. Ballerup;;;93.81324004;.113562971;;;;3
151005;3700;3401;979;263;391;927;2005;Rosenlundskolen;Ballerup;3. Ballerup;;;118.8453446;.907417149;;;;3
151006;4045;3386;1502;144;159;432;2005;Lundebjergskolen;Ballerup;3. Ballerup;;;;;;;;3
151007;1525;1375;384;102;178;325;2005;Skovlunde lokalkontor;Ballerup;3. Ballerup;;;102.4971879;.74015748;;;;3
151008;3339;2957;842;267;355;732;2005;Måløvhallen;Ballerup;3. Ballerup;;;104.3666667;.562051282;;;;3
151009;3199;2917;762;299;395;723;2005;Egebjerghallen;Ballerup;3. Ballerup;;;108.3111566;.552712385;;;;3
151010;2068;1883;486;188;189;417;2005;Østerhøjhallen;Ballerup;3. Ballerup;;;105.5872483;.384228188;;;;3
153001;3300;2939;858;200;257;720;2005;Brøndbyvester Skole;Brøndby;7. Hvidovre;;;104.8069705;.730831099;;;;3
153002;3428;2750;956;158;189;537;2005;Tjørnehøjskolen;Brøndby;7. Hvidovre;;;75.23070098;.246672582;;;;3
153003;3152;2582;876;166;176;482;2005;Lindelundsskolen;Brøndby;7. Hvidovre;;;84.36921578000001;.175353142;;;;3
153004;2140;1656;684;100;91;217;2005;Nygårdsskolen/Kilden;Brøndby;7. Hvidovre;;;87.9547817;.186850312;;;;3
153005;3478;3033;1106;212;228;586;2005;Nørregårdsskolen;Brøndby;7. Hvidovre;;;103.348757;.300671385;;;;3
153006;4289;3445;1074;325;203;605;2005;Langbjergskolen;Brøndby;7. Hvidovre;;;;;;;;1
153007;4402;3541;1129;336;253;704;2005;Søholtskolen;Brøndby;7. Hvidovre;;;;;;;;1
155001;3133;2821;447;322;573;889;2005;Dragør;Dragør;8. Amager;;;118.985082;.741217122;;;;3
155002;3464;3060;488;222;543;1068;2005;St. Magleby;Dragør;8. Amager;;;;;;;;1
155003;2968;2651;591;230;365;704;2005;Vierdiget;Dragør;8. Amager;;;;;;;;1
157001;5155;4642;486;564;1466;1421;2005;Jægersborg;Gentofte;1. Gentofte;;;117.4546851;.626420891;;;;3
157002;4414;3907;668;555;806;873;2005;Munkegård;Gentofte;1. Gentofte;;;87.83378747;.624659401;;;;3
157003;4896;4203;446;618;1253;1207;2005;Rådhuset;Gentofte;1. Gentofte;;;124.9945455;.605454545;;;;3
157004;5194;4317;811;471;877;1058;2005;Bakkegård;Gentofte;1. Gentofte;;;85.05777008;.470537262;;;;3
157005;4883;4314;490;644;1117;1221;2005;Dyssegård;Gentofte;1. Gentofte;;;114.0145123;.732365845;;;;3
157006;5612;5041;464;698;1502;1574;2005;Maglegård;Gentofte;5. Hellerup;;;126.8112245;.581632653;;;;3
157007;5495;4823;574;689;1228;1437;2005;Hellerup;Gentofte;5. Hellerup;;;115.8217625;.379144233;;;;3
157008;4343;3813;374;494;1032;1211;2005;Ordrup;Gentofte;5. Hellerup;;;105.2564532;.473348978;;;;3
157009;4894;4361;417;483;1290;1484;2005;Skovshoved;Gentofte;5. Hellerup;;;118.2905577;.603295311;;;;3
157010;4687;4013;376;423;1209;1357;2005;Skovgård;Gentofte;5. Hellerup;;;98.44633627;.469747644;;;;3
159001;4995;4313;930;527;620;1066;2005;Bagsværd;Gladsaxe;6. Gladsaxe;;;86.21759259;.508641975;;;;3
159002;3128;2603;646;280;291;616;2005;Buddinge;Gladsaxe;6. Gladsaxe;;;76.69750802;.358746607;;;;3
159003;5715;4786;1363;391;453;1066;2005;Egegård;Gladsaxe;6. Gladsaxe;;;82.64109589;.409863014;;;;3
159004;2695;2228;842;181;95;251;2005;Høje Gladsaxe;Gladsaxe;6. Gladsaxe;;;90.79556185;.320113314;;;;3
159005;2983;2522;752;270;230;485;2005;Kildebakken;Gladsaxe;6. Gladsaxe;;;79.58662614000001;.36899696;;;;3
159006;3788;3408;753;488;382;697;2005;Marielyst;Gladsaxe;6. Gladsaxe;;;82.73280423;.482010582;;;;3
159007;4970;4214;1288;360;318;718;2005;Mørkhøj;Gladsaxe;6. Gladsaxe;;;83.31985443000001;.414071977;;;;3
159008;5987;5267;1206;803;657;1152;2005;Stengård;Gladsaxe;6. Gladsaxe;;;83.17708333;.462284483;;;;3
159009;3665;3160;783;379;342;673;2005;Søborg;Gladsaxe;6. Gladsaxe;;;94.49945593;.278019587;;;;3
