valgstedid;voters;votes;a;b;c;v;year;vsnavn;komnavn;kredsnavn;kontanthjaelp;arbejd;boligstoer_kvm;ejer;formue;indkomst;indkomst_80pct;_merge
101001;12737;11268;2577;1241;1280;1659;2007;Østerbro;København;1. Østerbro;;;82.86382833;.156569129;;;;3
101002;5493;4718;1024;493;672;832;2007;Østerbro Nord;København;1. Østerbro;;;87.75599129;.237472767;;;;3
101003;6290;5671;1283;640;607;699;2007;Østerbro Syd;København;1. Østerbro;;;89.01220626999999;.13610773;;;;3
101004;6817;6042;1258;690;800;947;2007;Østerbro Øst;København;1. Østerbro;;;;;;;;1
101005;10637;8922;2308;848;954;1180;2007;Østerbro Vest;København;1. Østerbro;;;71.19313656;.107512722;;;;3
101006;8835;7593;1958;733;801;1099;2007;Østerbro Nordvest;København;1. Østerbro;;;73.42694994;.176222352;;;;3
101007;12415;9918;2760;607;692;1318;2007;Sundbyvester;København;2. Sundbyvester;;;77.02994593;.255538571;;;;3
101008;11475;9294;2444;794;688;1054;2007;Sundbyvester Nord;København;2. Sundbyvester;;;70.82973298;.09280334;;;;3
101009;6312;5337;1147;501;545;794;2007;Sundbyvester Syd;København;2. Sundbyvester;;;62.25987424;.314995142;;;;3
101010;8141;7108;1538;819;828;1079;2007;Sundbyvester Vest;København;2. Sundbyvester;;;74.1036285;.06784623;;;;3
101011;10636;7608;1447;991;811;940;2007;Indre By;København;3. Indre By;;;92.64169727;.154440241;;;;3
101012;5938;5342;1090;646;697;840;2007;Indre By Nord;København;3. Indre By;;;110.0878248;.277394126;;;;3
101013;7648;6832;1359;701;598;747;2007;Indre By Syd;København;3. Indre By;;;82.15938051000001;.215055871;;;;3
101014;6639;5756;1063;658;844;1033;2007;Indre By Øst;København;3. Indre By;;;90.21195246000001;.149648797;;;;3
101015;6176;5443;953;624;757;927;2007;Indre By Vest;København;3. Indre By;;;;;;;;1
101016;8271;6710;1836;497;452;848;2007;Sundbyøster;København;4. Sundbyøster;;;66.99765168;.203135855;;;;3
101017;12678;10551;2687;888;809;1263;2007;Sundbyøster Nord;København;4. Sundbyøster;;;64.60247013;.139614742;;;;3
101018;7817;6492;1749;463;479;934;2007;Sundbyøster Syd;København;4. Sundbyøster;;;69.08127036000001;.27988119;;;;3
101019;7513;6481;1587;502;606;1092;2007;Sundbyøster Øst;København;4. Sundbyøster;;;75.9399597;.381475922;;;;3
101020;9466;7981;1823;986;458;617;2007;Nørrebro;København;5. Nørrebro;;;63.91711773;.041022676;;;;3
101021;11904;9734;2231;991;698;895;2007;Nørrebro Nord;København;5. Nørrebro;;;69.10080624;.126969389;;;;3
101022;5449;4605;935;472;272;395;2007;Nørrebro Syd;København;5. Nørrebro;;;84.37255386;.08114353;;;;3
101023;4703;4084;879;494;301;383;2007;Nørrebro Øst;København;5. Nørrebro;;;79.67597764999999;.082960894;;;;3
101024;6350;5446;1270;540;332;432;2007;Nørrebro Vest;København;5. Nørrebro;;;72.11664154;.047246103;;;;3
101025;9031;7564;1747;783;442;604;2007;Nørrebro Nordvest;København;5. Nørrebro;;;66.94054862;.096935282;;;;3
101026;3109;2472;535;304;180;223;2007;Nørrebro Midt;København;5. Nørrebro;;;;.10398482;;;;3
101027;14474;11311;2876;843;914;1294;2007;Utterslev;København;6. Utterslev;;;60.60933745;.090039776;;;;3
101028;7082;5732;1561;438;441;603;2007;Utterslev Nord;København;6. Utterslev;;;66.65821846;.178887973;;;;3
101029;3997;3331;1032;182;237;368;2007;Utterslev Øst;København;6. Utterslev;;;69.69850841;.086004443;;;;3
101030;8219;6562;1738;557;455;673;2007;Utterslev Syd;København;6. Utterslev;;;62.64755593;.078458464;;;;3
101031;3610;3207;801;253;298;472;2007;Brønshøj;København;7. Brønshøj;;;83.9675534;.469523346;;;;3
101032;2720;2024;709;74;40;110;2007;Brønshøj Nord;København;7. Brønshøj;;;73.76920263;;;;;3
101033;3418;2969;782;247;238;362;2007;Brønshøj Syd;København;7. Brønshøj;;;78.5899592;.226494921;;;;3
101034;2746;2358;614;199;185;296;2007;Brønshøj Øst;København;7. Brønshøj;;;81.31386141;.284289493;;;;3
101035;6154;4844;1421;264;348;575;2007;Brønshøj Vest;København;7. Brønshøj;;;66.82749437;.21368572;;;;3
101036;7800;6650;1868;381;522;890;2007;Brønshøj Nordvest;København;7. Brønshøj;;;85.06940868;.41413924;;;;3
101037;4969;4235;1197;250;340;560;2007;Brønshøj Bellahøj;København;7. Brønshøj;;;;;;;;1
101038;3261;2823;695;239;300;412;2007;Brønshøj Frederiksgård;København;7. Brønshøj;;;;;;;;1
101039;4204;3686;930;284;386;515;2007;Brønshøj Katrinedal;København;7. Brønshøj;;;69.28169455;.230655778;;;;3
101040;4768;4238;1028;361;420;612;2007;Brønshøj Kirkebjerg;København;7. Brønshøj;;;93.31245593;.586368411;;;;3
101041;9688;8328;2168;636;788;1236;2007;Brønshøj Vanløse;København;7. Brønshøj;;;72.06958476;.30478616;;;;3
101042;7647;6539;1666;521;635;905;2007;Valby;København;8. Valby;;;77.63878104;.310947663;;;;3
101043;4680;3942;1020;310;388;514;2007;Valby Nord;København;8. Valby;;;72.1360255;.20439249;;;;3
101044;4507;3623;1129;169;267;479;2007;Valby Syd;København;8. Valby;;;69.07459734;.305736084;;;;3
101045;3137;2741;662;265;260;395;2007;Valby Øst;København;8. Valby;;;;;;;;1
101046;4876;3838;1154;200;241;452;2007;Valby Vest;København;8. Valby;;;64.87429035;.168153555;;;;3
101047;3296;2717;743;190;152;295;2007;Valby Sydøst;København;8. Valby;;;78.35137967;.185819071;;;;3
101048;5006;4162;1063;290;368;528;2007;Valby Midt;København;8. Valby;;;65.93553674;.143676591;;;;3
