"ValgId";"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"Boligstørrelse_Antal boliger_000-039";"Boligstørrelse_Antal boliger_040-079";"Boligstørrelse_Antal boliger_080-119";"Boligstørrelse_Antal boliger_120-159";"Boligstørrelse_Antal boliger_160-199";"Boligstørrelse_Antal boliger_200-";"Boligstørrelse_Antal boliger_Ingen BBR";"Boligstørrelse_Antal personer_000-039";"Boligstørrelse_Antal personer_040-079";"Boligstørrelse_Antal personer_080-119";"Boligstørrelse_Antal personer_120-159";"Boligstørrelse_Antal personer_160-199";"Boligstørrelse_Antal personer_200-";"Boligstørrelse_Antal personer_Ingen BBR";"Boligtype_Antal boliger_01. Stuehuse og parcelhuse";"Boligtype_Antal boliger_02. Række- og kædehuse";"Boligtype_Antal boliger_03. Flerfamiliehuse";"Boligtype_Antal boliger_04. Kollegier";"Boligtype_Antal boliger_05. Sommerhuse";"Boligtype_Antal boliger_06. Øvrige boliger";"Boligtype_Antal boliger_07. Ingen BBR-oplysninger";"Boligtype_Antal personer_01. Stuehuse og parcelhuse";"Boligtype_Antal personer_02. Række- og kædehuse";"Boligtype_Antal personer_03. Flerfamiliehuse";"Boligtype_Antal personer_04. Kollegier";"Boligtype_Antal personer_05. Sommerhuse";"Boligtype_Antal personer_06. Øvrige boliger";"Boligtype_Antal personer_07. Ingen BBR-oplysninger";"Ejerforhold_Antal boliger_01. Ejerbolig";"Ejerforhold_Antal boliger_02. Andelsbolig";"Ejerforhold_Antal boliger_03. Almennyttig bolig";"Ejerforhold_Antal boliger_04. Lejer i offentligt ejet";"Ejerforhold_Antal boliger_05. Privat lejerbolig";"Ejerforhold_Antal boliger_06. Øvrige beboede boliger";"Ejerforhold_Antal boliger_07. Ingen BBR-oplysninger";"Ejerforhold_Antal personer_01. Ejerbolig";"Ejerforhold_Antal personer_02. Andelsbolig";"Ejerforhold_Antal personer_03. Almennyttig bolig";"Ejerforhold_Antal personer_04. Lejer i offentligt ejet";"Ejerforhold_Antal personer_05. Privat lejerbolig";"Ejerforhold_Antal personer_06. Øvrige beboede boliger";"Ejerforhold_Antal personer_07. Ingen BBR-oplysninger"
"195";"813006";"813006";"95";"17";"3";"-";"30";"146";"302";"146";"61";"-";"-";"45";"326";"814";"387";"191";"-";"651";"19";"4";"-";"-";"11";"-";"1692";"28";"10";"-";"-";"33";"-";"626";"8";"15";"9";"26";"1";"-";"1627";"14";"21";"25";"70";"6";"-"
"195";"813007";"813007";"95";"17";"3";"2";"43";"132";"148";"73";"42";"-";"5";"72";"296";"357";"192";"126";"-";"385";"23";"11";"-";"17";"4";"-";"948";"36";"24";"-";"32";"8";"-";"352";"-";"20";"15";"52";"1";"-";"868";"-";"27";"33";"116";"4";"-"
"195";"813008";"813008";"95";"17";"3";"-";"51";"229";"290";"175";"105";"-";"-";"64";"513";"792";"512";"321";"-";"783";"42";"13";"-";"-";"12";"-";"2089";"59";"29";"-";"-";"25";"-";"725";"15";"12";"20";"77";"1";"-";"1956";"37";"15";"23";"166";"5";"-"
"195";"813009";"813009";"95";"17";"3";"3";"35";"131";"289";"198";"111";"-";"4";"56";"267";"770";"539";"300";"-";"694";"57";"7";"-";"-";"9";"-";"1816";"78";"16";"-";"-";"26";"-";"650";"27";"32";"2";"54";"2";"-";"1697";"41";"43";"6";"142";"7";"-"
"195";"815001";"815001";"102";"17";"3";"40";"610";"840";"728";"308";"130";"44";"43";"810";"1679";"1885";"890";"348";"51";"1636";"303";"672";"-";"-";"45";"44";"4092";"492";"988";"-";"-";"83";"51";"1616";"106";"278";"108";"519";"29";"44";"4006";"175";"450";"124";"864";"36";"51"
"195";"815002";"815002";"102";"17";"3";"1";"30";"75";"109";"44";"35";"1";"1";"50";"155";"297";"140";"157";"2";"272";"5";"14";"-";"-";"3";"1";"725";"5";"27";"-";"-";"43";"2";"238";"-";"5";"3";"48";"-";"1";"651";"-";"5";"44";"100";"-";"2"
"195";"815003";"815003";"102";"17";"3";"-";"42";"86";"69";"55";"30";"-";"-";"58";"159";"169";"152";"116";"-";"227";"18";"32";"-";"-";"5";"-";"567";"31";"48";"-";"-";"8";"-";"210";"-";"5";"-";"66";"1";"-";"530";"-";"6";"-";"115";"3";"-"
"195";"815004";"815004";"102";"17";"3";"-";"22";"90";"87";"50";"38";"1";"-";"31";"199";"242";"147";"124";"1";"266";"6";"10";"-";"-";"5";"1";"706";"9";"15";"-";"-";"13";"1";"226";"-";"4";"-";"57";"-";"1";"594";"-";"5";"-";"144";"-";"1"
"195";"815005";"815005";"102";"17";"3";"-";"15";"38";"60";"30";"32";"-";"-";"23";"82";"156";"100";"105";"-";"162";"8";"3";"-";"-";"2";"-";"437";"17";"7";"-";"-";"5";"-";"156";"-";"-";"-";"17";"2";"-";"418";"-";"-";"-";"41";"7";"-"
"195";"815006";"815006";"102";"17";"3";"-";"14";"32";"40";"9";"13";"-";"-";"22";"57";"90";"23";"30";"-";"99";"1";"-";"-";"5";"3";"-";"205";"2";"-";"-";"8";"7";"-";"93";"-";"-";"1";"14";"-";"-";"193";"-";"-";"4";"25";"-";"-"
"195";"815007";"815007";"102";"17";"3";"2";"63";"177";"162";"105";"90";"2";"2";"89";"325";"400";"294";"231";"2";"477";"54";"33";"-";"2";"33";"2";"1175";"70";"50";"-";"3";"43";"2";"441";"28";"15";"33";"81";"1";"2";"1077";"38";"16";"37";"171";"2";"2"
"195";"815008";"815008";"102";"17";"3";"1";"75";"145";"135";"64";"34";"-";"1";"108";"266";"342";"166";"98";"-";"366";"39";"15";"-";"20";"14";"-";"847";"50";"25";"-";"28";"31";"-";"343";"-";"17";"2";"92";"-";"-";"797";"-";"18";"2";"164";"-";"-"
"195";"817001";"817001";"99";"17";"3";"2";"92";"253";"290";"154";"93";"2";"2";"127";"518";"764";"466";"302";"3";"712";"128";"39";"-";"-";"5";"2";"1893";"211";"67";"-";"-";"8";"3";"691";"16";"41";"9";"127";"-";"2";"1806";"23";"57";"11";"282";"-";"3"
"195";"817002";"817002";"99";"17";"3";"-";"7";"34";"41";"35";"32";"-";"-";"15";"78";"106";"97";"91";"-";"141";"-";"3";"-";"-";"5";"-";"372";"-";"4";"-";"-";"11";"-";"126";"-";"-";"-";"23";"-";"-";"343";"-";"-";"-";"44";"-";"-"
"195";"817003";"817003";"99";"17";"3";"23";"61";"314";"501";"230";"98";"9";"31";"80";"662";"1395";"659";"311";"12";"968";"191";"42";"-";"1";"25";"9";"2691";"326";"81";"-";"1";"39";"12";"996";"28";"45";"15";"143";"-";"9";"2692";"45";"82";"16";"303";"-";"12"
"195";"817004";"817004";"99";"17";"3";"11";"251";"478";"399";"184";"100";"15";"15";"337";"939";"1023";"534";"288";"34";"919";"205";"177";"-";"100";"22";"15";"2313";"344";"274";"-";"172";"33";"34";"974";"46";"73";"13";"314";"3";"15";"2351";"79";"117";"26";"558";"5";"34"
"195";"817005";"817005";"99";"17";"3";"4";"84";"150";"112";"71";"34";"1";"7";"135";"288";"286";"205";"97";"1";"294";"42";"15";"-";"100";"4";"1";"744";"64";"28";"-";"174";"8";"1";"369";"-";"22";"-";"64";"-";"1";"865";"-";"29";"-";"124";"-";"1"
"195";"817006";"817006";"99";"17";"3";"3";"83";"200";"214";"93";"58";"3";"3";"107";"393";"549";"272";"209";"7";"531";"88";"23";"-";"-";"9";"3";"1352";"125";"38";"-";"-";"18";"7";"510";"6";"39";"-";"96";"-";"3";"1265";"15";"40";"-";"213";"-";"7"
"195";"819001";"819001";"97";"17";"3";"-";"14";"93";"127";"92";"62";"1";"-";"19";"208";"349";"274";"184";"4";"369";"9";"10";"-";"-";"-";"1";"1000";"11";"23";"-";"-";"-";"4";"338";"-";"-";"1";"49";"-";"1";"908";"-";"-";"2";"124";"-";"4"
"195";"819002";"819002";"97";"17";"3";"1";"24";"123";"152";"41";"40";"4";"2";"36";"272";"417";"125";"113";"12";"354";"17";"-";"-";"9";"1";"4";"909";"40";"-";"-";"15";"1";"12";"352";"-";"-";"-";"29";"-";"4";"909";"-";"-";"-";"56";"-";"12"
