ValgId;Gruppe;ValgstedId;KredsNr;StorKredsNr;LandsdelsNr;Stemmeberettigede;Afgivne stemmer;Blanke stemmer;Andre ugyldige stemmer;Gyldige stemmer;A. Socialdemokratiet;B. Det Radikale Venstre;C. Det Konservative Folkeparti;D. Centrum-Demokraterne;F. SF - Socialistisk Folkeparti;K. Kristendemokraterne;I. Liberal Alliance;O. Dansk Folkeparti;V. Venstre, Danmarks Liberale Parti;M. Minoritetspartiet;Y. Ny Alliance;Ø. Enhedslisten - De Rød-Grønne;1. Uden for partierne;Å. Alternativet;2. Uden for partierne;3. Uden for partierne;4. Uden for partierne;5. Uden for partierne;6. Uden for partierne
2015;101047;101047;8;1;1;3782;3042;34;13;2995;762;240;58;-;213;8;168;404;264;-;-;554;9;314;0;1;0;-;-
2015;101048;101048;8;1;1;6194;5269;45;13;5211;1304;448;144;-;370;28;486;584;525;-;-;812;8;499;0;2;1;-;-
2015;101049;101049;9;1;1;7040;6264;46;22;6196;1152;743;98;-;520;8;345;351;337;-;-;1423;8;1209;0;1;1;-;-
2015;101050;101050;9;1;1;8190;7096;41;13;7042;1240;929;142;-;507;13;581;339;468;-;-;1541;17;1264;1;0;0;-;-
2015;101051;101051;9;1;1;8483;6638;60;25;6553;1555;319;93;-;442;29;353;1060;398;-;-;1558;21;723;0;1;1;-;-
2015;101052;101052;9;1;1;6261;5488;48;7;5433;1041;705;107;-;422;8;464;252;385;-;-;1077;3;968;0;1;0;-;-
2015;101053;101053;9;1;1;5423;4705;27;18;4660;910;535;71;-;396;9;285;298;300;-;-;1028;15;812;1;0;0;-;-
2015;101054;101054;9;1;1;2944;2389;31;17;2341;513;177;34;-;172;10;160;251;170;-;-;503;5;345;0;0;1;-;-
2015;101055;101055;9;1;1;3991;3515;29;3;3483;627;426;148;-;131;6;709;254;568;-;-;283;8;322;0;1;0;-;-
2015;147001;147001;10;1;1;8154;7295;54;20;7221;1560;960;399;-;462;21;756;570;817;-;-;860;15;796;0;4;1;-;-
2015;147002;147002;10;1;1;8552;7728;62;24;7642;1646;896;508;-;441;15;816;634;1043;-;-;812;9;819;0;3;0;-;-
2015;147003;147003;10;1;1;10987;9811;75;34;9702;2028;1292;516;-;612;20;1016;734;1164;-;-;1211;12;1093;0;3;1;-;-
2015;147004;147004;10;1;1;10086;8841;63;19;8759;1900;992;547;-;500;29;996;782;1105;-;-;1102;12;792;0;1;1;-;-
2015;147005;147005;11;1;1;10136;8523;71;25;8427;1893;765;508;-;458;31;874;993;1042;-;-;1110;16;732;0;4;1;-;-
2015;147006;147006;11;1;1;8819;7635;56;25;7554;1798;579;513;-;403;27;664;1043;1122;-;-;866;11;527;0;1;0;-;-
2015;147007;147007;11;1;1;9890;8485;69;21;8395;1838;879;506;-;470;36;964;862;1110;-;-;997;13;718;0;2;0;-;-
2015;147008;147008;11;1;1;7936;7194;64;21;7109;1466;826;334;-;441;22;847;626;887;-;-;904;6;747;1;1;1;-;-
2015;151001;151001;20;2;1;4257;3546;36;18;3492;1412;79;50;-;132;12;147;993;320;-;-;239;3;105;0;-;-;-;-
2015;151002;151002;20;2;1;6228;5034;43;18;4973;1890;105;89;-;220;27;212;1273;507;-;-;488;3;158;1;-;-;-;-
2015;151003;151003;20;2;1;2656;2423;35;3;2385;806;93;76;-;88;6;165;540;389;-;-;131;1;90;0;-;-;-;-
2015;151004;151004;20;2;1;2786;2297;27;5;2265;852;28;27;-;108;4;96;656;199;-;-;227;5;63;0;-;-;-;-
2015;151005;151005;20;2;1;3678;3400;38;8;3354;1125;160;101;-;124;36;262;653;623;-;-;173;0;97;0;-;-;-;-
2015;151006;151006;20;2;1;3844;3094;28;11;3055;1300;48;28;-;133;8;68;884;202;-;-;292;3;89;0;-;-;-;-
2015;151007;151007;20;2;1;1669;1474;17;3;1454;437;83;37;-;60;35;130;279;254;-;-;90;1;48;0;-;-;-;-
2015;151008;151008;20;2;1;4084;3637;25;2;3610;1168;177;124;-;183;25;258;696;618;-;-;223;0;138;0;-;-;-;-
2015;151009;151009;20;2;1;3224;2981;27;9;2945;918;182;94;-;140;20;231;464;485;-;-;227;0;183;1;-;-;-;-
