"year","valgstedid","voters","votes","a","b","c","v","vsnavn","komnavn","kredsnavn","kontanthjaelp","arbejd","boligstoer_kvm","ejer","formue","indkomst","indkomst_80pct"
2011,"101009",7872,6730,0.1622585438,0.1973254086,0.0520059435,0.1774145617,"2. Syd","København","2. Sundbyvester",0.0342348032,0.7432163358,76.76646148,0.331655481,415895,408621.3125,684156
2015,"101009",9229,7854,0.2070282659,0.0989304813,0.0248281131,0.1189202954,"2. Syd","København","2. Sundbyvester",0.0342348032,0.7432163358,76.76646148,0.331655481,415895,408621.3125,684156
2005,"101010",6173,5140,0.2453307393,0.1850194553,0.0756809339,0.1712062257,"2. Vest","København","2. Sundbyvester",0.0424083769,0.6848167777,74.11368232,0.067625253,208085.4375,487014.65625,733028
2007,"101010",8141,7108,0.2163759145,0.1152222847,0.1164884637,0.1518007878,"2. Vest","København","2. Sundbyvester",0.0424083769,0.6848167777,74.1036285,0.06784623,208085.4375,487014.65625,733028
2011,"101010",8705,7855,0.1553150859,0.2012730745,0.0597071929,0.1737746658,"2. Vest","København","2. Sundbyvester",0.0424083769,0.6848167777,84.63854411,0.158485508,208085.4375,487014.65625,733028
2015,"101010",9926,8874,0.1952896101,0.1188866351,0.0322289835,0.122154609,"2. Vest","København","2. Sundbyvester",0.0424083769,0.6848167777,84.63854411,0.158485508,208085.4375,487014.65625,733028
2005,"101011",13282.71,9610.82,0.1809606256,0.240427976,0.1064092346,0.1744263237,"3. Indre By","København","3. Indre By",0.0544841923,0.6867281795,92.87698103,0.153082365,657328.9375,469821.5,1010464.1875
2007,"101011",13439.56,10078.82,0.1864910773,0.1264294828,0.11456103,0.1350167976,"3. Indre By","København","3. Indre By",0.0544841923,0.6867281795,92.64169727,0.154440241,657328.9375,469821.5,1010464.1875
2011,"101011",14692.41,11159.44,0.1324125583,0.2252406931,0.0648840802,0.1435457335,"3. Indre By","København","3. Indre By",0.0544841923,0.6867281795,95.19419346,0.16509804,657328.9375,469821.5,1010464.1875
2015,"101011",14012,10848,0.1795722714,0.1264749263,0.0338311209,0.100479351,"3. Indre By","København","3. Indre By",0.0544841923,0.6867281795,95.19419346,0.16509804,657328.9375,469821.5,1010464.1875
2005,"101012",5639.85,4979.61,0.1781926697,0.2334359518,0.1158765445,0.1851229313,"3. Nord","København","3. Indre By",0.0334418975,0.7102477551,110.3804301,0.279275664,1322753.5,568102.8125,838287
2007,"101012",5938,5342,0.2040434294,0.1209284912,0.1304754773,0.1572444777,"3. Nord","København","3. Indre By",0.0334418975,0.7102477551,110.0878248,0.277394126,1322753.5,568102.8125,838287
2011,"101012",6116,5602,0.1444127097,0.2177793645,0.0799714388,0.1752945377,"3. Nord","København","3. Indre By",0.0334418975,0.7102477551,112.2196146,0.260064213,1322753.5,568102.8125,838287
2015,"101012",6234,5672,0.2034555712,0.1290550071,0.0423131171,0.1241184767,"3. Nord","København","3. Indre By",0.0334418975,0.7102477551,112.2196146,0.260064213,1322753.5,568102.8125,838287
2005,"101013",7615,6514,0.213079521,0.2070924163,0.0686214308,0.1387780166,"3. Syd","København","3. Indre By",0.0448059365,0.652302146,82.15938051,0.215055871,636159.875,451898.875,674244
2007,"101013",7648,6832,0.1989168618,0.1026053864,0.087529274,0.1093384075,"3. Syd","København","3. Indre By",0.0448059365,0.652302146,82.15938051,0.215055871,636159.875,451898.875,674244
2011,"101013",7891,7087,0.146747566,0.1919006632,0.0404966841,0.110907295,"3. Syd","København","3. Indre By",0.0448059365,0.652302146,84.32027442,0.194883638,636159.875,451898.875,674244
2015,"101013",9107,8036,0.1956197113,0.1067695371,0.0205326033,0.0834992534,"3. Syd","København","3. Indre By",0.0448059365,0.652302146,84.32027442,0.194883638,636159.875,451898.875,674244
2005,"101014",9286.55,7889.37,0.1657901708,0.2067262658,0.128688349,0.2372686285,"3. Øst","København","3. Indre By",0.0318001807,0.7072127461,90.11410248,0.151880678,767685.6875,486894.125,1082012.75
2007,"101014",10011.44,8728.18,0.181411245,0.1144270627,0.144057524,0.1763471881,"3. Øst","København","3. Indre By",0.0318001807,0.7072127461,90.21195246,0.149648797,767685.6875,486894.125,1082012.75
2011,"101014",10578.59,9396.56,0.1292334642,0.1961824327,0.0781062431,0.1919968584,"3. Øst","København","3. Indre By",0.0318001807,0.7072127461,91.83275897,0.142313011,767685.6875,486894.125,1082012.75
2015,"101014",11352,9809,0.1924762973,0.110306861,0.0497502294,0.1414007544,"3. Øst","København","3. Indre By",0.0318001807,0.7072127461,91.83275897,0.142313011,767685.6875,486894.125,1082012.75
2005,"101016",8127.87,6431.05,0.2652195209,0.1452795422,0.0612419434,0.1697343358,"4. Sundbyøster","København","4. Sundbyøster",0.0532370955,0.6116360426,66.97436594,0.202584875,145836.796875,346828.0625,514795
2007,"101016",8271,6710,0.2736214605,0.0740685544,0.0673621461,0.1263785395,"4. Sundbyøster","København","4. Sundbyøster",0.0532370955,0.6116360426,66.99765168,0.203135855,145836.796875,346828.0625,514795
2011,"101016",8668,7116,0.2106520517,0.1458684654,0.0344294547,0.1440415964,"4. Sundbyøster","København","4. Sundbyøster",0.0532370955,0.6116360426,67.37518685,0.148812192,145836.796875,346828.0625,514795
2015,"101016",8491,6852,0.2259194396,0.0798307064,0.020869819,0.091214244,"4. Sundbyøster","København","4. Sundbyøster",0.0532370955,0.6116360426,67.37518685,0.148812192,145836.796875,346828.0625,514795
2005,"101017",12440.97,9818.1,0.263000988,0.1597111457,0.0660657357,0.1621454253,"4. Nord","København","4. Sundbyøster",0.0533936918,0.665017128,64.60239285,0.139614923,78848.5859375,342795.0625,505428
2007,"101017",12678,10551,0.254667804,0.0841626386,0.0766751967,0.1197042934,"4. Nord","København","4. Sundbyøster",0.0533936918,0.665017128,64.60247013,0.139614742,78848.5859375,342795.0625,505428
2011,"101017",12972,11009,0.1894813335,0.1633209192,0.0327913525,0.1348896358,"4. Nord","København","4. Sundbyøster",0.0533936918,0.665017128,67.05454365,0.134118579,78848.5859375,342795.0625,505428
2015,"101017",14371,11827,0.2049547645,0.0848905048,0.0210535216,0.0936839435,"4. Nord","København","4. Sundbyøster",0.0533936918,0.665017128,67.05454365,0.134118579,78848.5859375,342795.0625,505428
2005,"101018",8451.39,6620.73,0.2769483123,0.1280493239,0.0653553309,0.1790618255,"4. Syd","København","4. Sundbyøster",0.0467678048,0.6445066929,69.08108537,0.279880636,431831.59375,394433.4375,583560
2007,"101018",7817,6492,0.2694085028,0.0713185459,0.0737831177,0.1438693777,"4. Syd","København","4. Sundbyøster",0.0467678048,0.6445066929,69.08127036,0.27988119,431831.59375,394433.4375,583560
2011,"101018",7934,6767,0.2123540712,0.1369883257,0.0376828728,0.1708290232,"4. Syd","København","4. Sundbyøster",0.0467678048,0.6445066929,71.4684466,0.285441941,431831.59375,394433.4375,583560
2015,"101018",8164,6819,0.2365449479,0.0696583077,0.0236105001,0.1006012612,"4. Syd","København","4. Sundbyøster",0.0467678048,0.6445066929,71.4684466,0.285441941,431831.59375,394433.4375,583560
2005,"101019",7781.76,6343.12,0.2599020671,0.1346104125,0.0677600298,0.1877546066,"4. Øst","København","4. Sundbyøster",0.0367564522,0.669659555,74.97750048,0.362637823,896554.625,457325.75,711249
2007,"101019",7513,6481,0.2448696189,0.0774571825,0.0935040889,0.1684925166,"4. Øst","København","4. Sundbyøster",0.0367564522,0.669659555,75.9399597,0.381475922,896554.625,457325.75,711249
2011,"101019",7650,6745,0.1955522609,0.1530022239,0.0432913269,0.1829503336,"4. Øst","København","4. Sundbyøster",0.0367564522,0.669659555,79.6563214,0.453127971,896554.625,457325.75,711249
2015,"101019",8720,7478,0.2345546938,0.0889275207,0.0270125702,0.1144691094,"4. Øst","København","4. Sundbyøster",0.0367564522,0.669659555,79.6563214,0.453127971,896554.625,457325.75,711249
