year;valgstedid;voters;votes;a;b;c;v;vsnavn;komnavn;kredsnavn;kontanthjaelp;arbejd;boligstoer_kvm;ejer;formue;indkomst;indkomst_80pct
2011;820010;4009;3336;.2523980815347722;.0413669064748201;.0341726618705036;.2979616306954436;Løgstør;Vesthimmerlands;5. Himmerland;.0352463535964489;.4973242282867432;121.0015379;.581609195;525207.3125;414858.3125;1244387
2015;820010;3958;3262;.3145309625996322;.0156345800122624;.0205395462906193;.2645616186388718;Løgstør;Vesthimmerlands;5. Himmerland;.0352463535964489;.4973242282867432;121.0015379;.581609195;525207.3125;414858.3125;1244387
2005;820011;1608;1314;.2496194824961948;.0783866057838661;.0509893455098935;.3774733637747336;Ranum;Vesthimmerlands;5. Himmerland;.048371646553278;.5354406237602234;132.2006472;.7001078750000001;618493.4375;431932.25;1338519
2007;820011;1534;1282;.2113884555382215;.0343213728549142;.0725429017160686;.2948517940717629;Ranum;Vesthimmerlands;5. Himmerland;.048371646553278;.5354406237602234;132.2006472;.7001078750000001;618493.4375;431932.25;1338519
2011;820011;1444;1211;.2097440132122213;.074318744838976;.0280759702725021;.2510322047894302;Ranum;Vesthimmerlands;5. Himmerland;.048371646553278;.5354406237602234;134.3329658;.688254665;618493.4375;431932.25;1338519
2015;820011;1413;1150;.248695652173913;.028695652173913;.0139130434782609;.2321739130434783;Ranum;Vesthimmerlands;5. Himmerland;.048371646553278;.5354406237602234;134.3329658;.688254665;618493.4375;431932.25;1338519
2005;820012;1159;952;.2016806722689076;.0535714285714286;.0367647058823529;.4915966386554622;Salling;Vesthimmerlands;5. Himmerland;.0414438508450985;.5748662948608398;143.2460317;.844444444;1034257.5625;490604.09375;1359255
2007;820012;1121;942;.178343949044586;.0307855626326964;.1040339702760085;.3704883227176221;Salling;Vesthimmerlands;5. Himmerland;.0414438508450985;.5748662948608398;143.2460317;.844444444;1034257.5625;490604.09375;1359255
2011;820012;1093;907;.1929437706725469;.0396912899669239;.0264608599779493;.3616317530319735;Salling;Vesthimmerlands;5. Himmerland;.0414438508450985;.5748662948608398;147.7704918;.832786885;1034257.5625;490604.09375;1359255
2015;820012;1051;870;.2126436781609195;.0126436781609195;.0172413793103448;.2885057471264368;Salling;Vesthimmerlands;5. Himmerland;.0414438508450985;.5748662948608398;147.7704918;.832786885;1034257.5625;490604.09375;1359255
2005;820013;781;630;.1698412698412699;.0507936507936508;.0603174603174603;.5079365079365079;Overlade;Vesthimmerlands;5. Himmerland;.0453703701496124;.5333333611488342;135.6263736;.8;683226.625;421419.96875;628794
2007;820013;783;649;.1479198767334361;.0261941448382126;.1294298921417565;.3759630200308167;Overlade;Vesthimmerlands;5. Himmerland;.0453703701496124;.5333333611488342;135.6263736;.8;683226.625;421419.96875;628794
2011;820013;770;647;.1916537867078825;.0417310664605873;.0494590417310665;.3632148377125193;Overlade;Vesthimmerlands;5. Himmerland;.0453703701496124;.5333333611488342;137.1208791;.763676149;683226.625;421419.96875;628794
2015;820013;761;636;.220125786163522;.020440251572327;.0235849056603774;.300314465408805;Overlade;Vesthimmerlands;5. Himmerland;.0453703701496124;.5333333611488342;137.1208791;.763676149;683226.625;421419.96875;628794
2005;820014;640;549;.1967213114754098;.0765027322404372;.0819672131147541;.4262295081967213;Skivum-Giver;Vesthimmerlands;5. Himmerland;.0433862432837486;.6507936716079712;140.8498584;.8158640230000001;768544.6875;496289.25;693299
2007;820014;663;572;.2080419580419581;.0384615384615385;.270979020979021;.236013986013986;Skivum-Giver;Vesthimmerlands;5. Himmerland;.0433862432837486;.6507936716079712;140.8498584;.8158640230000001;768544.6875;496289.25;693299
2011;820014;651;581;.2375215146299484;.0740103270223752;.0585197934595525;.3098106712564544;Skivum-Giver;Vesthimmerlands;5. Himmerland;.0433862432837486;.6507936716079712;141.1049724;.790633609;768544.6875;496289.25;693299
2015;820014;683;599;.2454090150250417;.0300500834724541;.0333889816360601;.2404006677796327;Skivum-Giver;Vesthimmerlands;5. Himmerland;.0433862432837486;.6507936716079712;141.1049724;.790633609;768544.6875;496289.25;693299
2005;825015;1699;1379;.2509064539521392;.050761421319797;.0775924583031182;.3335750543872371;Læsø;Læsø;1. Frederikshavn;.0523108169436455;.4286439716815949;121.5074212;.760667904;878339.5;372615.21875;6689822
2007;825015;1606;1383;.2682574114244397;.0332610267534346;.0795372378886479;.2928416485900217;Læsø;Læsø;1. Frederikshavn;.0523108169436455;.4286439716815949;121.5074212;.760667904;878339.5;372615.21875;6689822
2011;825015;1574;1353;.278640059127864;.0583887657058389;.0362158167036216;.2823355506282336;Læsø;Læsø;1. Frederikshavn;.0523108169436455;.4286439716815949;123.9170732;.737816764;878339.5;372615.21875;6689822
2015;825015;1490;1257;.2784407319013524;.0198886237072395;.0135242641209228;.2362768496420048;Læsø;Læsø;1. Frederikshavn;.0523108169436455;.4286439716815949;123.9170732;.737816764;878339.5;372615.21875;6689822
2005;840001;5442;4671;.2671804752729609;.0603725112395633;.1177478056090773;.3678013273388996;Støvring;Rebild;5. Himmerland;.0406407043337822;.6037688255310059;124.2485361;.706896552;840336.375;528029.5625;766862
2007;840001;5647;5033;.2612755811643155;.0409298629048281;.1498112457778661;.3115438108484006;Støvring;Rebild;5. Himmerland;.0406407043337822;.6037688255310059;124.2485361;.706896552;840336.375;528029.5625;766862
2011;840001;5856;5281;.2548759704601401;.0770687369816323;.0621094489679985;.3319447074417724;Støvring;Rebild;5. Himmerland;.0406407043337822;.6037688255310059;127.4365175;.692585895;840336.375;528029.5625;766862
2015;840001;6052;5409;.2665927158439638;.0428914771676835;.0244037714919578;.2845257903494177;Støvring;Rebild;5. Himmerland;.0406407043337822;.6037688255310059;127.4365175;.692585895;840336.375;528029.5625;766862
2005;840002;2962;2677;.2570041090773254;.1206574523720583;.095255883451625;.2835263354501307;Skørping;Rebild;5. Himmerland;.0263346042484045;.6155862808227539;128.3515535;.649021864;888962;532612.125;781920
2007;840002;3015;2760;.2677536231884058;.0670289855072464;.1326086956521739;.2326086956521739;Skørping;Rebild;5. Himmerland;.0263346042484045;.6155862808227539;128.3515535;.649021864;888962;532612.125;781920
2011;840002;3086;2818;.279985805535841;.1302342086586232;.0532292405961675;.2334989354151881;Skørping;Rebild;5. Himmerland;.0263346042484045;.6155862808227539;131.8112676;.6616415410000001;888962;532612.125;781920
2015;840002;3139;2860;.306993006993007;.0702797202797203;.0227272727272727;.191958041958042;Skørping;Rebild;5. Himmerland;.0263346042484045;.6155862808227539;131.8112676;.6616415410000001;888962;532612.125;781920
2005;840003;1717;1470;.3251700680272109;.0666666666666667;.0755102040816327;.3095238095238095;Terndrup;Rebild;5. Himmerland;.0476821176707745;.5324503183364868;130.4788306;.731854839;725814.875;466415.625;684288
2007;840003;1737;1510;.3278145695364239;.0264900662251656;.0993377483443709;.271523178807947;Terndrup;Rebild;5. Himmerland;.0476821176707745;.5324503183364868;130.4788306;.731854839;725814.875;466415.625;684288
2011;840003;1747;1580;.3765822784810127;.0411392405063291;.0405063291139241;.2689873417721519;Terndrup;Rebild;5. Himmerland;.0476821176707745;.5324503183364868;133.0603015;.735059761;725814.875;466415.625;684288
2015;840003;1756;1539;.3476283300844704;.0116959064327485;.0240415854450942;.202729044834308;Terndrup;Rebild;5. Himmerland;.0476821176707745;.5324503183364868;133.0603015;.735059761;725814.875;466415.625;684288
2005;840004;2049;1741;.2487076392877657;.0752441125789776;.0878805284319357;.4026421596783458;Suldrup;Rebild;5. Himmerland;.0475769378244877;.5677396655082703;129.6225615;.766751484;872301.4375;443964;675756
2007;840004;2051;1763;.2507090187180942;.0397050482132728;.128757799205899;.318207600680658;Suldrup;Rebild;5. Himmerland;.0475769378244877;.5677396655082703;129.6225615;.766751484;872301.4375;443964;675756
2011;840004;2052;1784;.2505605381165919;.0577354260089686;.0599775784753363;.3267937219730942;Suldrup;Rebild;5. Himmerland;.0475769378244877;.5677396655082703;133.3899745;.75443038;872301.4375;443964;675756
2015;840004;2032;1750;.2445714285714286;.0274285714285714;.0297142857142857;.2748571428571429;Suldrup;Rebild;5. Himmerland;.0475769378244877;.5677396655082703;133.3899745;.75443038;872301.4375;443964;675756
2005;840005;2272;1924;.2375259875259875;.0665280665280665;.1065488565488566;.3903326403326403;Nørager;Rebild;5. Himmerland;.0378518290817738;.5810417532920837;132.6184926;.722610723;849326.75;458775.0625;659910
2007;840005;2229;1886;.2264050901378579;.0429480381760339;.1256627783669141;.3398727465535525;Nørager;Rebild;5. Himmerland;.0378518290817738;.5810417532920837;132.6184926;.722610723;849326.75;458775.0625;659910
2011;840005;2215;1914;.2210031347962382;.0637408568443051;.0673981191222571;.3411703239289446;Nørager;Rebild;5. Himmerland;.0378518290817738;.5810417532920837;135.4439252;.726356589;849326.75;458775.0625;659910
2015;840005;2205;1889;.2339862361037586;.0312334568554791;.0328215987294865;.2646903123345686;Nørager;Rebild;5. Himmerland;.0378518290817738;.5810417532920837;135.4439252;.726356589;849326.75;458775.0625;659910
