"ValgId";"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"Boligstørrelse_Antal boliger_000-039";"Boligstørrelse_Antal boliger_040-079";"Boligstørrelse_Antal boliger_080-119";"Boligstørrelse_Antal boliger_120-159";"Boligstørrelse_Antal boliger_160-199";"Boligstørrelse_Antal boliger_200-";"Boligstørrelse_Antal boliger_Ingen BBR";"Boligstørrelse_Antal personer_000-039";"Boligstørrelse_Antal personer_040-079";"Boligstørrelse_Antal personer_080-119";"Boligstørrelse_Antal personer_120-159";"Boligstørrelse_Antal personer_160-199";"Boligstørrelse_Antal personer_200-";"Boligstørrelse_Antal personer_Ingen BBR";"Boligtype_Antal boliger_01. Stuehuse og parcelhuse";"Boligtype_Antal boliger_02. Række- og kædehuse";"Boligtype_Antal boliger_03. Flerfamiliehuse";"Boligtype_Antal boliger_04. Kollegier";"Boligtype_Antal boliger_05. Sommerhuse";"Boligtype_Antal boliger_06. Øvrige boliger";"Boligtype_Antal boliger_07. Ingen BBR-oplysninger";"Boligtype_Antal personer_01. Stuehuse og parcelhuse";"Boligtype_Antal personer_02. Række- og kædehuse";"Boligtype_Antal personer_03. Flerfamiliehuse";"Boligtype_Antal personer_04. Kollegier";"Boligtype_Antal personer_05. Sommerhuse";"Boligtype_Antal personer_06. Øvrige boliger";"Boligtype_Antal personer_07. Ingen BBR-oplysninger";"Ejerforhold_Antal boliger_01. Ejerbolig";"Ejerforhold_Antal boliger_02. Andelsbolig";"Ejerforhold_Antal boliger_03. Almennyttig bolig";"Ejerforhold_Antal boliger_04. Lejer i offentligt ejet";"Ejerforhold_Antal boliger_05. Privat lejerbolig";"Ejerforhold_Antal boliger_06. Øvrige beboede boliger";"Ejerforhold_Antal boliger_07. Ingen BBR-oplysninger";"Ejerforhold_Antal personer_01. Ejerbolig";"Ejerforhold_Antal personer_02. Andelsbolig";"Ejerforhold_Antal personer_03. Almennyttig bolig";"Ejerforhold_Antal personer_04. Lejer i offentligt ejet";"Ejerforhold_Antal personer_05. Privat lejerbolig";"Ejerforhold_Antal personer_06. Øvrige beboede boliger";"Ejerforhold_Antal personer_07. Ingen BBR-oplysninger"
"30";"101031";"101031";"7";"1";"1";"79,36";"1316,71";"785,72";"366,41";"78,38";"25,47";"-";"83,27";"1940,78";"2010,34";"1125,67";"271,38";"96,01";"-";"746,53";"254,72";"1643,93";"-";"-";"6,86";"-";"2213,13";"691,66";"2610,89";"-";"-";"11,76";"-";"1245,19";"308,60";"192,02";"1,96";"795,51";"108,75";"-";"3219,28";"446,74";"515,32";"5,88";"1175,63";"164,59";"-"
"30";"101032";"101032";"7";"1";"1";"321";"1030";"1379";"1";"1";"2";"-";"359";"1898";"4162";"5";"1";"8";"-";"-";"43";"2416";"274";"-";"1";"-";"-";"116";"5999";"312";"-";"6";"-";"-";"-";"2732";"1";"1";"-";"-";"-";"-";"6430";"2";"1";"-";"-"
"30";"101033";"101033";"7";"1";"1";"39,04";"505,97";"706,80";"207,14";"17,37";"6,65";"0,04";"45,05";"750,22";"1646,76";"525,91";"57,24";"20,89";"0,07";"206,30";"470";"804,57";"1,57";"-";"0,52";"0,04";"543,64";"1138";"1357,67";"1,80";"-";"4,95";"0,07";"129,99";"891,43";"337,59";"4";"107,36";"12,60";"0,04";"344,05";"1823,54";"632,88";"9";"217,06";"19,54";"0,07"
"30";"101034";"101034";"7";"1";"1";"16,49";"1038,76";"858,18";"264,60";"63,60";"14,92";"0,79";"21,98";"1534,98";"2057,11";"822,06";"217,49";"63,60";"5,50";"548,04";"135,83";"1571,10";"-";"-";"1,57";"0,79";"1622,13";"341,54";"2751,19";"-";"-";"2,36";"5,50";"814,21";"290,51";"904,5";"0,79";"159,39";"87,15";"0,79";"2205,50";"524,48";"1588,37";"3,14";"283,44";"112,28";"5,50"
"30";"101035";"101035";"7";"1";"1";"743";"2591";"1284";"173";"72";"18";"-";"802";"4155";"3245";"473";"220";"56";"-";"555";"138";"4104";"67";"5";"12";"-";"1451";"339";"7061";"73";"7";"20";"-";"1043";"864";"1900";"634";"254";"186";"-";"2426";"1503";"3646";"682";"398";"296";"-"
"30";"101036";"101036";"7";"1";"1";"149,25";"2372,09";"1821,44";"691,14";"143,24";"26,08";"-";"160,26";"3588,03";"4609,25";"2088,50";"466,84";"89,30";"-";"1701,32";"686,79";"2804,11";"2";"-";"9,02";"-";"4766,88";"1753,15";"4458,12";"9";"-";"15,04";"-";"2154,87";"686,96";"1820,60";"4,01";"469,47";"67,34";"-";"5890,01";"1212,39";"3012,60";"15,02";"768,65";"103,51";"-"
"30";"101037";"101037";"7";"1";"1";"65";"1975";"1276";"223";"71";"12";"1";"82";"2881";"2936";"673";"204";"49";"1";"318";"14";"3280";"-";"1";"9";"1";"938";"46";"5815";"-";"1";"25";"1";"857";"870";"1422";"2";"310";"161";"1";"1931";"1464";"2661";"17";"507";"245";"1"
"30";"101038";"101038";"7";"1";"1";"73";"1678";"519";"158";"48";"19";"-";"86";"2393";"1181";"442";"151";"81";"-";"176";"82";"2233";"-";"-";"4";"-";"528";"226";"3557";"-";"-";"23";"-";"771";"519";"223";"3";"747";"232";"-";"1667";"814";"402";"20";"1110";"321";"-"
"30";"101039";"101039";"7";"1";"1";"91,87";"2469,57";"525,52";"229,18";"53,34";"13,83";"0,99";"102,73";"3350,71";"1216,01";"689,50";"200,53";"52,35";"0,99";"363,52";"50,38";"2967,43";"-";"-";"1,98";"0,99";"1115,26";"124,47";"4370,14";"-";"-";"1,98";"0,99";"780,38";"1116,24";"351,67";"1,98";"926,58";"206,46";"0,99";"1865,02";"1665,48";"501,82";"3,95";"1308,87";"266,71";"0,99"
"30";"101040";"101040";"7";"1";"1";"14,40";"1080,20";"1068,84";"452,45";"132,38";"31,45";"2";"25,47";"1701,19";"2778,42";"1359,83";"499,78";"111,69";"10";"993,15";"124,49";"1652,96";"-";"-";"9,12";"2";"2932,99";"318,18";"3198,99";"-";"-";"26,21";"10";"1629,94";"512,44";"91,38";"1,03";"421,01";"123,92";"2";"4356,71";"855,87";"299,08";"2,10";"753,71";"208,90";"10"
"30";"101041";"101041";"7";"1";"1";"234,04";"4476,68";"1423,25";"421,55";"125,10";"57,35";"3,38";"257,72";"6286,89";"3437,11";"1216,75";"392,61";"200,76";"4,22";"741,88";"294,07";"5694,43";"-";"-";"7,59";"3,38";"2094,77";"746,50";"8927,85";"-";"-";"22,73";"4,22";"2053,64";"1415,40";"1251,27";"0,87";"1620,74";"396,05";"3,38";"4500,34";"2146,95";"2256,21";"9,30";"2303,15";"575,88";"4,22"
"30";"101042";"101042";"8";"1";"1";"75,09";"3629,76";"1498,22";"525,27";"146,56";"48,82";"4,64";"83,55";"5461,41";"3904,87";"1596,74";"509,86";"208,89";"8,80";"819,60";"309,55";"4789,14";"-";"-";"5,43";"4,64";"2453,98";"1031,04";"8263,01";"-";"-";"17,30";"8,80";"1841,97";"1725,36";"1232,07";"3,16";"905,67";"215,50";"4,64";"4514,65";"2764,57";"2662,97";"5,75";"1489,98";"327,40";"8,80"
"30";"101043";"101043";"8";"1";"1";"116,60";"2632,33";"1108,74";"127,82";"25,44";"12,94";"0,56";"127,95";"3870,08";"2451,22";"341,24";"77,76";"45,57";"0,84";"40,74";"102,20";"3876,41";"-";"0,84";"3,68";"0,56";"129,98";"275,52";"6500,68";"-";"1,13";"6,51";"0,84";"742,07";"1299,12";"344,82";"1,99";"1268,83";"367,04";"0,56";"1292,87";"2191,03";"713,17";"4,97";"2002,45";"709,33";"0,84"
"30";"101044";"101044";"8";"1";"1";"173";"2420";"674";"208";"57";"7";"-";"193";"3900";"1715";"622";"186";"35";"-";"571";"144";"2808";"11";"-";"5";"-";"1615";"391";"4615";"22";"-";"8";"-";"1082";"108";"1684";"75";"447";"143";"-";"2622";"165";"2905";"76";"680";"203";"-"
"30";"101045";"101045";"8";"1";"1";"24,40";"976,67";"495,26";"63,18";"29,56";"33,06";"1,44";"28,05";"1441,92";"931,78";"162,76";"87,24";"116,43";"2,16";"38,26";"2,80";"1574,59";"-";"2,16";"4,32";"1,44";"132,02";"7,48";"2619,32";"-";"2,87";"6,49";"2,16";"411,93";"492,88";"116,18";"0,01";"466,17";"134,96";"1,44";"801,13";"808,97";"165,83";"0,03";"785,55";"206,67";"2,16"
"30";"101046";"101046";"8";"1";"1";"470";"2218";"858";"117";"32";"4";"-";"498";"3395";"2283";"365";"110";"9";"-";"301";"290";"3090";"18";"-";"-";"-";"880";"730";"5031";"19";"-";"-";"-";"622";"1265";"1241";"173";"269";"129";"-";"1529";"1978";"2396";"190";"381";"186";"-"
"30";"101047";"101047";"8";"1";"1";"285";"1160";"1164";"188";"44";"22";"2";"299";"1755";"2901";"565";"139";"76";"2";"249";"74";"2357";"37";"2";"144";"2";"700";"193";"4648";"41";"2";"151";"2";"532";"904";"976";"31";"350";"70";"2";"1291";"1626";"2121";"38";"527";"132";"2"
"30";"101048";"101048";"8";"1";"1";"167";"2728";"558";"124";"78";"6";"4";"182";"4239";"1225";"331";"256";"26";"5";"216";"107";"3337";"-";"-";"1";"4";"628";"262";"5366";"-";"-";"3";"5";"526";"1633";"504";"1";"831";"166";"4";"1252";"2663";"933";"2";"1196";"213";"5"
"30";"101049";"101049";"9";"1";"1";"169,80";"2953,72";"1434,55";"231,57";"69,43";"19,49";"0,09";"203,27";"4589,54";"3031,39";"623,39";"217,87";"62,24";"0,18";"0,89";"-";"4863,77";"-";"-";"13,90";"0,09";"2,68";"-";"8699,48";"-";"-";"25,54";"0,18";"531,39";"3074,41";"104,01";"15,27";"814,63";"338,86";"0,09";"885,16";"5610,82";"242,35";"40,37";"1398,45";"550,55";"0,18"
"30";"101050";"101050";"9";"1";"1";"194,78";"3066,41";"1604,04";"270,20";"50,63";"23,51";"1,98";"319,42";"4870,32";"3720,16";"714,04";"163,08";"115,18";"3,95";"0,11";"-";"5194,33";"0,90";"0,07";"14,17";"1,98";"0,32";"-";"9787,62";"1,17";"0,14";"112,94";"3,95";"496,24";"2708,91";"527,92";"23,85";"1010,87";"441,78";"1,98";"936,05";"4936,92";"1346,81";"42,05";"1905,60";"734,76";"3,95"
"30";"101051";"101051";"9";"1";"1";"239,60";"4788,42";"932,94";"57,92";"1,76";"0,88";"41,25";"295,77";"7229,15";"2349,45";"164,12";"5,27";"16,68";"115,85";"324,73";"7,02";"5679,23";"-";"6,14";"4,39";"41,25";"728,44";"7,02";"9291,61";"-";"8,78";"24,57";"115,85";"1008,41";"1362,10";"2878,67";"9,65";"256,27";"506,40";"41,25";"1828,13";"2008,93";"5095,60";"14,92";"451,11";"661,74";"115,85"
"30";"101052";"101052";"9";"1";"1";"75,55";"2096,84";"1792,25";"456,59";"136,11";"81,12";"0,94";"90,48";"3174,56";"3819,04";"1141,38";"364,44";"532,91";"3,58";"0,00";"0,00";"4597,42";"12,14";"0,93";"27,95";"0,94";"0,00";"0,00";"9017,50";"15,88";"1,86";"87,57";"3,58";"346,74";"2531,59";"107,10";"271,89";"1061,47";"319,65";"0,94";"692,46";"4780,95";"231,89";"451,61";"2285,71";"680,19";"3,58"
"30";"101053";"101053";"9";"1";"1";"99,78";"1715,88";"938,11";"346,25";"32,41";"15,35";"17,06";"107,46";"2733,30";"2091,13";"1034,48";"109,16";"63,96";"70,78";"1,71";"195,30";"2947,36";"-";"-";"3,41";"17,06";"5,12";"573,10";"5553,60";"-";"-";"7,68";"70,78";"238,79";"2000,73";"164,60";"108,31";"418,74";"216,62";"17,06";"612,33";"3786,54";"367,57";"208,94";"753,90";"410,21";"70,78"
"30";"101054";"101054";"9";"1";"1";"405,62";"3094,69";"349,96";"70,83";"5,84";"4,77";"8,69";"445,78";"4785,55";"814,42";"208,40";"19,57";"19,36";"28,37";"46,57";"34,68";"3556,40";"292";"0,86";"1,20";"8,69";"106,44";"99,88";"5767,79";"313";"1,22";"4,75";"28,37";"381,80";"966,17";"1361,73";"25,04";"718,99";"477,98";"8,69";"671,54";"1701,53";"2155,83";"49,14";"1108,99";"606,05";"28,37"
"30";"147001";"147001";"10";"1";"1";"89";"1288";"2181";"984";"449";"286";"6";"124";"1801";"4411";"2281";"1175";"898";"12";"69";"6";"5168";"1";"-";"33";"6";"222";"20";"10297";"20";"-";"131";"12";"1274";"1586";"581";"3";"1379";"454";"6";"2773";"3255";"1079";"41";"2665";"877";"12"
"30";"147002";"147002";"10";"1";"1";"81";"1325";"2475";"1012";"419";"186";"10";"110";"1789";"4614";"2274";"1054";"647";"51";"36";"2";"5426";"2";"-";"32";"10";"153";"5";"10202";"32";"-";"96";"51";"1751";"1515";"266";"7";"1588";"371";"10";"3436";"2845";"531";"27";"3010";"639";"51"
"30";"147003";"147003";"10";"1";"1";"376";"3647";"2324";"335";"110";"100";"1";"422";"5484";"4640";"870";"303";"465";"8";"213";"126";"6447";"96";"-";"10";"1";"645";"352";"10911";"113";"-";"163";"8";"1141";"741";"1946";"455";"1662";"947";"1";"2368";"1193";"3066";"865";"2869";"1823";"8"
"30";"147004";"147004";"10";"1";"1";"115";"2969";"2037";"693";"185";"133";"6";"126";"3931";"3919";"1554";"510";"748";"9";"262";"48";"5761";"18";"-";"43";"6";"749";"157";"9440";"43";"-";"399";"9";"1304";"1082";"718";"2";"2006";"1020";"6";"2744";"1903";"1461";"78";"3168";"1434";"9"
