"ValgId";"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"Boligstørrelse_Antal boliger_000-040";"Boligstørrelse_Antal boliger_040-079";"Boligstørrelse_Antal boliger_080-119";"Boligstørrelse_Antal boliger_120-159";"Boligstørrelse_Antal boliger_160-199";"Boligstørrelse_Antal boliger_200-";"Boligstørrelse_Antal boliger_Ingen BBR";"Boligstørrelse_Antal personer_000-040";"Boligstørrelse_Antal personer_040-079";"Boligstørrelse_Antal personer_080-119";"Boligstørrelse_Antal personer_120-159";"Boligstørrelse_Antal personer_160-199";"Boligstørrelse_Antal personer_200-";"Boligstørrelse_Antal personer_Ingen BBR";"Boligtype_Antal boliger";"Boligtype_Antal boliger_01. Stuehuse og parcelhuse";"Boligtype_Antal boliger_02. Række- og kædehuse";"Boligtype_Antal boliger_03. Flerfamiliehuse";"Boligtype_Antal boliger_04. Kollegier";"Boligtype_Antal boliger_05. Sommerhuse";"Boligtype_Antal boliger_06. Øvrige boliger";"Boligtype_Antal boliger_07. Ingen BBR-oplysninger";"Boligtype_Antal personer";"Boligtype_Antal personer_01. Stuehuse og parcelhuse";"Boligtype_Antal personer_02. Række- og kædehuse";"Boligtype_Antal personer_03. Flerfamiliehuse";"Boligtype_Antal personer_04. Kollegier";"Boligtype_Antal personer_05. Sommerhuse";"Boligtype_Antal personer_06. Øvrige boliger";"Boligtype_Antal personer_07. Ingen BBR-oplysninger";"Ejerforhold_Antal boliger";"Ejerforhold_Antal boliger_01. Ejerbolig";"Ejerforhold_Antal boliger_02. Andelsbolig";"Ejerforhold_Antal boliger_03. Almennyttig bolig";"Ejerforhold_Antal boliger_04. Lejer i offentligt ejet";"Ejerforhold_Antal boliger_05. Privat lejerbolig";"Ejerforhold_Antal boliger_06. Øvrige beboede boliger";"Ejerforhold_Antal boliger_07. Ingen BBR-oplysninger";"Ejerforhold_Antal personer";"Ejerforhold_Antal personer_01. Ejerbolig";"Ejerforhold_Antal personer_02. Andelsbolig";"Ejerforhold_Antal personer_03. Almennyttig bolig";"Ejerforhold_Antal personer_04. Lejer i offentligt ejet";"Ejerforhold_Antal personer_05. Privat lejerbolig";"Ejerforhold_Antal personer_06. Øvrige beboede boliger";"Ejerforhold_Antal personer_07. Ingen BBR-oplysninger";"grossincome_anhus";"grossincome_ma100";"grossincome_mi100";"grossincome_mi150";"grossincome_mi200";"grossincome_mi300";"grossincome_mi400";"grossincome_mi500";"grossincome_smbru";"grossincome_smfor";"transferPayments_afak_1";"transferPayments_afak_2";"transferPayments_afak_3";"transferPayments_cash_1";"transferPayments_cash_2";"transferPayments_cash_3";"transferPayments_eabe_1";"transferPayments_eabe_2";"transferPayments_eabe_3";"transferPayments_earl_1";"transferPayments_earl_2";"transferPayments_earl_3";"transferPayments_komm_1";"transferPayments_komm_2";"transferPayments_komm_3";"transferPayments_mat_1";"transferPayments_mat_2";"transferPayments_mat_3";"transferPayments_old_1";"transferPayments_old_2";"transferPayments_old_3";"transferPayments_orlo_1";"transferPayments_orlo_2";"transferPayments_orlo_3";"transferPayments_reha_1";"transferPayments_reha_2";"transferPayments_reha_3";"transferPayments_sick_1";"transferPayments_sick_2";"transferPayments_sick_3";"transferPayments_unem_1";"transferPayments_unem_2";"transferPayments_unem_3"
"181";"773009";"773009";"91";"16";"3";"-";"31";"97";"134";"68";"60";"-";"-";"66";"220";"338";"190";"186";"-";"-";"382";"1";"2";"-";"4";"1";"-";"-";"980";"4";"5";"-";"9";"2";"-";"-";"365";"-";"-";"1";"24";"-";"-";"-";"938";"-";"-";"1";"61";"-";"-";"391";"20";"43";"35";"60";"63";"84";"86";"145050030";"188337000";"1";"8";"0";"6";"2";"1";"0";"0";"40";"1";"15";"31";"3";"1";"0";"9";"17";"0";"0";"0";"137";"0";"13";"0";"0";"3";"0";"12";"33";"16";"26";"41";"18"
"181";"773010";"773010";"91";"16";"3";"-";"16";"79";"101";"54";"46";"-";"-";"27";"185";"257";"171";"151";"-";"-";"282";"13";"-";"-";"1";"-";"-";"-";"771";"18";"-";"-";"2";"-";"-";"-";"259";"6";"-";"-";"31";"-";"-";"-";"706";"11";"-";"-";"74";"-";"-";"292";"26";"32";"28";"29";"41";"73";"63";"108289266";"128116024";"3";"6";"1";"3";"2";"0";"0";"0";"14";"0";"8";"25";"2";"3";"0";"5";"15";"0";"0";"0";"100";"1";"12";"1";"0";"3";"0";"15";"30";"10";"13";"34";"11"
"181";"773011";"773011";"91";"16";"3";"-";"25";"90";"91";"52";"47";"-";"-";"39";"199";"236";"147";"148";"-";"-";"287";"9";"1";"-";"4";"4";"-";"-";"739";"13";"2";"-";"8";"7";"-";"-";"255";"-";"-";"2";"48";"-";"-";"-";"669";"-";"-";"2";"98";"-";"-";"302";"17";"41";"33";"58";"55";"54";"44";"100676766";"101282914";"3";"2";"0";"3";"4";"3";"0";"0";"31";"0";"23";"39";"4";"2";"0";"5";"9";"0";"0";"0";"85";"2";"9";"3";"1";"0";"0";"12";"30";"9";"15";"36";"8"
"181";"773012";"773012";"91";"16";"3";"-";"14";"68";"123";"79";"75";"1";"-";"23";"138";"348";"244";"240";"4";"-";"353";"4";"-";"-";"-";"2";"1";"-";"981";"7";"-";"-";"-";"5";"4";"-";"327";"-";"-";"3";"29";"-";"1";"-";"927";"-";"-";"3";"63";"-";"4";"364";"17";"24";"26";"49";"71";"69";"108";"151591368";"129737250";"4";"4";"1";"4";"3";"0";"0";"0";"29";"1";"6";"30";"2";"0";"0";"11";"19";"0";"0";"0";"93";"3";"16";"2";"1";"1";"0";"16";"34";"14";"16";"36";"16"
"181";"773013";"773013";"91";"16";"3";"-";"22";"97";"120";"64";"53";"2";"-";"33";"212";"306";"191";"181";"5";"-";"337";"10";"4";"-";"-";"5";"2";"-";"883";"11";"12";"-";"-";"17";"5";"-";"301";"-";"-";"3";"52";"-";"2";"-";"800";"-";"-";"13";"110";"-";"5";"354";"20";"44";"34";"64";"52";"64";"76";"135039244";"165430046";"1";"1";"0";"1";"7";"0";"0";"0";"32";"0";"10";"40";"1";"4";"0";"4";"8";"0";"0";"0";"125";"5";"7";"3";"0";"3";"0";"17";"32";"16";"25";"28";"5"
"181";"773014";"773014";"91";"16";"3";"1";"45";"130";"127";"82";"64";"2";"1";"58";"269";"312";"251";"215";"2";"-";"419";"22";"1";"-";"2";"5";"2";"-";"1054";"24";"1";"-";"3";"24";"2";"-";"374";"15";"-";"1";"59";"-";"2";"-";"948";"18";"-";"16";"124";"-";"2";"451";"51";"76";"59";"59";"64";"62";"80";"146690770";"228013367";"1";"4";"1";"6";"3";"1";"0";"0";"44";"0";"25";"65";"5";"3";"0";"5";"10";"0";"0";"0";"203";"5";"16";"3";"0";"6";"0";"20";"46";"14";"8";"48";"19"
"181";"773015";"773015";"91";"16";"3";"-";"30";"99";"105";"52";"24";"-";"-";"54";"194";"264";"143";"77";"-";"-";"305";"-";"2";"-";"1";"2";"-";"-";"724";"-";"3";"-";"1";"4";"-";"-";"272";"-";"-";"7";"31";"-";"-";"-";"658";"-";"-";"8";"66";"-";"-";"307";"27";"50";"28";"58";"51";"48";"45";"97226985";"100524703";"1";"4";"0";"7";"1";"0";"0";"0";"36";"1";"16";"43";"7";"0";"0";"8";"8";"0";"0";"0";"87";"3";"12";"2";"1";"1";"0";"10";"30";"10";"10";"30";"20"
"181";"773016";"773016";"91";"16";"3";"1";"31";"108";"91";"45";"39";"-";"2";"50";"215";"222";"125";"139";"-";"-";"294";"14";"2";"-";"1";"4";"-";"-";"708";"16";"3";"-";"3";"23";"-";"-";"274";"-";"12";"1";"28";"-";"-";"-";"664";"-";"13";"19";"57";"-";"-";"312";"34";"58";"26";"47";"42";"51";"54";"101169175";"126377271";"0";"2";"0";"5";"4";"3";"0";"0";"19";"1";"16";"35";"1";"0";"0";"8";"7";"0";"0";"0";"142";"1";"5";"2";"0";"0";"0";"20";"26";"11";"14";"24";"18"
"181";"773017";"773017";"91";"16";"3";"1";"48";"133";"110";"63";"49";"2";"1";"58";"255";"257";"179";"156";"5";"-";"367";"13";"8";"-";"2";"14";"2";"-";"842";"15";"16";"-";"4";"29";"5";"-";"328";"-";"-";"18";"58";"-";"2";"-";"761";"-";"-";"25";"120";"-";"5";"407";"68";"63";"48";"63";"60";"51";"54";"117882694";"231705616";"0";"3";"1";"2";"14";"2";"0";"0";"31";"3";"32";"68";"6";"1";"1";"12";"13";"0";"0";"0";"170";"1";"6";"1";"0";"3";"0";"8";"30";"9";"7";"41";"14"
"181";"773018";"773018";"91";"16";"3";"156";"1379";"1415";"934";"400";"255";"45";"171";"1789";"2809";"2480";"1113";"803";"86";"-";"2184";"998";"1229";"43";"10";"75";"45";"-";"5500";"1732";"1664";"46";"22";"201";"86";"-";"2561";"193";"734";"52";"929";"70";"45";"-";"6189";"252";"1071";"136";"1432";"85";"86";"4635";"747";"852";"494";"719";"550";"563";"710";"1385341650";"1071394918";"16";"34";"8";"78";"84";"5";"0";"0";"384";"38";"300";"486";"71";"44";"4";"67";"98";"0";"0";"0";"1727";"21";"80";"18";"22";"23";"2";"169";"254";"97";"193";"305";"168"
