id,b,se,pb,vola,ub95,lb95,ub90,lb90
-34,35.688713,1.2557441,1,1,38.149971,33.227455,37.748135,33.629292
-36,34.47929,.69632936,1,0,35.844097,33.114483,35.621269,33.337311
-36,35.688343,1.3270611,1,1,38.289383,33.087303,37.864723,33.511963
-38,34.368332,.73699534,1,0,35.812843,32.92382,35.577003,33.15966
-38,35.687973,1.3992221,1,1,38.430447,32.945499,37.982697,33.39325
-40,34.25737,.77776301,1,0,35.781784,32.732956,35.532902,32.981838
-40,35.687603,1.4721034,1,1,38.572926,32.80228,38.101852,33.273354
-42,34.146408,.81861722,1,0,35.750896,32.54192,35.488941,32.803875
-42,35.687233,1.5456027,1,1,38.716614,32.657852,38.222023,33.152443
-44,34.03545,.85954559,1,0,35.720158,32.350742,35.445107,32.625793
-44,35.686863,1.6196361,1,1,38.861351,32.512375,38.343067,33.030659
-46,33.924488,.90053803,1,0,35.689541,32.159435,35.401371,32.447605
-46,35.686489,1.6941335,1,1,39.006992,32.365986,38.464867,32.908112
-48,33.813526,.94158614,1,0,35.659035,31.968018,35.357727,32.269325
-48,35.686119,1.7690363,1,1,39.153431,32.218807,38.587337,32.784901
-50,33.702568,.982683,1,0,35.628628,31.77651,35.314167,32.090969
-50,35.685749,1.844295,1,1,39.300568,32.07093,38.710392,32.661106
