"Afstemningsområde","Opstillingskreds","Storkreds","Landsdel","Filnavn","Stemmeberettigede","IAltGyldigeStemmer","BlankeStemmer","AndreUgyldigeStemmer","IAltAfgivneStemmer","A","B","C","F","I","K","O","V","Ø","Å","UdenForParti","adrstring","lat","lon","zip","muninum","area","hp_1yr","hp_2yr","incsupport","hp_1yrposchange","hp_1yrnegchange","hp_2yrposchange","hp_2yrnegchange"
"Alsted Fjenneslev","11. Ringsted","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495100.xml",1429,1244,10,3,1257,314,36,31,36,78,3,383,271,60,31,1,"Alsted Fjenneslev, Ringsted, Denmark",55.4065,11.6716,4173,340,"4173 Fjenneslev",NaN,NaN,28.135,NA,NA,NA,NA
"Sorø","11. Ringsted","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495101.xml",4055,3474,38,10,3522,960,171,203,153,228,21,637,659,248,189,5,"Sorø, Ringsted, Denmark",55.443,11.7914,4100,329,"4100 Ringsted",11.5056,20.7714,32.5561,11.5056,0,20.7714,0
"Frederiksberg","11. Ringsted","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495102.xml",3504,3159,25,4,3188,844,193,114,180,185,12,519,645,246,221,0,"Frederiksberg, Ringsted, Denmark",55.4433,11.5899,4180,340,"4180 Sorø",-14.5422,5.63693,32.8268,0,14.5422,5.63693,0
"Pedersborg","11. Ringsted","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495103.xml",2950,2513,14,4,2531,585,87,127,108,150,7,629,586,159,72,3,"Pedersborg, Ringsted, Denmark",55.4433,11.5899,4180,340,"4180 Sorø",-14.5422,5.63693,26.7409,0,14.5422,5.63693,0
"Stenlille","11. Ringsted","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495104.xml",4261,3581,43,9,3633,895,75,111,139,208,17,1116,660,228,132,0,"Stenlille, Ringsted, Denmark",55.54,11.5917,4295,340,"4295 Stenlille",NaN,NaN,27.0874,NA,NA,NA,NA
"Hyllinge-Lyndby","6. Køge","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495001.xml",2937,2588,20,5,2613,574,66,64,129,190,6,645,659,157,98,0,"Hyllinge-Lyndby, Køge, Denmark",55.4575,12.1822,4600,259,"4600 Køge",9.68531,11.1593,24.7295,9.68531,0,11.1593,0
"Rye","6. Køge","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495002.xml",1946,1710,15,8,1733,434,67,43,83,102,5,434,399,85,58,0,"Rye, Køge, Denmark",55.5105,11.971,4140,259,"4140 Borup",12.8627,3.17913,29.2982,12.8627,0,3.17913,0
"Sæby-Gershøj","6. Køge","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495003.xml",1251,1122,8,2,1132,252,38,25,76,77,3,278,251,71,51,0,"Sæby-Gershøj, Køge, Denmark",55.4575,12.1822,4600,259,"4600 Køge",9.68531,11.1593,25.8467,9.68531,0,11.1593,0
"Sonnerup","6. Køge","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495004.xml",1127,1009,10,2,1021,241,37,29,41,55,6,262,232,68,38,0,"Sonnerup, Køge, Denmark",55.3774,12.0939,4682,259,"4682 Tureby",NaN,NaN,27.552,NA,NA,NA,NA
"Glim","6. Køge","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495005.xml",951,825,11,1,837,175,25,28,45,79,1,158,206,60,44,4,"Glim, Køge, Denmark",55.6265,12.0913,4000,265,"4000 Roskilde",10.4471,13.6237,24.2424,10.4471,0,13.6237,0
"Hvalsø","6. Køge","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495006.xml",3275,2921,20,12,2953,805,169,91,236,181,9,494,509,269,157,1,"Hvalsø, Køge, Denmark",55.5943,11.861,4330,350,"4330 Hvalsø",4.52632,21.5056,33.3447,4.52632,0,21.5056,0
"Kr.Såby","6. Køge","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495007.xml",2199,1966,17,4,1987,448,56,55,133,139,5,536,391,125,77,1,"Kr.Såby, Køge, Denmark",55.4575,12.1822,4600,259,"4600 Køge",9.68531,11.1593,25.6358,9.68531,0,11.1593,0
"Gevninge","6. Køge","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495008.xml",2125,1940,25,15,1980,444,78,63,101,170,4,409,482,104,85,0,"Gevninge, Køge, Denmark",55.4575,12.1822,4600,259,"4600 Køge",9.68531,11.1593,26.9072,9.68531,0,11.1593,0
"Lejre","6. Køge","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495009.xml",1910,1771,12,2,1785,386,150,71,126,168,3,175,438,118,136,0,"Lejre, Køge, Denmark",55.6013,11.9645,4320,350,"4320 Lejre",2.3639,NaN,30.2654,2.3639,0,NA,NA
"Osted","6. Køge","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495010.xml",2315,2063,13,6,2082,508,101,35,100,121,27,479,484,110,95,3,"Osted, Køge, Denmark",55.5658,11.9617,4320,350,"4320 Lejre",2.3639,NaN,29.5201,2.3639,0,NA,NA
"Errindlev","1. Lolland","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494895.xml",640,557,7,1,565,161,16,17,17,18,3,161,121,31,11,1,"Errindlev, Lolland, Denmark",54.6684,11.4947,4895,360,"4895 Errindlev",NaN,NaN,31.7774,NA,NA,NA,NA
"Holeby","1. Lolland","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494896.xml",2065,1661,10,5,1676,624,25,44,56,42,3,435,280,125,27,0,"Holeby, Lolland, Denmark",54.7107,11.4649,4960,360,"4960 Holeby",NaN,NaN,39.0728,NA,NA,NA,NA
"Sandby","1. Lolland","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494897.xml",808,653,6,1,660,193,8,29,25,20,0,180,130,53,15,0,"Sandby, Lolland, Denmark",54.8752,11.0872,4912,360,"4912 Harpelunde",NaN,NaN,30.781,NA,NA,NA,NA
"Søllested","1. Lolland","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494898.xml",1731,1402,16,5,1423,438,13,73,44,53,6,399,226,118,30,2,"Søllested, Lolland, Denmark",54.8105,11.2705,4920,360,"4920 Søllested",NaN,NaN,32.1683,NA,NA,NA,NA
"Maribo","1. Lolland","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494899.xml",5297,4366,40,12,4418,1585,71,159,168,143,16,970,879,278,96,1,"Maribo, Lolland, Denmark",54.7747,11.5074,4930,360,"4930 Maribo",-3.58417,-9.15659,37.9295,0,3.58417,0,9.15659
"Askø","1. Lolland","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494900.xml",41,38,0,0,38,6,1,0,1,0,2,13,12,1,2,0,"Askø, Lolland, Denmark",54.8948,11.4928,4930,360,"4930 Maribo",-3.58417,-9.15659,18.4211,0,3.58417,0,9.15659
"Østofte","1. Lolland","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494901.xml",2722,2172,16,4,2192,617,23,71,69,73,8,620,437,186,68,0,"Østofte, Lolland, Denmark",54.8019,11.4256,4951,360,"4951 Nørreballe",NaN,NaN,29.4659,NA,NA,NA,NA
"Nakskov Idrætscenter","1. Lolland","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494902.xml",6868,5355,44,49,5448,2292,60,174,283,123,12,1327,560,397,120,7,"Nakskov Idrætscenter, Lolland, Denmark",54.8357,11.1354,4900,360,"4900 Nakskov",2.37809,-7.88191,43.9216,2.37809,0,0,7.88191
"Nakskov Stormarkskolen","1. Lolland","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494903.xml",4309,3525,36,9,3570,1371,50,144,158,90,7,901,474,245,84,1,"Nakskov Stormarkskolen, Lolland, Denmark",54.8378,11.1541,4900,360,"4900 Nakskov",2.37809,-7.88191,40.3121,2.37809,0,0,7.88191
"Birket","1. Lolland","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494904.xml",434,350,0,3,353,133,6,1,11,9,1,76,77,29,7,0,"Birket, Lolland, Denmark",54.9005,11.3317,4943,360,"4943 Torrig L",NaN,NaN,39.7143,NA,NA,NA,NA
"Fejø","1. Lolland","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494905.xml",362,326,4,0,330,84,7,12,12,11,2,75,64,32,27,0,"Fejø, Lolland, Denmark",54.9488,11.4233,4944,360,"4944 Fejø",NaN,NaN,27.9141,NA,NA,NA,NA
"Femø","1. Lolland","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494906.xml",110,102,1,0,103,17,1,8,7,3,0,19,32,10,5,0,"Femø, Lolland, Denmark",54.9721,11.5303,4930,360,"4930 Maribo",-3.58417,-9.15659,17.6471,0,3.58417,0,9.15659
"Horslunde","1. Lolland","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494907.xml",1833,1435,13,10,1458,461,23,42,60,42,4,392,247,115,49,0,"Horslunde, Lolland, Denmark",54.9107,11.2166,4913,360,"4913 Horslunde",NaN,NaN,33.7282,NA,NA,NA,NA
"Dannemare","1. Lolland","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494908.xml",2283,1839,14,1,1854,576,14,63,55,71,4,520,355,140,40,1,"Dannemare, Lolland, Denmark",54.7607,11.1875,4983,360,"4983 Dannemare",NaN,NaN,32.0827,NA,NA,NA,NA
"Rødby","1. Lolland","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494909.xml",2983,2418,10,4,2432,771,34,75,93,78,10,633,481,194,49,0,"Rødby, Lolland, Denmark",54.6937,11.3896,4970,360,"4970 Rødby",23.8077,NaN,33.292,23.8077,0,NA,NA
"Rødbyhavn","1. Lolland","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494910.xml",1349,969,7,4,980,350,13,23,52,26,2,303,119,65,16,0,"Rødbyhavn, Lolland, Denmark",54.6627,11.3566,4970,360,"4970 Rødby",23.8077,NaN,37.4613,23.8077,0,NA,NA
"Fuglebjerg Hallen","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494948.xml",3407,2849,29,4,2882,698,63,72,106,162,14,890,542,197,102,3,"Fuglebjerg Hallen, Næstved, Denmark",55.2246,11.7592,4700,370,"4700 Næstved",7.15975,18.9577,26.7111,7.15975,0,18.9577,0
"Everdrup","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494949.xml",819,686,7,4,697,181,9,19,15,36,2,181,180,35,27,1,"Everdrup, Næstved, Denmark",55.2044,11.9596,4733,370,"4733 Tappernøje",23.4225,NaN,27.6968,23.4225,0,NA,NA
"Grønbro-Hallen","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494950.xml",1595,1320,17,7,1344,294,25,33,43,86,3,461,246,91,37,1,"Grønbro-Hallen, Næstved, Denmark",55.2246,11.7592,4700,370,"4700 Næstved",7.15975,18.9577,24.1667,7.15975,0,18.9577,0
"Næstelsø - Mogenstrup","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494951.xml",1888,1699,10,3,1712,506,36,57,41,123,7,367,454,71,37,0,"Næstelsø - Mogenstrup, Næstved, Denmark",55.1815,11.8646,4700,370,"4700 Næstved",7.15975,18.9577,31.9011,7.15975,0,18.9577,0
"Tybjerg","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494952.xml",733,655,8,1,664,170,19,8,21,47,1,176,150,39,24,0,"Tybjerg, Næstved, Denmark",55.3489,11.8102,4160,370,"4160 Herlufmagle",NaN,NaN,28.855,NA,NA,NA,NA
"Snesere","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494953.xml",1965,1676,18,4,1698,482,39,37,48,97,8,466,353,80,66,0,"Snesere, Næstved, Denmark",55.1645,11.9324,4733,370,"4733 Tappernøje",23.4225,NaN,31.0859,23.4225,0,NA,NA
"Hammer - Vester Egesborg","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494954.xml",1271,1089,16,2,1107,301,17,26,26,65,10,266,273,56,48,1,"Hammer - Vester Egesborg, Næstved, Denmark",55.157,11.8172,4700,370,"4700 Næstved",7.15975,18.9577,29.2011,7.15975,0,18.9577,0
"Fensmark","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494955.xml",3668,3236,23,5,3264,1112,48,121,85,214,15,846,541,174,80,0,"Fensmark, Næstved, Denmark",55.2772,11.8043,4684,370,"4684 Holmegaard",-7.63764,26.6667,35.8467,0,7.63764,26.6667,0
"Holme-Olstrup","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494956.xml",1090,990,7,4,1001,321,12,54,27,69,4,286,147,43,27,0,"Holme-Olstrup, Næstved, Denmark",55.259,11.8467,4684,370,"4684 Holmegaard",-7.63764,26.6667,33.6364,0,7.63764,26.6667,0
"Toksværd","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494957.xml",1281,1106,5,0,1111,285,18,34,38,62,1,328,218,76,46,0,"Toksværd, Næstved, Denmark",55.2527,11.8783,4684,370,"4684 Holmegaard",-7.63764,26.6667,27.396,0,7.63764,26.6667,0
"Glumsø","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494958.xml",2415,2151,24,3,2178,709,39,43,94,132,8,497,378,156,95,0,"Glumsø, Næstved, Denmark",55.3562,11.6879,4171,370,"4171 Glumsø",NaN,NaN,34.7745,NA,NA,NA,NA
"Sandby","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494959.xml",420,364,5,0,369,67,15,12,8,29,1,115,79,27,11,0,"Sandby, Næstved, Denmark",55.3793,11.7439,4171,370,"4171 Glumsø",NaN,NaN,22.5275,NA,NA,NA,NA
"Skelby","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494960.xml",521,444,3,1,448,104,11,9,9,28,1,142,103,22,15,0,"Skelby, Næstved, Denmark",55.3147,11.6788,4160,370,"4160 Herlufmagle",NaN,NaN,25.9009,NA,NA,NA,NA
"Herlufmagle","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494961.xml",2457,2117,20,5,2142,659,48,59,66,112,8,614,405,113,33,0,"Herlufmagle, Næstved, Denmark",55.3138,11.7513,4160,370,"4160 Herlufmagle",NaN,NaN,33.3963,NA,NA,NA,NA
"Ll. Næstved Skole-Karrebækvej","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494962.xml",3635,3117,23,12,3152,1108,75,95,105,237,14,647,581,174,79,2,"Ll. Næstved Skole-Karrebækvej, Næstved, Denmark",55.2145,11.7112,4700,370,"4700 Næstved",7.15975,18.9577,37.9532,7.15975,0,18.9577,0
"Grønnegades Kaserne","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494963.xml",3079,2415,26,11,2452,739,70,74,83,250,10,525,378,201,84,1,"Grønnegades Kaserne, Næstved, Denmark",55.2319,11.7611,4700,370,"4700 Næstved",7.15975,18.9577,33.499,7.15975,0,18.9577,0
"Kildemarkskolen","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494964.xml",4327,3408,35,14,3457,1259,86,79,141,197,13,788,414,308,121,2,"Kildemarkskolen, Næstved, Denmark",55.2313,11.7809,4700,370,"4700 Næstved",7.15975,18.9577,39.466,7.15975,0,18.9577,0
"Næstved Hallerne","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494965.xml",4637,3902,32,10,3944,1444,109,128,146,287,19,814,573,271,110,1,"Næstved Hallerne, Næstved, Denmark",55.1784,11.8682,4700,370,"4700 Næstved",7.15975,18.9577,39.8001,7.15975,0,18.9577,0
"Sct. Jørgens Skole","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494966.xml",5050,4291,24,10,4325,1657,87,134,136,233,20,986,642,262,132,2,"Sct. Jørgens Skole, Næstved, Denmark",55.2144,11.7495,4700,370,"4700 Næstved",7.15975,18.9577,40.6432,7.15975,0,18.9577,0
"Kalbyrisskolen","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494967.xml",2741,2300,15,11,2326,882,67,55,89,124,7,541,303,178,53,1,"Kalbyrisskolen, Næstved, Denmark",55.2428,11.7729,4700,370,"4700 Næstved",7.15975,18.9577,41.2609,7.15975,0,18.9577,0
"Ll Næstved Skole-Herlufsholmve","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494968.xml",2661,2363,15,1,2379,784,75,96,74,214,10,433,472,119,85,1,"Ll Næstved Skole-Herlufsholmve, Næstved, Denmark",55.2246,11.7592,4700,370,"4700 Næstved",7.15975,18.9577,36.3521,7.15975,0,18.9577,0
"Herlufsholmhallen","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494969.xml",4352,3613,32,12,3657,1206,80,132,84,278,23,819,746,157,87,1,"Herlufsholmhallen, Næstved, Denmark",55.2473,11.7578,4700,370,"4700 Næstved",7.15975,18.9577,35.5937,7.15975,0,18.9577,0
"Sydbyskolen","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494970.xml",3688,2943,29,13,2985,1125,66,48,108,151,18,785,361,223,56,2,"Sydbyskolen, Næstved, Denmark",55.2108,11.7775,4700,370,"4700 Næstved",7.15975,18.9577,40.4689,7.15975,0,18.9577,0
"Rønnebæk","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494971.xml",655,592,0,0,592,213,10,14,16,26,3,145,114,36,15,0,"Rønnebæk, Næstved, Denmark",55.2181,11.8109,4700,370,"4700 Næstved",7.15975,18.9577,37.6689,7.15975,0,18.9577,0
"Hyllinge","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494972.xml",1482,1266,5,2,1273,337,24,34,29,78,7,341,284,86,46,0,"Hyllinge, Næstved, Denmark",55.2573,11.6005,4700,370,"4700 Næstved",7.15975,18.9577,28.515,7.15975,0,18.9577,0
"Karrebæk","4. Næstved","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494973.xml",2047,1843,12,5,1860,587,27,53,52,101,8,455,420,83,57,0,"Karrebæk, Næstved, Denmark",55.191,11.6535,4736,370,"4736 Karrebæksminde",NaN,NaN,33.3152,NA,NA,NA,NA
"Byen","2. Guldborgsund","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494911.xml",3725,2794,22,19,2835,876,80,67,112,142,15,727,417,258,96,4,"Byen, Guldborgsund, Denmark",54.767,11.8741,4800,376,"4800 Nykøbing F",-3.30146,2.07937,34.2162,0,3.30146,2.07937,0
"Østerbro","2. Guldborgsund","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494912.xml",3201,2600,38,6,2644,887,44,56,101,134,21,691,332,247,87,0,"Østerbro, Guldborgsund, Denmark",54.8678,12.032,4850,376,"4850 Stubbekøbing",-15.5331,NaN,35.8077,0,15.5331,NA,NA
"Lindeskov","2. Guldborgsund","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494913.xml",2874,2349,24,6,2379,878,46,67,76,74,17,599,375,173,43,1,"Lindeskov, Guldborgsund, Denmark",NA,NA,NA,NA,NA,NA,NA,39.3359,NA,NA,NA,NA
"Ejegod","2. Guldborgsund","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494914.xml",3398,2813,19,12,2844,987,59,57,103,122,20,724,447,214,78,2,"Ejegod, Guldborgsund, Denmark",54.7799,11.8618,4800,376,"4800 Nykøbing F",-3.30146,2.07937,37.1845,0,3.30146,2.07937,0
"Kraghave","2. Guldborgsund","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494915.xml",2096,1849,19,9,1877,616,65,28,73,97,8,476,340,95,51,0,"Kraghave, Guldborgsund, Denmark",54.8028,11.8761,4800,376,"4800 Nykøbing F",-3.30146,2.07937,36.8307,0,3.30146,2.07937,0
"Toreby","2. Guldborgsund","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494916.xml",1505,1271,8,1,1280,357,28,25,51,41,7,424,206,99,32,1,"Toreby, Guldborgsund, Denmark",54.753,11.7876,4891,376,"4891 Toreby L",NaN,NaN,30.2911,NA,NA,NA,NA
"Sundby","2. Guldborgsund","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494917.xml",2665,2348,17,4,2369,816,60,63,72,94,14,628,399,136,63,3,"Sundby, Guldborgsund, Denmark",54.7664,11.8482,4800,376,"4800 Nykøbing F",-3.30146,2.07937,37.3083,0,3.30146,2.07937,0
"Nysted","2. Guldborgsund","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494918.xml",2446,2053,12,9,2074,672,36,45,53,78,16,605,362,120,64,2,"Nysted, Guldborgsund, Denmark",54.6645,11.7334,4880,376,"4880 Nysted",NaN,NaN,34.4861,NA,NA,NA,NA
"Øster Ulslev","2. Guldborgsund","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494919.xml",1405,1177,7,5,1189,308,23,26,26,46,1,349,264,95,39,0,"Øster Ulslev, Guldborgsund, Denmark",54.6975,11.6263,4894,376,"4894 Øster Ulslev",NaN,NaN,28.1223,NA,NA,NA,NA
"Nørre Alslev","2. Guldborgsund","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494920.xml",2513,2081,23,9,2113,661,33,59,71,63,8,610,374,159,43,0,"Nørre Alslev, Guldborgsund, Denmark",54.896,11.8779,4840,376,"4840 Nørre Alslev",-13.6902,14.6558,33.3494,0,13.6902,14.6558,0
"Nørre Vedby","2. Guldborgsund","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494921.xml",1808,1502,14,12,1528,454,25,34,64,62,2,435,261,123,42,0,"Nørre Vedby, Guldborgsund, Denmark",54.9297,11.8277,4840,376,"4840 Nørre Alslev",-13.6902,14.6558,31.8908,0,13.6902,14.6558,0
"Eskilstrup","2. Guldborgsund","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494922.xml",2109,1797,18,9,1824,561,42,41,53,55,7,567,297,120,53,1,"Eskilstrup, Guldborgsund, Denmark",54.8555,11.8851,4863,376,"4863 Eskilstrup",NaN,NaN,33.5559,NA,NA,NA,NA
"Sakskøbing","2. Guldborgsund","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494923.xml",4598,3683,44,15,3742,1303,52,103,133,98,10,972,686,250,76,0,"Sakskøbing, Guldborgsund, Denmark",54.7982,11.6312,4990,376,"4990 Sakskøbing",56.3984,50.6834,36.7907,56.3984,0,50.6834,0
"Majbølle","2. Guldborgsund","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494924.xml",1328,1121,6,2,1129,318,16,29,28,38,2,412,185,71,22,0,"Majbølle, Guldborgsund, Denmark",54.8337,11.7345,4862,376,"4862 Guldborg",NaN,NaN,29.7948,NA,NA,NA,NA
"Våbensted","2. Guldborgsund","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494925.xml",947,771,5,5,781,210,10,22,29,28,4,219,177,48,24,0,"Våbensted, Guldborgsund, Denmark",54.7908,11.5815,4990,376,"4990 Sakskøbing",56.3984,50.6834,28.5344,56.3984,0,50.6834,0
"Stubbekøbing","2. Guldborgsund","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494926.xml",3056,2537,26,9,2572,765,51,47,97,74,19,751,417,239,77,0,"Stubbekøbing, Guldborgsund, Denmark",54.8883,12.036,4850,376,"4850 Stubbekøbing",-15.5331,NaN,32.164,0,15.5331,NA,NA
"Horreby","2. Guldborgsund","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494927.xml",2487,2095,18,4,2117,576,44,32,63,75,6,687,355,158,99,0,"Horreby, Guldborgsund, Denmark",54.8021,11.9937,4800,376,"4800 Nykøbing F",-3.30146,2.07937,29.5943,0,3.30146,2.07937,0
"Idestrup","2. Guldborgsund","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494928.xml",1577,1364,15,5,1384,402,21,27,27,53,4,475,269,61,25,0,"Idestrup, Guldborgsund, Denmark",54.7419,11.9575,4872,376,"4872 Idestrup",NaN,NaN,31.0117,NA,NA,NA,NA
"Væggerløse","2. Guldborgsund","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494929.xml",2778,2485,12,10,2507,733,36,83,56,95,4,822,496,106,53,1,"Væggerløse, Guldborgsund, Denmark",54.7108,11.9257,4873,376,"4873 Væggerløse",NaN,NaN,30.9457,NA,NA,NA,NA
