year;valgstedId;voters;votes;a;b;c;v;inc_support
2001;161005;1351;1282;238;40;115;580;0,216848674
2001;161006;2326;2025;678;47;126;585;0,358024691
2001;163001;6513;5644;2206;236;406;1128;0,432671864
2001;163002;6433,61;5770,51;2141,73;230,03;459,82;1381,83;0,411013931
2001;163003;6794,39;5773,49;2034,27;255,97;399,18;1342,17;0,396682076
2001;165001;4731;4227;1257;194;281;922;0,343269458
2001;165002;3466;3146;1037;130;221;726;0,370947235
2001;165003;2892;2397;908;118;101;367;0,428035044
2001;165004;4166;3484;1366;130;108;566;0,429391504
2001;165005;4208;3758;1343;245;179;740;0,422565194
2001;167001;4086;3447;1100;183;261;850;0,372207717
2001;167002;3322;2850;985;120;189;696;0,387719298
2001;167003;4427;3758;1514;121;178;737;0,435071847
2001;167004;4691;4095;1510;153;197;877;0,406105006
2001;167005;4950;4356;1387;180;289;1158;0,359733701
2001;167006;5239;4569;1693;167;231;1034;0,407091267
2001;167007;5376;4653;1524;154;362;1294;0,360627552
2001;167008;4131;3387;1239;154;145;672;0,411278417
2001;169001;2710;2157;735;73;172;507;0,374594344
2001;169002;3278;2857;878;103;283;844;0,343367168
2001;169003;2560;2339;633;101;249;786;0,31380932
2001;169004;2121;1834;580;81;191;503;0,360414395
2001;169005;1583;1456;472;57;128;423;0,363324176
2001;169006;3748,76;3056,54;982,73;110,26;208,05;808,24;0,357590609
2001;169007;3329;2917;1009;108;186;815;0,382927665
2001;169008;2423,24;2043,46;616,27;85,74;152,95;596,76;0,343539878
2001;169009;1729;1542;383;54;143;571;0,283398184
2001;169010;1793;1475;528;38;79;418;0,383728814
2001;169011;3312;2859;939;70;172;1002;0,352920602
2001;169012;3050;2789;802;108;249;951;0,326281821
2001;169013;581;545;147;18;37;207;0,302752294
2001;173001;5158,4;4293,7;931,3;300,16;554,6;1436,2;0,286806251
2001;173002;4512;3907;1267;220;392;1002;0,380598925
2001;173003;4770,59;4173,81;895,75;299,7;538,21;1373,47;0,286416967
2001;173004;4609;4120;817;344;563;1397;0,281796117
2001;173005;1129;1026;185;110;158;338;0,287524366
2001;173006;4701;4314;680;448;751;1602;0,26147427
2001;173007;3484;3223;618;331;517;1034;0,294446168
2001;173008;3867;3422;806;284;466;1071;0,318527177
2001;173009;2140,6;1985,3;396,7;247,84;296,4;615,8;0,324656223
2001;173010;4616,41;4076,19;980,25;370,3;508,79;1185,53;0,331326557
2001;175001;3122;2736;918;117;227;645;0,378289474
2001;175003;5768,97;4929,27;1649,18;248,18;366,87;1210,48;0,384917036
2001;175004;2994,57;2491,97;1064,52;74,05;116,96;435,72;0,456895549
2001;175005;7393,46;6316,76;2406,3;234,77;368,17;1344,81;0,418105168
2001;175007;4022;3439;1362;143;208;671;0,437627217
2001;175008;4177;3721;1244;149;279;890;0,374361731
2001;183001;1052,27;956,39;241,88;38,5;87,83;327,91;0,293164922
2001;183002;2831,73;2505,61;849,12;87,5;144,17;680,09;0,373809172
2001;183003;3379;2843;1047;81;148;714;0,396763982
2001;183004;2511;1903;800;129;47;240;0,488176563
2001;183005;3765;3281;1091;98;222;944;0,362389515
2001;185001;4151;3685;1149;91;234;1041;0,336499322
2001;185002;5046;4488;1482;138;275;1304;0,360962567
2001;185003;4681;3953;1549;131;219;804;0,424993676
2001;185004;3832;3268;1242;133;208;776;0,420746634
2001;185005;3630;3179;1022;121;214;883;0,359547027
2001;185006;8722;7454;3010;260;362;1605;0,438690636
2001;187001;2339;2021;514;51;292;630;0,279564572
2001;187002;3116;2892;781;108;445;895;0,307399723
2001;187003;3587;3316;817;148;567;1084;0,291013269
2001;190001;7030,92;6483,31;1369,03;508,84;810,92;2202,56;0,289646801
2001;190002;2480;2314;421;253;261;778;0,291270527
2001;190003;2775,08;2576,69;513,97;206,16;298,08;951,44;0,279478711
2001;190004;938;863;194;82;102;249;0,3198146
2001;190005;4123;3789;654;332;351;1618;0,260226973
2001;190006;4449;4076;788;320;347;1618;0,271835132
2001;190007;4241;3562;946;212;186;1202;0,325098259
2001;201001;1963;1880;275;146;239;808;0,22393617
2001;201002;3321,37;3021,61;728,06;252,83;339,1;927,76;0,324624952
2001;201003;4193,63;3761,73;773,95;286,78;464,97;1389,22;0,281979302
2001;201004;3404;3082;588;172;284;1318;0,246593121
2001;201005;3633;3404,66;551,99;245,4;475,92;1486,02;0,234205471
2001;210001;4160;3663;834;213;360;1380;0,285831286
2001;210002;3542;3203;565;283;419;1306;0,264751795
2001;210003;3511;3077;702;279;330;1030;0,31881703
2001;210004;3215;2899;754;216;292;897;0,334598137
2001;210005;3262;2881;609;228;241;1080;0,290524124
2001;210006;3448;3067;616;171;322;1259;0,256602543
2001;210007;2849;2546;582;154;230;970;0,289080911
2001;210008;853;801;89;47;86;407;0,169787765
2001;210009;2810;2438;591;227;237;779;0,335520919
2001;217001;9690,51;7722,08;2474,35;477,5;787,58;1831,79;0,382260997
2001;217002;7237,49;6013,92;2474,65;241,5;491,42;1137,21;0,451643853
2001;217003;5229;4374;1554;207;453;969;0,40260631
2001;217004;4041;3550;852;254;463;1122;0,311549296
2001;217005;3649;3213;781;223;389;1068;0,312480548
2001;217006;957;865;221;51;106;285;0,314450867
2001;217007;1200;1078;211;73;115;405;0,263450835
2001;217008;676;593;158;25;55;163;0,308600337
2001;217009;3502;3021;738;220;437;927;0,317113539
2001;217010;3240;2909;582;291;424;954;0,300103128
2001;217011;4880;4412;1093;319;682;1307;0,320036265
2001;219001;5682,49;4903,34;1243,91;344,61;427,56;1606,61;0,323966929
2001;219002;4758,86;4230,64;1317,69;268,86;365,04;1236,12;0,375014182
2001;219003;611;573;111;37;44;238;0,258289703
2001;219004;1173;1100;244;117;98;328;0,328181818
2001;219005;1696;1550;322;66;135;635;0,250322581
2001;219006;2331;2099;563;138;146;720;0,333968556
2001;219007;1381;1228;243;132;141;404;0,305374593
2001;219008;799,14;752,36;141,31;71,14;77,96;272,88;0,282378117
2001;219009;3201;2884;807;196;247;886;0,34778086
2001;219010;4887,51;4156,66;1286,09;272,39;317,44;1185,39;0,374935645
2001;219011;1369;1216;248;61;109;503;0,254111842
2001;219012;2259;2038;470;59;236;836;0,259568204
2001;219013;821;737;179;28;78;275;0,280868385
2001;219014;914;841;163;28;56;397;0,227110583
2001;223001;4550;4061;551;322;749;1751;0,214971682
2001;223002;5014;4591;786;372;738;1866;0,252232629
2001;223003;3212;3020;175;231;656;1583;0,134437086
2001;223004;371;340;40;20;59;145;0,176470588
2001;223005;4891;4361;570;274;828;1978;0,193533593
2001;230001;4977,41;4422,25;890,88;523,1;490,18;1473,73;0,319742213
2001;230003;4845,61;4429,23;546,81;454,02;674,84;2026,27;0,225960268
2001;230004;3896;3449;763;257;359;1371;0,295737895
2001;230005;4976,27;4439,58;824,63;497,28;530,7;1588,14;0,297755644
2001;230006;2527;2357;317;220;344;1068;0,22783199
2001;230007;5629,69;5068,39;946,43;563,93;597,16;1853,43;0,297996011
2001;230008;4006,39;3672,77;632,19;248,98;484,16;1626,73;0,239919734
2001;230009;2995;2810;233;240;449;1444;0,168327402
2001;230010;5001,63;4566,77;439,06;317,69;740,97;2305,7;0,165707929
2001;240001;781,89;720,81;147,07;25,66;110,39;262,61;0,23963319
2001;240002;6538,11;6031,19;1442,93;309,34;655,61;2171,39;0,290534704
2001;240003;4624,52;4157,64;989,5;210,1;356,42;1689,58;0,288529069
2001;240004;1347;1255;273;87;187;410;0,28685259
2001;240005;2511;2364;471;149;246;928;0,262267343
2001;240006;1196;1119;215;62;87;396;0,247542449
2001;240007;4252,66;3871,45;1008,1;156,72;319,8;1480,38;0,300874349
2001;240008;4449,48;4000,36;1053,5;136,9;315,58;1520,42;0,297573218
2001;240009;1771,34;1612,55;419,9;65,28;133,2;616,62;0,300877492
2001;250001;7514,77;6588,82;1987,22;303,09;558,17;2299,12;0,347605489
2001;250002;5999,23;5336,18;1516,78;266,91;401,83;1888,88;0,334263462
2001;250003;5377;4815;1149;210;359;1986;0,282242991
2001;250004;6192,63;5432,43;1411,64;225,44;364,12;1929;0,30135317
2001;250005;5968,37;5260,57;1602,36;230,56;265,88;1664;0,348426121
2001;253001;3004;2527;770;103;156;701;0,345468935
2001;253002;5493,7;5060,23;1135,51;185,78;478,43;2079,72;0,261112637
2001;253003;7829;6940;1817;234;644;2677;0,295533141
2001;253004;3882;3622;830;127;366;1518;0,264218664
2001;253005;5559;5003;1154;183;536;2009;0,267239656
2001;253006;4645,3;4181,77;1132,49;137,22;377,57;1567,28;0,303629803
2001;253007;4287;3443;1080;102;234;1006;0,343305257
2001;259001;3154;2744;868;114;252;910;0,35787172
2001;259002;4499;3842;1424;119;296;1039;0,401613743
2001;259003;644;596;166;17;65;208;0,30704698
2001;259004;1504;1332;347;49;109;495;0,297297297
2001;259005;3270;2816;1032;84;200;721;0,396306818
2001;259006;2904;2580;779;70;184;883;0,329069767
