"","valgstedid","vsnavn","kredsnavn","adrstring","lon","lat","zip","muninum"
"33",101035,"7. Vest","7. Brønshøj"," Vest,  Br�nsh�j, Denmark",12.4915226,55.7071732,2700,101
"34",101036,"7. Nordvest","7. Brønshøj"," Nordvest,  Br�nsh�j, Denmark",12.4915226,55.7071732,2700,101
"35",101039,"7. Katrinedal","7. Brønshøj"," Katrinedal,  Br�nsh�j, Denmark",12.4950552,55.691026,2720,101
"36",101040,"7. Kirkebjerg","7. Brønshøj"," Kirkebjerg,  Br�nsh�j, Denmark",12.4822169,55.6946423,2720,101
"37",101041,"7. Vanløse","7. Brønshøj"," Vanl�se,  Br�nsh�j, Denmark",12.4915226,55.7071732,2700,101
"38",101042,"8. Valby","8. Valby"," Valby,  Valby, Denmark",12.5167832,55.6616617,2500,101
"39",101043,"8. Nord","8. Valby"," Nord,  Valby, Denmark",12.5167753,55.6616585,2500,101
"40",101044,"8. Syd","8. Valby"," Syd,  Valby, Denmark",12.5167753,55.6616585,2500,101
"41",101046,"8. Vest","8. Valby"," Vest,  Valby, Denmark",12.5167753,55.6616585,2500,101
"42",101047,"8. Sydøst","8. Valby"," Syd�st,  Valby, Denmark",12.5167753,55.6616585,2500,101
"43",101048,"8. Midt","8. Valby"," Midt,  Valby, Denmark",12.5167753,55.6616585,2500,101
"44",101049,"9. Vesterbro","9. Vesterbro"," Vesterbro,  Vesterbro, Denmark",12.5508846,55.6726812,1620,101
"45",101050,"9. Nord","9. Vesterbro"," Nord,  Vesterbro, Denmark",12.54254,55.6638947,1720,101
"46",101051,"9. Syd","9. Vesterbro"," Syd,  Vesterbro, Denmark",12.54254,55.6638947,1720,101
"47",101052,"9. Øst","9. Vesterbro"," �st,  Vesterbro, Denmark",12.54254,55.6638947,1720,101
"48",101053,"9. Vest","9. Vesterbro"," Vest,  Vesterbro, Denmark",12.54254,55.6638947,1720,101
"49",101054,"9. Midt","9. Vesterbro"," Midt,  Vesterbro, Denmark",12.54254,55.6638947,1720,101
"50",101055,"9. Sydhavn","9. Vesterbro"," Sydhavn,  Vesterbro, Denmark",12.537174,55.6547563,2450,101
"51",147001,"10. Kreds, Søerne","10. Falkoner"," S�erne,  Falkoner, Denmark",NA,NA,NA,NA
"52",147002,"10. Kreds, Ny Hollænder","10. Falkoner"," Ny Holl�nder,  Falkoner, Denmark",NA,40.7127837,NA,NA
"53",147003,"10. Kreds, Bülowsvej","10. Falkoner"," B�lowsvej,  Falkoner, Denmark",NA,NA,NA,NA
"54",147004,"10. Kreds, Duevej","10. Falkoner"," Duevej,  Falkoner, Denmark",NA,NA,NA,NA
"55",147005,"11. Kreds, Lindevang","11. Slots"," Lindevang,  Slots, Denmark",NA,NA,NA,NA
"56",147006,"11. Kreds, Søndermark","11. Slots"," S�ndermark,  Slots, Denmark",9.5511244,55.6900714,7100,630
"57",147007,"11. Kreds, Rådhuset","11. Slots"," R�dhuset,  Slots, Denmark",11.3560439,55.4054388,4200,330
"58",147008,"11. Kreds, Nyelandsvej","11. Slots"," Nyelandsvej,  Slots, Denmark",NA,NA,NA,NA
"59",151001,"Tapeten","8. Ballerup","Tapeten,  Ballerup, Denmark",12.3626107,55.7190905,2750,151
"60",151002,"Rugvængets Skole","8. Ballerup","Rugvængets Skole,  Ballerup, Denmark",12.360638,55.7264676,2750,151
"61",151003,"Højagerskolen","8. Ballerup","Højagerskolen,  Ballerup, Denmark",12.367113,55.7423258,2750,151
"62",151004,"Grantoftehallen","8. Ballerup","Grantoftehallen,  Ballerup, Denmark",12.354765,55.724508,2750,151
"63",151005,"Rosenlundskolen","8. Ballerup","Rosenlundskolen,  Ballerup, Denmark",12.3989983,55.7169641,2740,151
"64",151006,"Lundebjergskolen","8. Ballerup","Lundebjergskolen,  Ballerup, Denmark",12.414286,55.720977,2740,151
"65",151007,"Tidl. Skovlunde Lokalkontor","8. Ballerup","Tidl Skovlunde Lokalkontor,  Ballerup, Denmark",12.354765,55.724508,2750,151
"66",151008,"Måløv Ny Hal","8. Ballerup","Måløv Ny Hal,  Ballerup, Denmark",12.354765,55.724508,2750,151
"67",151009,"Egebjerghallen","8. Ballerup","Egebjerghallen,  Ballerup, Denmark",12.354765,55.724508,2750,151
"68",151010,"Østerhøjhallen","8. Ballerup","Østerhøjhallen,  Ballerup, Denmark",12.354765,55.724508,2750,151
"69",153001,"Brøndbyvester Skole","6. Brøndby","Br�ndbyvester Skole,  Br�ndby, Denmark",12.4019956,55.6493093,2605,153
"70",153002,"Tjørnehøjhallen","6. Brøndby","Tj�rneh�jhallen,  Br�ndby, Denmark",12.414886,55.6473055,2605,153
"71",153003,"Lindelundshallen","6. Brøndby","Lindelundshallen,  Br�ndby, Denmark",12.414886,55.6473055,2605,153
"72",153004,"Nørregård","6. Brøndby","N�rreg�rd,  Br�ndby, Denmark",12.449298,55.69084,2610,175
"73",153005,"Kulturhuset Brønden","6. Brøndby","Kulturhuset Br�nden,  Br�ndby, Denmark",12.414886,55.6473055,2605,153
"74",155001,"Dragør Skole Syd","12. Tårnby","Drag�r Skole Syd,  T�rnby, Denmark",12.59532,55.5683661,2791,155
"75",155004,"Hollænderhallen","12. Tårnby","Holl�nderhallen,  T�rnby, Denmark",12.594765,55.62552,2770,185
"76",157001,"Jægersborg","1. Gentofte","Jægersborg,  Gentofte, Denmark",12.543824,55.763193,2820,157
"77",157002,"Munkegård","1. Gentofte","Munkegård,  Gentofte, Denmark",12.5244124,55.7331372,2870,157
"78",157003,"Rådhuset","1. Gentofte","Rådhuset,  Gentofte, Denmark",12.5685245,55.7494384,2920,157
"79",157004,"Bakkegård","1. Gentofte","Bakkegård,  Gentofte, Denmark",12.5290071,55.7428539,2820,157
"80",157005,"Dyssegård","1. Gentofte","Dyssegård,  Gentofte, Denmark",12.5270475,55.7331401,2870,157
"81",157006,"Maglegård","1. Gentofte","Maglegård,  Gentofte, Denmark",12.5122772,55.7267394,2860,159
"82",157007,"Hellerup","1. Gentofte","Hellerup,  Gentofte, Denmark",12.569196,55.736654,2900,157
"83",157008,"Ordrup","1. Gentofte","Ordrup,  Gentofte, Denmark",12.579436,55.763123,2920,157
"84",157009,"Skovshoved","1. Gentofte","Skovshoved,  Gentofte, Denmark",12.595307,55.761605,2920,157
"85",157010,"Skovgård","1. Gentofte","Skovgård,  Gentofte, Denmark",12.5696751,55.7654717,2920,157
"86",159001,"Bagsværd","3. Gladsaxe","Bagsværd,  Gladsaxe, Denmark",12.457244,55.765314,2880,159
"87",159002,"Hovedbiblioteket","3. Gladsaxe","Hovedbiblioteket,  Gladsaxe, Denmark",12.49807,55.742222,2860,159
"88",159003,"Egegård","3. Gladsaxe","Egegård,  Gladsaxe, Denmark",12.465947,55.7450144,2860,159
"89",159004,"Grønnemose","3. Gladsaxe","Grønnemose,  Gladsaxe, Denmark",12.5226678,55.7225948,2400,101
"90",159005,"Mørkhøj","3. Gladsaxe","Mørkhøj,  Gladsaxe, Denmark",12.460433,55.726316,2860,159
"91",159006,"Stengård","3. Gladsaxe","Stengård,  Gladsaxe, Denmark",12.483325,55.754362,2800,159
"92",159007,"Søborg","3. Gladsaxe","Søborg,  Gladsaxe, Denmark",12.488686,55.733461,2860,159
"93",159008,"Vadgård","3. Gladsaxe","Vadgård,  Gladsaxe, Denmark",12.490199,55.748594,2860,159
"94",159009,"Værebro","3. Gladsaxe","Værebro,  Gladsaxe, Denmark",12.4309395,55.7563108,2880,159
"95",161001,"Nordvangskolen","8. Ballerup","Nordvangskolen,  Ballerup, Denmark",12.354765,55.724508,2750,151
"96",161002,"Sognegården","8. Ballerup","Sognegården,  Ballerup, Denmark",12.354765,55.724508,2750,151
"97",161003,"Søndervangskolen","8. Ballerup","Søndervangskolen,  Ballerup, Denmark",12.354765,55.724508,2750,151
"98",161004,"Vestervangskolen","8. Ballerup","Vestervangskolen,  Ballerup, Denmark",12.354765,55.724508,2750,151
"99",161005,"Ejbyskolen","8. Ballerup","Ejbyskolen,  Ballerup, Denmark",12.354765,55.724508,2750,151
"100",161006,"Hvissingehallen","8. Ballerup","Hvissingehallen,  Ballerup, Denmark",12.4132633,55.6830997,2600,161
"101",163001,"Herlev Medborgerhus","4. Rødovre","Herlev Medborgerhus,  R�dovre, Denmark",12.465726,55.673514,2610,175
"102",163002,"Herlev Hallerne","4. Rødovre","Herlev Hallerne,  R�dovre, Denmark",12.465726,55.673514,2610,175
"103",163003,"Kildegårdhallen","4. Rødovre","Kildeg�rdhallen,  R�dovre, Denmark",12.465726,55.673514,2610,175
"104",165001,"Herstedøster Skole","7. Taastrup","Herstedøster Skole,  Taastrup, Denmark",12.3958852,55.666135,2600,161
"105",165002,"Egelundskolen","7. Taastrup","Egelundskolen,  Taastrup, Denmark",12.2979366,55.6460162,2630,169
"106",165003,"Herstedlund Skole","7. Taastrup","Herstedlund Skole,  Taastrup, Denmark",12.2979366,55.6460162,2630,169
"107",165004,"Musikteatret","7. Taastrup","Musikteatret,  Taastrup, Denmark",12.2979366,55.6460162,2630,169
"108",165005,"Herstedvester Skole","7. Taastrup","Herstedvester Skole,  Taastrup, Denmark",12.3035362,55.6449707,2630,169
"109",167001,"Holmegårdshallen","5. Hvidovre","Holmegårdshallen,  Hvidovre, Denmark",12.475386,55.642522,2650,167
"110",167002,"Præstemoseskolen","5. Hvidovre","Præstemoseskolen,  Hvidovre, Denmark",12.4664478,55.6545126,2650,167
"111",167003,"Sønderkærskolen","5. Hvidovre","Sønderkærskolen,  Hvidovre, Denmark",12.4754161,55.6484215,2650,167
"112",167004,"Medborgerhuset","5. Hvidovre","Medborgerhuset,  Hvidovre, Denmark",12.475386,55.642522,2650,167
"113",167005,"Dansborghallen","5. Hvidovre","Dansborghallen,  Hvidovre, Denmark",12.4831585,55.6310925,2650,167
"114",167006,"Frihedens Idrætscenter","5. Hvidovre","Frihedens Idrætscenter,  Hvidovre, Denmark",12.475386,55.642522,2650,167
"115",167007,"Avedøre Skole","5. Hvidovre","Avedøre Skole,  Hvidovre, Denmark",12.4568292,55.6331042,2650,167
"116",167008,"Avedøre Idrætscenter","5. Hvidovre","Avedøre Idrætscenter,  Hvidovre, Denmark",12.4454632,55.6275402,2650,167
"117",169001,"Selsmoseskolen","7. Taastrup","Selsmoseskolen,  Taastrup, Denmark",12.2950734,55.6548282,2630,169
"118",169002,"Parkskolen","7. Taastrup","Parkskolen,  Taastrup, Denmark",12.3137512,55.6516973,2630,169
"119",169003,"Mølleholmskolen","7. Taastrup","Mølleholmskolen,  Taastrup, Denmark",12.3233057,55.6417425,2630,169
"120",169004,"Taastrup Kulturcenter","7. Taastrup","Taastrup Kulturcenter,  Taastrup, Denmark",12.3086028,55.6459074,2630,169
"121",169005,"Borgerskolen","7. Taastrup","Borgerskolen,  Taastrup, Denmark",12.2983554,55.6433968,2630,169
"122",169006,"Gadehaveskolen","7. Taastrup","Gadehaveskolen,  Taastrup, Denmark",12.2689169,55.6520198,2630,169
"123",169007,"Rønnevangshallen","7. Taastrup","Rønnevangshallen,  Taastrup, Denmark",12.2979366,55.6460162,2630,169
"124",169008,"Torstorp Skole","7. Taastrup","Torstorp Skole,  Taastrup, Denmark",12.2739312,55.6381249,2630,169
"125",169009,"Sengeløse","7. Taastrup","Sengeløse,  Taastrup, Denmark",12.246834,55.681832,2630,169
"126",169010,"Charlotteskolen","7. Taastrup","Charlotteskolen,  Taastrup, Denmark",12.2979366,55.6460162,2630,169
"127",169011,"Fritidscentret Hedehuset","7. Taastrup","Fritidscentret Hedehuset,  Taastrup, Denmark",12.2979366,55.6460162,2630,169
"128",169012,"Fløng Hallen","7. Taastrup","Fløng Hallen,  Taastrup, Denmark",12.2979366,55.6460162,2630,169
"129",169013,"Reerslev Skole","7. Taastrup","Reerslev Skole,  Taastrup, Denmark",12.1872585,55.6193906,2640,169
"130",173001,"Lyngby Midt","2. Lyngby","Lyngby Midt,  Lyngby, Denmark",12.4949429,55.763516,2800,173
"131",173002,"Lindegård","2. Lyngby","Lindegård,  Lyngby, Denmark",12.5691051,55.7568286,2920,157
"132",173003,"Trongård","2. Lyngby","Trongård,  Lyngby, Denmark",12.5364369,55.7770822,2800,173
"133",173004,"Engelsborg","2. Lyngby","Engelsborg,  Lyngby, Denmark",12.493865,55.7663861,2800,173
"134",173005,"Taarbæk","2. Lyngby","Taarbæk,  Lyngby, Denmark",12.4949429,55.763516,2800,173
"135",173006,"Virum","2. Lyngby","Virum,  Lyngby, Denmark",12.461796,55.794614,2830,173
"136",173007,"Hummeltofte","2. Lyngby","Hummeltofte,  Lyngby, Denmark",12.4671985,55.7820396,2830,173
"137",173008,"Fuglsanggård","2. Lyngby","Fuglsanggård,  Lyngby, Denmark",12.4819024,55.7907092,2830,173
"138",173009,"Kongevej","2. Lyngby","Kongevej,  Lyngby, Denmark",12.5578026,55.7852254,2930,173
"139",173010,"Lundtofte","2. Lyngby","Lundtofte,  Lyngby, Denmark",12.516196,55.794723,2800,173
"140",175001,"Ørbygård","4. Rødovre","�rbyg�rd,  R�dovre, Denmark",12.4644129,55.6718049,2610,175
"141",175003,"Rødovre","4. Rødovre","R�dovre,  R�dovre, Denmark",12.465726,55.673514,2610,175
"142",175004,"Valhøj","4. Rødovre","Valh�j,  R�dovre, Denmark",12.4666667,55.6666667,2610,175
"143",175005,"Rødovrehallen","4. Rødovre","R�dovrehallen,  R�dovre, Denmark",12.4414319,55.6798711,2610,175
"144",175007,"Tinderhøj","4. Rødovre","Tinderh�j,  R�dovre, Denmark",12.4440985,55.6938687,2610,175
"145",175008,"Islev","4. Rødovre","Islev,  R�dovre, Denmark",12.460478,55.697782,2610,175
"146",183001,"Ishøj Landsby","6. Brøndby","Ish�j Landsby,  Br�ndby, Denmark",12.3653911,55.6366562,2625,187
"147",183002,"Vibeholmskolen","6. Brøndby","Vibeholmskolen,  Br�ndby, Denmark",12.414886,55.6473055,2605,153
"148",183003,"Gildbroskolen","6. Brøndby","Gildbroskolen,  Br�ndby, Denmark",12.414886,55.6473055,2605,153
"149",183004,"Strandgårdskolen","6. Brøndby","Strandg�rdskolen,  Br�ndby, Denmark",12.414886,55.6473055,2605,153
"150",183005,"Ishøj Bycenter","6. Brøndby","Ish�j Bycenter,  Br�ndby, Denmark",12.414886,55.6473055,2605,153
"151",185001,"Vestamager","12. Tårnby","Vestamager,  T�rnby, Denmark",12.5863241,55.6032977,2770,185
"152",185002,"Pilegården","12. Tårnby","Pileg�rden,  T�rnby, Denmark",12.5864561,55.616267,2770,185
"153",185003,"Tårnby","12. Tårnby","T�rnby,  T�rnby, Denmark",12.594765,55.62552,2770,185
"154",185004,"Korsvejen","12. Tårnby","Korsvejen,  T�rnby, Denmark",12.6193778,55.6361261,2770,185
"155",185005,"Løjtegården","12. Tårnby","L�jteg�rden,  T�rnby, Denmark",12.6147767,55.6226689,2770,185
"156",185006,"Kastrup","12. Tårnby","Kastrup,  T�rnby, Denmark",12.594765,55.62552,2770,185
"157",187001,"Vallensbæk Skole, Multisalen","6. Brøndby","Vallensb�k Skole, Multisalen,  Br�ndby, Denmark",12.414886,55.6473055,2605,153
"158",187002,"Egholmskolen","6. Brøndby","Egholmskolen,  Br�ndby, Denmark",12.414886,55.6473055,2605,153
"159",187003,"Pilehaveskolen","6. Brøndby","Pilehaveskolen,  Br�ndby, Denmark",12.414886,55.6473055,2605,153
"160",190001,"Værløse","5. Egedal","Værløse,  Egedal, Denmark",12.3460148,55.7728839,3500,190
"161",190002,"Hareskov","5. Egedal","Hareskov,  Egedal, Denmark",12.3994538,55.770255,3500,190
"162",190003,"Søndersø","5. Egedal","Søndersø,  Egedal, Denmark",12.3499231,55.7767204,3500,190
"163",190004,"Jonstrup","5. Egedal","Jonstrup,  Egedal, Denmark",12.33859,55.7596329,3500,190
"164",190005,"Stavnsholt","5. Egedal","Stavnsholt,  Egedal, Denmark",12.3792292,55.8132908,3520,190
"165",190006,"Solvang","5. Egedal","Solvang,  Egedal, Denmark",12.3565007,55.8147946,3520,190
"166",190007,"Paltholm","5. Egedal","Paltholm,  Egedal, Denmark",12.3661296,55.8173917,3520,190
"167",201001,"Blovstrød","6. Rudersdal","Blovstrød,  Rudersdal, Denmark",12.385742,55.869214,3450,201
"168",201002,"Skovvang","6. Rudersdal","Skovvang,  Rudersdal, Denmark",12.4421003,55.8562093,3460,230
"169",201003,"Lillerød","6. Rudersdal","Lillerød,  Rudersdal, Denmark",12.3429773,55.8684723,3450,201
"170",201004,"Lynge","6. Rudersdal","Lynge,  Rudersdal, Denmark",12.2827589,55.8410507,3540,201
"171",201005,"Ravnsholt","6. Rudersdal","Ravnsholt,  Rudersdal, Denmark",12.3547083,55.8539006,3450,201
"172",210001,"Asminderød","2. Fredensborg","Asminderød,  Fredensborg, Denmark",12.416905,55.969526,3480,210
"173",210002,"Fredensborg","2. Fredensborg","Fredensborg,  Fredensborg, Denmark",12.405835,55.974684,3480,210
"174",210003,"Humlebæk","2. Fredensborg","Humlebæk,  Fredensborg, Denmark",12.526863,55.958374,3050,210
"175",210004,"Baunebjerg","2. Fredensborg","Baunebjerg,  Fredensborg, Denmark",12.5199841,55.9622303,3050,210
"176",210005,"Ullerød","2. Fredensborg","Ullerød,  Fredensborg, Denmark",12.4972308,55.9163488,2980,210
"177",210006,"Brønsholm","2. Fredensborg","Brønsholm,  Fredensborg, Denmark",12.476938,55.909866,2980,210
"178",210007,"Niverød","2. Fredensborg","Niverød,  Fredensborg, Denmark",12.497485,55.93627,2990,210
"179",210008,"Karlebo","2. Fredensborg","Karlebo,  Fredensborg, Denmark",12.411821,55.919409,2980,210
"180",210009,"Nivå","2. Fredensborg","Nivå,  Fredensborg, Denmark",12.507951,55.932079,2990,210
"181",217001,"Helsingør Hallen","1. Helsingør","Helsing�r Hallen,  Helsing�r, Denmark",12.5836535,56.047569,3000,217
"182",217002,"Montebello, Gurrevej 90","1. Helsingør","Montebello, Gurrevej ,  Helsing�r, Denmark",12.5623207,56.0277353,3000,217
"183",217003,"Laden, Gl. Vapnagård","1. Helsingør","Laden, Gl Vapnag�rd,  Helsing�r, Denmark",12.592127,56.030787,3000,217
"184",217004,"Bølgen","1. Helsingør","B�lgen,  Helsing�r, Denmark",12.592127,56.030787,3000,217
"185",217005,"Hornbæk Skole","1. Helsingør","Hornb�k Skole,  Helsing�r, Denmark",12.5243805,56.0785589,3140,217
"186",217006,"Nygård Skole, Helsingør","1. Helsingør","Nyg�rd Skole, Helsing�r,  Helsing�r, Denmark",12.5243805,56.0785589,3140,217
"187",217007,"Tikøb Skole","1. Helsingør","Tik�b Skole,  Helsing�r, Denmark",12.4533352,56.021408,3080,217
"188",217008,"Kvistgård Idrætsanlæg","1. Helsingør","Kvistg�rd Idr�tsanl�g,  Helsing�r, Denmark",12.592127,56.030787,3000,217
"189",217009,"Snekkersten Hallen","1. Helsingør","Snekkersten Hallen,  Helsing�r, Denmark",12.592127,56.030787,3000,217
"190",217010,"Administrationsbygningen, Esp","1. Helsingør","Administrationsbygningen, Esp,  Helsing�r, Denmark",12.592127,56.030787,3000,217
"191",217011,"Mørdrupskolen, Espergærde","1. Helsingør","M�rdrupskolen, Esperg�rde,  Helsing�r, Denmark",12.541668,55.99097,3060,217
"192",219001,"Frederiksborgcentret","3. Hillerød","Frederiksborgcentret,  Hiller�d, Denmark",12.300806,55.927909,3400,219
"193",219002,"Hillerødsholmsskolen","3. Hillerød","Hiller�dsholmsskolen,  Hiller�d, Denmark",12.2892244,55.9392463,3400,219
"194",219003,"Brødeskov","3. Hillerød","Br�deskov,  Hiller�d, Denmark",12.303178,55.892053,3400,219
"195",219004,"Hammersholt","3. Hillerød","Hammersholt,  Hiller�d, Denmark",12.3282051,55.8938444,3400,219
"196",219005,"Alsønderup","3. Hillerød","Als�nderup,  Hiller�d, Denmark",12.230878,55.970414,3400,219
"197",219006,"Ullerød","3. Hillerød","Uller�d,  Hiller�d, Denmark",12.267591,55.940034,3400,219
"198",219007,"Nødebo","3. Hillerød","N�debo,  Hiller�d, Denmark",12.346932,55.978672,3480,219
"199",219008,"Gadevang","3. Hillerød","Gadevang,  Hiller�d, Denmark",12.28857,55.966198,3400,219
"200",219009,"Grønnevang Skole, Jespervej","3. Hillerød","Gr�nnevang Skole, Jespervej,  Hiller�d, Denmark",12.3347788,55.9410482,3400,219
"201",219010,"Grønnevang Skole, Østervang","3. Hillerød","Gr�nnevang Skole, �stervang,  Hiller�d, Denmark",12.342667,55.935849,3400,219
"202",219011,"Lille Lyngby","3. Hillerød","Lille Lyngby,  Hiller�d, Denmark",12.139405,55.950752,3320,219
"203",219012,"Skævinge, Harløse, Strø","3. Hillerød","Sk�vinge, Harl�se, Str�,  Hiller�d, Denmark",12.1517929,55.8942064,3320,219
"204",219013,"Gørløse","3. Hillerød","G�rl�se,  Hiller�d, Denmark",12.199052,55.885314,3330,219
"205",219014,"Uvelse","3. Hillerød","Uvelse,  Hiller�d, Denmark",12.236373,55.86743,3550,219
"206",223001,"Hørsholm","2. Fredensborg","Hørsholm,  Fredensborg, Denmark",12.4719768,55.8786541,2970,223
"207",223002,"Usserød","2. Fredensborg","Usserød,  Fredensborg, Denmark",12.500201,55.890211,2970,223
"208",223003,"Rungsted","2. Fredensborg","Rungsted,  Fredensborg, Denmark",12.536435,55.888559,2960,223
"209",223004,"Grønnegade","2. Fredensborg","Grønnegade,  Fredensborg, Denmark",12.290515,55.934642,3400,219
"210",223005,"Vallerød","2. Fredensborg","Vallerød,  Fredensborg, Denmark",12.524271,55.894574,2960,223
"211",230001,"Birkerød","6. Rudersdal","Birkerød,  Rudersdal, Denmark",12.422112,55.844295,3460,230
"212",230003,"Ny Holte","6. Rudersdal","Ny Holte,  Rudersdal, Denmark",12.4253555,55.839427,3460,230
"213",230004,"Nærum","6. Rudersdal","Nærum,  Rudersdal, Denmark",12.535531,55.816157,2850,230
"214",230005,"Sjælsø","6. Rudersdal","Sjælsø,  Rudersdal, Denmark",12.4454217,55.8672446,3460,230
"215",230006,"Skovly","6. Rudersdal","Skovly,  Rudersdal, Denmark",12.4932158,55.8218267,2840,230
"216",230007,"Toftevang","6. Rudersdal","Toftevang,  Rudersdal, Denmark",12.50393,55.773637,2800,173
"217",230008,"Trørød","6. Rudersdal","Trørød,  Rudersdal, Denmark",12.5398599,55.842913,2950,230
"218",230009,"Vangebo","6. Rudersdal","Vangebo,  Rudersdal, Denmark",12.4930161,55.8092484,2840,230
"219",230010,"Vedbæk","6. Rudersdal","Vedbæk,  Rudersdal, Denmark",12.5601636,55.8598884,2950,230
"220",240001,"Ledøje Forsamlingshus","5. Egedal","Ledøje Forsamlingshus,  Egedal, Denmark",NA,NA,NA,NA
"221",240002,"Ledøje-Smørum Idrætscenter","5. Egedal","Ledøje-Smørum Idrætscenter,  Egedal, Denmark",12.3034021,55.731621,2765,240
"222",240003,"Stenløse","5. Egedal","Stenløse,  Egedal, Denmark",12.19831,55.768616,3660,240
"223",240004,"Veksø","5. Egedal","Veksø,  Egedal, Denmark",12.237891,55.75297,3670,240
"224",240005,"Ganløse","5. Egedal","Ganløse,  Egedal, Denmark",12.266358,55.792549,3660,240
"225",240006,"Slagslunde","5. Egedal","Slagslunde,  Egedal, Denmark",12.222354,55.799697,3660,240
"226",240007,"Toftehøjskolen","5. Egedal","Toftehøjskolen,  Egedal, Denmark",12.154518,55.79025,3650,240
"227",240008,"Stengårdsskolen","5. Egedal","Stengårdsskolen,  Egedal, Denmark",12.1686505,55.7737824,3650,240
"228",240009,"Bækkegårdsskolen","5. Egedal","Bækkegårdsskolen,  Egedal, Denmark",12.1802969,55.7777624,3650,240
"229",250001,"Frederikssund Syd","4. Frederikssund","Frederikssund Syd,  Frederikssund, Denmark",12.062436,55.835592,3600,250
"230",250002,"Frederikssund Nord","4. Frederikssund","Frederikssund Nord,  Frederikssund, Denmark",12.062436,55.835592,3600,250
"231",250003,"Slangerup","4. Frederikssund","Slangerup,  Frederikssund, Denmark",12.169767,55.845994,3550,250
"232",250004,"Skibby","4. Frederikssund","Skibby,  Frederikssund, Denmark",11.958831,55.750793,4050,250
"233",250005,"Jægerspris","4. Frederikssund","Jægerspris,  Frederikssund, Denmark",11.991855,55.851987,3630,250
"234",253001,"Arenaskolen","7. Greve","Arenaskolen,  Greve, Denmark",12.333029,55.594758,2670,253
"235",253002,"Tjørnelyskolen","7. Greve","Tjørnelyskolen,  Greve, Denmark",12.3096494,55.601419,2670,253
"236",253003,"Holmeagerskolen","7. Greve","Holmeagerskolen,  Greve, Denmark",12.2979229,55.5811435,2670,253
"237",253004,"Mosedeskolen","7. Greve","Mosedeskolen,  Greve, Denmark",12.2771954,55.5785504,2670,253
"238",253005,"Karlslundehallerne","7. Greve","Karlslundehallerne,  Greve, Denmark",12.241408,55.5985117,2670,253
"239",253006,"Tunehallerne","7. Greve","Tunehallerne,  Greve, Denmark",12.1706387,55.5973926,4030,253
"240",253007,"Hundigehallen","7. Greve","Hundigehallen,  Greve, Denmark",12.241408,55.5985117,2670,253
"241",259001,"Køge By - Midt","6. Køge","K�ge By - Midt,  K�ge, Denmark",12.182181,55.457526,4600,259
"242",259002,"Køge By - Vest","6. Køge","K�ge By - Vest,  K�ge, Denmark",12.182181,55.457526,4600,259
"243",259003,"Lellinge","6. Køge","Lellinge,  K�ge, Denmark",12.109447,55.465407,4600,259
"244",259004,"Højelse / Lille Skensved","6. Køge","H�jelse / Lille Skensved,  K�ge, Denmark",12.12419,55.496992,4623,259
"245",259005,"Ølby","6. Køge","�lby,  K�ge, Denmark",12.1461539,55.48613,4600,259
"246",259006,"Ølsemagle","6. Køge","�lsemagle,  K�ge, Denmark",12.162588,55.499482,4623,259
"247",259007,"Herfølge","6. Køge","Herf�lge,  K�ge, Denmark",12.141007,55.411485,4681,259
"248",259008,"Alkestrup","6. Køge","Alkestrup,  K�ge, Denmark",12.0579591,55.3401496,4690,320
"249",259009,"Hastrup","6. Køge","Hastrup,  K�ge, Denmark",12.165611,55.441412,4600,259
"250",259010,"Køge By - Nord","6. Køge","K�ge By - Nord,  K�ge, Denmark",12.182181,55.457526,4600,259
"251",259011,"Herfølge - Syd","6. Køge","Herf�lge - Syd,  K�ge, Denmark",12.141007,55.411485,4681,259
"252",259012,"Borup","6. Køge","Borup,  K�ge, Denmark",11.9777341,55.4959283,4140,259
"253",259013,"Ejby","6. Køge","Ejby,  K�ge, Denmark",12.077157,55.48786,4623,259
"254",259014,"Gørslev","6. Køge","G�rslev,  K�ge, Denmark",11.984011,55.427155,4100,259
"255",259015,"Bjæverskov","6. Køge","Bj�verskov,  K�ge, Denmark",12.033552,55.457699,4632,259
"256",259016,"Vemmedrup","6. Køge","Vemmedrup,  K�ge, Denmark",12.062734,55.463335,4632,259
"257",260001,"Hundested Hallen","4. Frederikssund","Hundested Hallen,  Frederikssund, Denmark",12.062436,55.835592,3600,250
"258",260002,"Enghave Hallen","4. Frederikssund","Enghave Hallen,  Frederikssund, Denmark",12.062436,55.835592,3600,250
"259",260003,"Rådhuset","4. Frederikssund","Rådhuset,  Frederikssund, Denmark",12.1572793,55.7935016,3650,240
"260",260004,"Ølsted Hallen","4. Frederikssund","Ølsted Hallen,  Frederikssund, Denmark",12.0769867,55.919231,3310,260
"261",260005,"Melby Hallen","4. Frederikssund","Melby Hallen,  Frederikssund, Denmark",12.062436,55.835592,3600,250
"262",265002,"Klostermarken","8. Roskilde","Klostermarken,  Roskilde, Denmark",12.0954322,55.6502344,4000,265
"263",265003,"Sankt Jørgen","8. Roskilde","Sankt Jørgen,  Roskilde, Denmark",12.0715164,55.6428288,4000,265
"264",265004,"Hedegårdene","8. Roskilde","Hedegårdene,  Roskilde, Denmark",12.099739,55.6398624,4000,265
"265",265005,"Østervang","8. Roskilde","Østervang,  Roskilde, Denmark",12.098075,55.633817,4000,265
