"year","valgstedid","voters","votes","a","b","c","v","vsnavn","komnavn","kredsnavn","kontanthjaelp","arbejd","boligstoer_kvm","ejer","formue","indkomst","indkomst_80pct","zip","muninum","y","zipy","hp_1yr","hp_2yr","incsupport","hp_1yrposchange","hp_1yrnegchange","hp_2yrposchange","hp_2yrnegchange"
2015,101006,9509,8208,0.257432,0.0922271,0.0270468,0.104532,"1. Nordvest","København","1. Østerbro",0.0487865,0.637207,75.1139,0.174502,402645,393325,5.92212e+06,2100,101,15,"2100_15",14.8399,24.8178,0.349659,14.8399,0,24.8178,0
2005,101007,12989.1,9757.63,0.310038,0.109062,0.0556272,0.170472,"2. Sundbyvester","København","2. Sundbyvester",0.0476045,0.592152,77.0299,0.255538,515870,399606,618742,2300,101,5,"2300_5",19.4992,25.4916,0.226099,19.4992,0,25.4916,0
2007,101007,12415,9918,0.278282,0.0612019,0.0697721,0.13289,"2. Sundbyvester","København","2. Sundbyvester",0.0476045,0.592152,77.0299,0.255539,515870,399606,618742,2300,101,7,"2300_7",-13.9646,-10.7176,0.202662,0,13.9646,0,10.7176
2011,101007,12775,10486,0.235361,0.113199,0.03786,0.140759,"2. Sundbyvester","København","2. Sundbyvester",0.0476045,0.592152,79.6425,0.273264,515870,399606,618742,2300,101,11,"2300_11",-5.88569,9.18173,0.178619,0,5.88569,9.18173,0
2015,101007,12822,10173,0.257839,0.0629116,0.0216259,0.0916151,"2. Sundbyvester","København","2. Sundbyvester",0.0476045,0.592152,79.6425,0.273264,515870,399606,618742,2300,101,15,"2300_15",11.5009,20.4471,0.320751,11.5009,0,20.4471,0
2005,101008,9640.99,7507.16,0.271569,0.155466,0.0692086,0.156257,"2. Nord","København","2. Sundbyvester",0.0549268,0.62761,70.8677,0.0937976,96263.4,350907,516947,2300,101,5,"2300_5",19.4992,25.4916,0.225466,19.4992,0,25.4916,0
2007,101008,11475,9294,0.262965,0.0854315,0.0740263,0.113406,"2. Nord","København","2. Sundbyvester",0.0549268,0.62761,70.8297,0.0928033,96263.4,350907,516947,2300,101,7,"2300_7",-13.9646,-10.7176,0.187433,0,13.9646,0,10.7176
2011,101008,11895,9934,0.197302,0.162271,0.0364405,0.125327,"2. Nord","København","2. Sundbyvester",0.0549268,0.62761,71.5261,0.0815748,96263.4,350907,516947,2300,101,11,"2300_11",-5.88569,9.18173,0.161768,0,5.88569,9.18173,0
2015,101008,12499,10079,0.222343,0.0861197,0.018355,0.0873102,"2. Nord","København","2. Sundbyvester",0.0549268,0.62761,71.5261,0.0815748,96263.4,350907,516947,2300,101,15,"2300_15",11.5009,20.4471,0.308463,11.5009,0,20.4471,0
2005,101009,5484.91,4401.21,0.266756,0.143983,0.0537693,0.15713,"2. Syd","København","2. Sundbyvester",0.0342348,0.743216,63.6548,0.277186,415895,408621,684156,2300,101,5,"2300_5",19.4992,25.4916,0.210899,19.4992,0,25.4916,0
2007,101009,6312,5337,0.214915,0.093873,0.102117,0.148773,"2. Syd","København","2. Sundbyvester",0.0342348,0.743216,62.2599,0.314995,415895,408621,684156,2300,101,7,"2300_7",-13.9646,-10.7176,0.25089,0,13.9646,0,10.7176
2011,101009,7872,6730,0.162259,0.197325,0.0520059,0.177415,"2. Syd","København","2. Sundbyvester",0.0342348,0.743216,76.7665,0.331655,415895,408621,684156,2300,101,11,"2300_11",-5.88569,9.18173,0.229421,0,5.88569,9.18173,0
2015,101009,9229,7854,0.207028,0.0989305,0.0248281,0.11892,"2. Syd","København","2. Sundbyvester",0.0342348,0.743216,76.7665,0.331655,415895,408621,684156,2300,101,15,"2300_15",11.5009,20.4471,0.305959,11.5009,0,20.4471,0
2005,101010,6173,5140,0.245331,0.185019,0.0756809,0.171206,"2. Vest","København","2. Sundbyvester",0.0424084,0.684817,74.1137,0.0676253,208085,487015,733028,2300,101,5,"2300_5",19.4992,25.4916,0.246887,19.4992,0,25.4916,0
2007,101010,8141,7108,0.216376,0.115222,0.116488,0.151801,"2. Vest","København","2. Sundbyvester",0.0424084,0.684817,74.1036,0.0678462,208085,487015,733028,2300,101,7,"2300_7",-13.9646,-10.7176,0.268289,0,13.9646,0,10.7176
2011,101010,8705,7855,0.155315,0.201273,0.0597072,0.173775,"2. Vest","København","2. Sundbyvester",0.0424084,0.684817,84.6385,0.158486,208085,487015,733028,2300,101,11,"2300_11",-5.88569,9.18173,0.233482,0,5.88569,9.18173,0
2015,101010,9926,8874,0.19529,0.118887,0.032229,0.122155,"2. Vest","København","2. Sundbyvester",0.0424084,0.684817,84.6385,0.158486,208085,487015,733028,2300,101,15,"2300_15",11.5009,20.4471,0.314176,11.5009,0,20.4471,0
2005,101011,13282.7,9610.82,0.180961,0.240428,0.106409,0.174426,"3. Indre By","København","3. Indre By",0.0544842,0.686728,92.877,0.153082,657329,469822,1.01046e+06,1359,101,5,"1359_5",NA,NA,0.280836,NA,NA,NA,NA
2007,101011,13439.6,10078.8,0.186491,0.126429,0.114561,0.135017,"3. Indre By","København","3. Indre By",0.0544842,0.686728,92.6417,0.15444,657329,469822,1.01046e+06,1359,101,7,"1359_7",NA,NA,0.249578,NA,NA,NA,NA
2011,101011,14692.4,11159.4,0.132413,0.225241,0.0648841,0.143546,"3. Indre By","København","3. Indre By",0.0544842,0.686728,95.1942,0.165098,657329,469822,1.01046e+06,1359,101,11,"1359_11",NA,NA,0.20843,NA,NA,NA,NA
2015,101011,14012,10848,0.179572,0.126475,0.0338311,0.100479,"3. Indre By","København","3. Indre By",0.0544842,0.686728,95.1942,0.165098,657329,469822,1.01046e+06,1359,101,15,"1359_15",NA,NA,0.306047,NA,NA,NA,NA
2005,101012,5639.85,4979.61,0.178193,0.233436,0.115877,0.185123,"3. Nord","København","3. Indre By",0.0334419,0.710248,110.38,0.279276,1.32275e+06,568103,838287,1113,101,5,"1113_5",NA,NA,0.300999,NA,NA,NA,NA
2007,101012,5938,5342,0.204043,0.120928,0.130475,0.157244,"3. Nord","København","3. Indre By",0.0334419,0.710248,110.088,0.277394,1.32275e+06,568103,838287,1113,101,7,"1113_7",NA,NA,0.28772,NA,NA,NA,NA
2011,101012,6116,5602,0.144413,0.217779,0.0799714,0.175295,"3. Nord","København","3. Indre By",0.0334419,0.710248,112.22,0.260064,1.32275e+06,568103,838287,1113,101,11,"1113_11",NA,NA,0.255266,NA,NA,NA,NA
2015,101012,6234,5672,0.203456,0.129055,0.0423131,0.124118,"3. Nord","København","3. Indre By",0.0334419,0.710248,112.22,0.260064,1.32275e+06,568103,838287,1113,101,15,"1113_15",NA,NA,0.332511,NA,NA,NA,NA
2005,101013,7615,6514,0.21308,0.207092,0.0686214,0.138778,"3. Syd","København","3. Indre By",0.0448059,0.652302,82.1594,0.215056,636160,451899,674244,1113,101,5,"1113_5",NA,NA,0.207399,NA,NA,NA,NA
2007,101013,7648,6832,0.198917,0.102605,0.0875293,0.109338,"3. Syd","København","3. Indre By",0.0448059,0.652302,82.1594,0.215056,636160,451899,674244,1113,101,7,"1113_7",NA,NA,0.196868,NA,NA,NA,NA
2011,101013,7891,7087,0.146748,0.191901,0.0404967,0.110907,"3. Syd","København","3. Indre By",0.0448059,0.652302,84.3203,0.194884,636160,451899,674244,1113,101,11,"1113_11",NA,NA,0.151404,NA,NA,NA,NA
2015,101013,9107,8036,0.19562,0.10677,0.0205326,0.0834993,"3. Syd","København","3. Indre By",0.0448059,0.652302,84.3203,0.194884,636160,451899,674244,1113,101,15,"1113_15",NA,NA,0.302389,NA,NA,NA,NA
2005,101014,9286.55,7889.37,0.16579,0.206726,0.128688,0.237269,"3. Øst","København","3. Indre By",0.0318002,0.707213,90.1141,0.151881,767686,486894,1.08201e+06,1113,101,5,"1113_5",NA,NA,0.365957,NA,NA,NA,NA
2007,101014,10011.4,8728.18,0.181411,0.114427,0.144058,0.176347,"3. Øst","København","3. Indre By",0.0318002,0.707213,90.212,0.149649,767686,486894,1.08201e+06,1113,101,7,"1113_7",NA,NA,0.320405,NA,NA,NA,NA
2011,101014,10578.6,9396.56,0.129233,0.196182,0.0781062,0.191997,"3. Øst","København","3. Indre By",0.0318002,0.707213,91.8328,0.142313,767686,486894,1.08201e+06,1113,101,11,"1113_11",NA,NA,0.270103,NA,NA,NA,NA
2015,101014,11352,9809,0.192476,0.110307,0.0497502,0.141401,"3. Øst","København","3. Indre By",0.0318002,0.707213,91.8328,0.142313,767686,486894,1.08201e+06,1113,101,15,"1113_15",NA,NA,0.302783,NA,NA,NA,NA
2005,101016,8127.87,6431.05,0.26522,0.14528,0.0612419,0.169734,"4. Sundbyøster","København","4. Sundbyøster",0.0532371,0.611636,66.9744,0.202585,145837,346828,514795,2300,101,5,"2300_5",19.4992,25.4916,0.230976,19.4992,0,25.4916,0
2007,101016,8271,6710,0.273621,0.0740686,0.0673621,0.126379,"4. Sundbyøster","København","4. Sundbyøster",0.0532371,0.611636,66.9977,0.203136,145837,346828,514795,2300,101,7,"2300_7",-13.9646,-10.7176,0.193741,0,13.9646,0,10.7176
2011,101016,8668,7116,0.210652,0.145868,0.0344295,0.144042,"4. Sundbyøster","København","4. Sundbyøster",0.0532371,0.611636,67.3752,0.148812,145837,346828,514795,2300,101,11,"2300_11",-5.88569,9.18173,0.178471,0,5.88569,9.18173,0
2015,101016,8491,6852,0.225919,0.0798307,0.0208698,0.0912142,"4. Sundbyøster","København","4. Sundbyøster",0.0532371,0.611636,67.3752,0.148812,145837,346828,514795,2300,101,15,"2300_15",11.5009,20.4471,0.30575,11.5009,0,20.4471,0
2005,101017,12441,9818.1,0.263001,0.159711,0.0660657,0.162145,"4. Nord","København","4. Sundbyøster",0.0533937,0.665017,64.6024,0.139615,78848.6,342795,505428,2300,101,5,"2300_5",19.4992,25.4916,0.228211,19.4992,0,25.4916,0
