type;area;Q1_06;Q2_06;Q3_06;Q4_06;Q1_07;Q2_07;Q3_07;Q4_07
Parcel- og rækkehuse;1000 København K;0;1;0;2;0;0;0;0
Parcel- og rækkehuse;1500 København V;0;0;4;0;1;0;0;1
Parcel- og rækkehuse;1800 Frederiksberg C;3;1;1;2;1;0;0;0
Parcel- og rækkehuse;2000 Frederiksberg;2;14;7;6;8;11;11;2
Parcel- og rækkehuse;2100 København Ø;7;3;4;5;8;12;12;5
Parcel- og rækkehuse;2200 København N;0;0;0;0;0;0;0;1
Parcel- og rækkehuse;2300 København S;28;39;47;24;25;42;35;39
Parcel- og rækkehuse;2400 København NV;7;8;1;3;3;11;12;15
Parcel- og rækkehuse;2450 København SV;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;2500 Valby;18;19;18;21;12;38;22;22
Parcel- og rækkehuse;2600 Glostrup;34;25;26;24;23;39;34;28
Parcel- og rækkehuse;2605 Brøndby;27;20;19;13;19;15;25;20
Parcel- og rækkehuse;2610 Rødovre;49;37;26;34;44;51;52;47
Parcel- og rækkehuse;2620 Albertslund;28;19;11;16;17;22;24;28
Parcel- og rækkehuse;2625 Vallensbæk;1;7;6;2;9;16;11;14
Parcel- og rækkehuse;2630 Taastrup;46;45;33;19;42;42;53;30
Parcel- og rækkehuse;2633 Returpost;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;2635 Ishøj;25;19;23;9;17;22;19;22
Parcel- og rækkehuse;2640 Hedehusene;26;33;25;9;16;34;22;23
Parcel- og rækkehuse;2650 Hvidovre;75;59;50;45;57;94;67;59
Parcel- og rækkehuse;2660 Brøndby Strand;22;12;12;16;13;19;20;15
Parcel- og rækkehuse;2665 Vallensbæk Strand;19;18;12;3;8;29;22;10
Parcel- og rækkehuse;2670 Greve;67;59;46;47;57;56;47;50
Parcel- og rækkehuse;2680 Solrød Strand;36;35;30;22;23;31;21;18
Parcel- og rækkehuse;2690 Karlslunde;31;21;14;13;18;23;17;22
Parcel- og rækkehuse;2700 Brønshøj;30;35;36;21;23;35;36;30
Parcel- og rækkehuse;2720 Vanløse;22;17;13;18;14;29;33;19
Parcel- og rækkehuse;2730 Herlev;34;38;27;25;28;66;36;43
Parcel- og rækkehuse;2740 Skovlunde;18;24;19;16;15;24;16;17
Parcel- og rækkehuse;2750 Ballerup;30;29;21;13;23;23;28;16
Parcel- og rækkehuse;2760 Måløv;4;10;8;3;8;7;11;8
Parcel- og rækkehuse;2765 Smørum;24;17;15;8;13;33;19;29
Parcel- og rækkehuse;2770 Kastrup;43;50;46;34;45;69;76;49
Parcel- og rækkehuse;2791 Dragør;21;21;28;14;16;20;24;26
Parcel- og rækkehuse;2800 Kongens Lyngby;50;39;33;32;43;55;42;41
Parcel- og rækkehuse;2820 Gentofte;34;32;25;15;17;37;35;33
Parcel- og rækkehuse;2830 Virum;39;33;38;11;25;48;42;40
Parcel- og rækkehuse;2840 Holte;38;20;23;25;18;22;26;24
Parcel- og rækkehuse;2850 Nærum;6;9;3;3;3;4;7;4
Parcel- og rækkehuse;2860 Søborg;34;22;25;17;24;28;29;25
