type;area;v1;v2;v3;v4;v5;v6;v7;v8;zipy
Parcel- og rækkehuse;2100 København Ø;20.069;18.891001;21.032;21.549999;17.128;18.372999;23.423;19.349001;2100_5
Ejerlejligheder;2100 København Ø;33.689999;34.518002;34.087002;32.000999;30.216;29.378;29.709;27.646;2100_7
Fritidshuse;2100 København Ø;0;0;0;0;0;0;0;0;2100_7
Parcel- og rækkehuse;2100 København Ø;37.495998;0;0;0;35.409;40.910999;35.155998;36.997002;2100_7
Ejerlejligheder;2200 København N;20.621;21.201;21.683001;20.917999;22.068001;22.945;23.172001;21.514;2200_11
Fritidshuse;2200 København N;0;0;0;0;0;0;0;0;2200_11
Parcel- og rækkehuse;2200 København N;0;0;0;0;0;0;0;0;2200_11
Ejerlejligheder;2200 København N;25.197001;26.128;27.445999;28.618999;29.441;28.216;30.528;34.159;2200_15
Fritidshuse;2200 København N;0;0;0;0;0;0;0;0;2200_15
Parcel- og rækkehuse;2200 København N;0;0;0;0;0;0;0;0;2200_15
Ejerlejligheder;2200 København N;17.473;17.992001;18.045;18.399;19.666;21.163;21.841;22.975;2200_5
Fritidshuse;2200 København N;0;0;0;0;0;0;0;0;2200_5
Parcel- og rækkehuse;2200 København N;0;0;0;0;0;0;0;0;2200_5
Ejerlejligheder;2200 København N;30.568001;31.98;31.073999;29.996;27.966;27.063999;26.301001;25.801001;2200_7
Fritidshuse;2200 København N;0;0;0;0;0;0;0;0;2200_7
Parcel- og rækkehuse;2200 København N;0;0;0;0;0;0;0;0;2200_7
Ejerlejligheder;2300 København S;20.870001;21.657;22.712;22.832001;22.271999;23.018999;22.146999;21.472;2300_11
Fritidshuse;2300 København S;0;0;0;0;0;0;0;0;2300_11
Parcel- og rækkehuse;2300 København S;20.809;22.471001;23.514;24.129999;23.85;23.572001;24.537001;23.618;2300_11
Ejerlejligheder;2300 København S;24.483;24.865;25.141001;26.083;26.139;26.348;27.684;28.864;2300_15
Fritidshuse;2300 København S;0;0;0;0;0;0;0;0;2300_15
Parcel- og rækkehuse;2300 København S;24.563999;24.714001;26.187;26.761999;27.157;26.858999;29.596001;31.172001;2300_15
Ejerlejligheder;2300 København S;17.247;17.509001;17.271999;18.249001;18.919001;19.636;20.601;21.812;2300_5
Fritidshuse;2300 København S;0;0;0;0;0;0;0;0;2300_5
Parcel- og rækkehuse;2300 København S;14.278;15.153;15.432;15.51;16.716999;16.924999;17.878;18.752001;2300_5
Ejerlejligheder;2300 København S;28.945999;32.158001;30.778;29.351999;27.322001;26.52;26.646;25.319;2300_7
Fritidshuse;2300 København S;0;0;0;0;0;0;0;0;2300_7
Parcel- og rækkehuse;2300 København S;27.294001;26.815001;29.195999;29.586;28.549999;27.202999;27.214001;25.031;2300_7
Ejerlejligheder;2400 København NV;16.357;17.441999;18.266001;18.354;17.464001;17.521999;17.766001;16.759001;2400_11
Fritidshuse;2400 København NV;0;0;0;0;0;0;0;0;2400_11
Parcel- og rækkehuse;2400 København NV;0;0;23.174;23.246;25.072001;21.75;26.686001;22.933001;2400_11
Ejerlejligheder;2400 København NV;19.639;19.408001;19.783001;21.098;20.781;21.334999;23.330999;25.917999;2400_15
Fritidshuse;2400 København NV;0;0;0;0;0;0;0;0;2400_15
Parcel- og rækkehuse;2400 København NV;24.232;25.002001;29.197001;25.618;33.388;32.199001;23.860001;29.572001;2400_15
Ejerlejligheder;2400 København NV;17.056;16.563999;16.750999;17.223;18.051001;19.077;19.441;20.674;2400_5
Fritidshuse;2400 København NV;0;0;0;0;0;0;0;0;2400_5
Parcel- og rækkehuse;2400 København NV;17.941;17.35;16.32;16.611;18.846001;0;19.277;19.757999;2400_5
Ejerlejligheder;2400 København NV;24.33;26.121;26.879;25.128;24.737;24.114;23.389;21.48;2400_7
Fritidshuse;2400 København NV;0;0;0;0;0;0;0;0;2400_7
Parcel- og rækkehuse;2400 København NV;27.547001;29.381001;0;0;0;0;26.459;26.09;2400_7
Ejerlejligheder;2450 København SV;21.110001;23.426001;23.455999;24.023001;23.652;22.711;22.636999;20.239;2450_11
Fritidshuse;2450 København SV;0;0;0;0;0;0;0;0;2450_11
Parcel- og rækkehuse;2450 København SV;0;0;0;0;0;0;0;0;2450_11
Ejerlejligheder;2450 København SV;25.625999;25.601999;26.778;25.169001;27.695;27.605;29.115;30.738001;2450_15
Fritidshuse;2450 København SV;0;0;0;0;0;0;0;0;2450_15
Parcel- og rækkehuse;2450 København SV;0;0;0;0;0;0;0;0;2450_15
Ejerlejligheder;2450 København SV;15.757;15.281;16.429001;16.975;17.599001;18.607;18.849001;19.92;2450_5
Fritidshuse;2450 København SV;0;0;0;0;0;0;0;0;2450_5
Parcel- og rækkehuse;2450 København SV;0;0;0;0;0;0;0;0;2450_5
Ejerlejligheder;2450 København SV;28.862;28.811001;29.583;27.193001;27.195999;25.617001;23.959999;26.473;2450_7
Fritidshuse;2450 København SV;0;0;0;0;0;0;0;0;2450_7
Parcel- og rækkehuse;2450 København SV;0;0;0;0;0;0;0;0;2450_7
Ejerlejligheder;2500 Valby;18.379999;18.787001;19.364;19.381001;19.705999;20.582001;19.414;18.106001;2500_11
Fritidshuse;2500 Valby;0;0;0;0;0;0;0;0;2500_11
Parcel- og rækkehuse;2500 Valby;22.972;22.906;26.271999;25.997;22.962999;22.42;24.368;23.868999;2500_11
Ejerlejligheder;2500 Valby;21.607;20.205999;22.577999;22.982;23.392;23.752001;24.726999;26.143;2500_15
Fritidshuse;2500 Valby;0;0;0;0;0;0;0;0;2500_15
Parcel- og rækkehuse;2500 Valby;23.66;27.083;24.218;26.487;27.271;27.216;27.426001;29.723;2500_15
Ejerlejligheder;2500 Valby;16.486;16.323;16.763;17.665001;17.365999;18.184999;19.030001;20.292999;2500_5
Fritidshuse;2500 Valby;0;0;0;0;0;0;0;0;2500_5
