type;area;Q1_06;Q2_06;Q3_06;Q4_06;Q1_07;Q2_07;Q3_07;Q4_07
Parcel- og rækkehuse;3220 Tisvildeleje;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3230 Græsted;16.208;19.273;18.640;17.153;18.649;17.900;16.690;16.554
Parcel- og rækkehuse;3250 Gilleleje;20.536;19.333;24.833;21.474;22.216;23.394;18.714;20.529
Parcel- og rækkehuse;3300 Frederiksværk;15.303;17.099;18.440;18.470;18.383;18.491;18.296;17.507
Parcel- og rækkehuse;3310 Ølsted;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3320 Skævinge;16.096;19.483;18.977;20.509;22.080;20.644;18.902;19.110
Parcel- og rækkehuse;3330 Gørløse;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3360 Liseleje;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3370 Melby;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3390 Hundested;14.437;15.267;16.946;16.368;17.689;17.940;16.411;15.790
Parcel- og rækkehuse;3400 Hillerød;21.169;22.299;23.455;24.795;23.406;23.277;23.014;22.615
Parcel- og rækkehuse;3450 Allerød;21.931;23.963;27.119;26.504;25.334;22.397;25.008;23.224
Parcel- og rækkehuse;3460 Birkerød;27.265;28.174;28.642;31.573;28.948;30.851;27.162;28.654
Parcel- og rækkehuse;3480 Fredensborg;22.396;24.441;24.746;25.195;25.965;25.611;22.367;23.284
Parcel- og rækkehuse;3490 Kvistgård;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3500 Værløse;26.572;26.869;25.813;28.006;28.390;28.859;25.919;26.647
Parcel- og rækkehuse;3520 Farum;21.489;24.827;26.398;26.566;26.975;24.758;24.445;23.056
Parcel- og rækkehuse;3540 Lynge;19.396;21.887;23.670;0;0;27.092;23.517;21.724
Parcel- og rækkehuse;3550 Slangerup;19.436;20.625;23.042;24.055;21.774;22.029;22.263;20.828
Parcel- og rækkehuse;3600 Frederikssund;20.228;21.267;21.870;22.028;22.520;20.543;21.560;20.848
Parcel- og rækkehuse;3630 Jægerspris;14.711;15.799;14.576;15.349;16.940;16.553;17.762;15.866
Parcel- og rækkehuse;3650 Ølstykke;19.169;22.155;21.458;22.294;22.031;20.073;20.776;21.062
Parcel- og rækkehuse;3660 Stenløse;18.101;20.649;22.235;20.848;20.743;21.226;20.033;18.984
Parcel- og rækkehuse;3670 Veksø Sjælland;18.173;24.225;23.883;0;0;0;0;0
Parcel- og rækkehuse;3700 Rønne;6.898;7.862;8.315;7.975;8.607;8.832;8.871;8.946
Parcel- og rækkehuse;3720 Aakirkeby;5.016;5.867;5.040;5.179;5.526;5.745;5.822;5.543
Parcel- og rækkehuse;3730 Nexø;5.680;5.746;6.680;5.929;6.655;7.391;7.064;7.682
Parcel- og rækkehuse;3740 Svaneke;8.972;9.489;10.384;0;0;12.845;9.515;0
Parcel- og rækkehuse;3751 Østermarie;4.108;3.376;3.698;4.302;3.804;0;0;0
Parcel- og rækkehuse;3760 Gudhjem;5.452;0;0;6.364;6.594;10.187;11.212;0
Parcel- og rækkehuse;3770 Allinge;7.168;6.464;7.682;6.425;7.375;7.640;9.945;6.652
Parcel- og rækkehuse;3782 Klemensker;0;4.872;0;0;5.124;5.792;0;0
Parcel- og rækkehuse;3790 Hasle;6.307;6.191;5.265;7.209;6.395;7.426;5.857;6.672
Parcel- og rækkehuse;4000 Roskilde;20.332;23.578;24.130;24.849;23.256;24.604;25.043;22.089
Parcel- og rækkehuse;4030 Tune;20.429;20.616;20.994;20.726;19.890;21.659;20.850;19.792
Parcel- og rækkehuse;4040 Jyllinge;19.919;23.133;25.232;0;0;24.412;22.085;21.235
Parcel- og rækkehuse;4050 Skibby;13.346;13.432;14.257;14.384;14.336;15.140;15.682;16.372
Parcel- og rækkehuse;4060 Kirke Såby;15.740;15.623;0;0;14.735;16.185;15.737;0
Parcel- og rækkehuse;4070 Kirke Hyllinge;15.067;15.980;17.438;17.879;17.781;16.044;17.726;17.698
Parcel- og rækkehuse;4100 Ringsted;13.175;15.639;16.022;14.797;16.347;15.533;14.340;15.254
Parcel- og rækkehuse;4105 Ringsted;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;4130 Viby Sjælland;17.970;17.330;17.967;18.997;19.214;18.044;16.946;18.572
Parcel- og rækkehuse;4140 Borup;16.779;17.274;19.738;17.614;18.227;20.158;20.332;18.754
Parcel- og rækkehuse;4160 Herlufmagle;9.507;10.047;11.553;11.972;9.779;11.834;12.439;12.491
Parcel- og rækkehuse;4171 Glumsø;9.633;11.567;10.918;11.279;14.368;13.714;13.820;9.615
Parcel- og rækkehuse;4173 Fjenneslev;0;10.699;0;0;11.416;12.507;0;0
Parcel- og rækkehuse;4174 Jystrup Midtsj;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;4180 Sorø;13.402;15.462;15.690;15.719;15.067;15.920;16.956;16.465
Parcel- og rækkehuse;4190 Munke Bjergby;10.287;0;0;0;0;0;0;0
Parcel- og rækkehuse;4200 Slagelse;12.578;12.666;12.944;14.031;13.010;13.436;13.785;13.248
Parcel- og rækkehuse;4220 Korsør;9.950;10.576;10.556;10.944;12.084;11.261;12.519;11.970
Parcel- og rækkehuse;4230 Skælskør;8.768;7.098;7.881;9.765;9.042;10.040;9.943;10.147
Parcel- og rækkehuse;4241 Vemmelev;10.106;9.215;10.972;11.336;12.109;11.266;11.078;13.073
Parcel- og rækkehuse;4242 Boeslunde;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;4243 Rude;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;4250 Fuglebjerg;10.237;9.940;9.956;12.009;11.679;12.061;9.529;11.750
Parcel- og rækkehuse;4261 Dalmose;8.102;0;0;6.513;8.202;9.843;0;0
Parcel- og rækkehuse;4262 Sandved;0;8.906;8.707;10.048;9.742;8.511;9.333;0
Parcel- og rækkehuse;4270 Høng;7.358;8.903;11.224;11.202;11.581;11.254;11.453;10.787
Parcel- og rækkehuse;4281 Gørlev;8.579;8.247;10.657;8.847;10.954;9.843;9.830;10.110
Parcel- og rækkehuse;4291 Ruds Vedby;8.715;11.016;8.726;7.979;8.847;11.686;10.874;10.755
Parcel- og rækkehuse;4293 Dianalund;9.927;10.055;11.858;10.882;6.867;10.611;12.989;10.655
Parcel- og rækkehuse;4295 Stenlille;10.688;10.864;10.641;12.095;12.170;12.135;11.881;11.669
Parcel- og rækkehuse;4296 Nyrup;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;4300 Holbæk;15.134;16.881;16.121;17.356;17.125;18.079;18.030;17.134
Parcel- og rækkehuse;4320 Lejre;15.978;16.515;18.088;18.751;20.131;19.750;20.564;17.479
Parcel- og rækkehuse;4330 Hvalsø;12.963;16.246;0;0;16.318;13.938;16.612;18.071
Parcel- og rækkehuse;4340 Tølløse;12.352;14.675;15.232;15.769;15.408;14.280;15.401;15.077
