type;area;Q4_09;Q1_10;Q2_10;Q3_10;Q4_10;Q1_11;Q2_11;Q3_11
Parcel- og rækkehuse;1000 København K;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;1500 København V;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;1800 Frederiksberg C;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;2000 Frederiksberg;25.566;32.509;33.460;31.957;35.141;37.246;38.408;24.380
Parcel- og rækkehuse;2100 København Ø;27.498;26.227;26.740;30.892;32.960;32.200;36.079;37.624
Parcel- og rækkehuse;2200 København N;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;2300 København S;20.809;22.471;23.514;24.130;23.850;23.572;24.537;23.618
Parcel- og rækkehuse;2400 København NV;0;0;23.174;23.246;25.072;21.750;26.686;22.933
Parcel- og rækkehuse;2450 København SV;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;2500 Valby;22.972;22.906;26.272;25.997;22.963;22.420;24.368;23.869
Parcel- og rækkehuse;2600 Glostrup;17.735;18.039;18.068;18.703;17.917;17.727;16.500;17.539
Parcel- og rækkehuse;2605 Brøndby;17.922;17.010;18.057;18.845;17.821;17.318;19.414;18.055
Parcel- og rækkehuse;2610 Rødovre;17.522;18.575;19.185;19.087;20.774;18.165;20.142;18.359
Parcel- og rækkehuse;2620 Albertslund;15.393;16.531;16.077;14.905;16.199;15.806;15.680;15.007
Parcel- og rækkehuse;2625 Vallensbæk;18.096;18.461;19.127;17.944;18.119;20.939;19.313;17.012
Parcel- og rækkehuse;2630 Taastrup;16.407;17.146;17.034;17.864;16.838;16.054;16.916;17.182
Parcel- og rækkehuse;2633 Returpost;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;2635 Ishøj;15.648;13.968;15.381;16.471;16.576;15.061;15.589;14.671
Parcel- og rækkehuse;2640 Hedehusene;15.124;15.996;15.838;15.427;15.452;15.949;14.711;14.408
Parcel- og rækkehuse;2650 Hvidovre;17.142;19.088;19.285;19.367;18.225;19.620;19.829;17.555
Parcel- og rækkehuse;2660 Brøndby Strand;15.553;16.571;18.150;19.120;20.114;17.281;18.321;16.274
Parcel- og rækkehuse;2665 Vallensbæk Strand;19.550;18.672;19.982;20.006;18.903;20.023;19.134;18.722
Parcel- og rækkehuse;2670 Greve;17.836;16.774;17.471;17.481;15.896;17.561;16.838;16.779
Parcel- og rækkehuse;2680 Solrød Strand;17.103;18.407;19.936;20.504;19.369;20.885;18.752;18.548
Parcel- og rækkehuse;2690 Karlslunde;15.217;17.945;17.536;17.449;17.099;17.357;16.152;16.556
Parcel- og rækkehuse;2700 Brønshøj;21.370;22.188;22.556;22.418;21.134;21.783;23.905;21.050
Parcel- og rækkehuse;2720 Vanløse;21.738;22.994;24.080;23.390;24.884;22.931;25.244;26.489
Parcel- og rækkehuse;2730 Herlev;17.651;18.686;19.337;19.358;20.200;20.445;19.723;19.838
Parcel- og rækkehuse;2740 Skovlunde;19.345;18.110;20.310;18.673;20.470;19.563;19.653;18.806
Parcel- og rækkehuse;2750 Ballerup;18.538;17.352;20.522;18.394;19.479;20.297;18.822;18.329
Parcel- og rækkehuse;2760 Måløv;18.290;17.764;18.666;20.986;20.154;24.536;20.864;0
Parcel- og rækkehuse;2765 Smørum;18.947;17.559;19.004;19.155;19.011;18.492;19.667;19.639
Parcel- og rækkehuse;2770 Kastrup;18.456;18.384;19.213;19.485;19.799;19.511;19.802;19.296
Parcel- og rækkehuse;2791 Dragør;20.254;20.610;21.468;21.111;22.174;20.472;20.708;20.589
Parcel- og rækkehuse;2800 Kongens Lyngby;23.438;24.611;24.786;26.100;26.696;24.983;26.091;23.225
Parcel- og rækkehuse;2820 Gentofte;27.016;27.389;27.344;29.202;28.676;30.342;27.329;27.446
Parcel- og rækkehuse;2830 Virum;24.242;25.623;25.496;25.829;27.027;26.413;26.374;25.077
Parcel- og rækkehuse;2840 Holte;27.484;27.365;28.085;27.937;30.154;29.622;28.334;26.000
Parcel- og rækkehuse;2850 Nærum;0;0;24.570;24.839;23.468;25.131;24.032;22.686
Parcel- og rækkehuse;2860 Søborg;21.453;20.782;21.682;21.952;23.898;24.788;23.787;22.679
Parcel- og rækkehuse;2870 Dyssegård;22.422;25.357;25.397;25.349;26.705;27.609;26.066;27.903
Parcel- og rækkehuse;2880 Bagsværd;20.026;21.713;22.649;21.096;22.359;23.347;24.560;22.818
Parcel- og rækkehuse;2900 Hellerup;28.067;27.876;31.181;34.982;31.089;29.815;29.404;27.512
Parcel- og rækkehuse;2920 Charlottenlund;32.058;35.024;37.558;34.032;34.740;36.152;35.083;31.895
Parcel- og rækkehuse;2930 Klampenborg;35.490;37.136;38.918;39.560;36.139;37.630;40.839;34.463
Parcel- og rækkehuse;2942 Skodsborg;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;2950 Vedbæk;25.904;28.081;32.109;28.605;29.295;36.595;27.785;23.613
Parcel- og rækkehuse;2960 Rungsted Kyst;28.082;29.653;26.550;32.599;37.433;30.207;40.589;33.257
Parcel- og rækkehuse;2970 Hørsholm;21.554;21.680;22.667;22.498;23.807;23.680;23.638;21.553
Parcel- og rækkehuse;2980 Kokkedal;15.636;17.395;15.074;17.532;16.460;17.449;16.477;15.444
Parcel- og rækkehuse;2990 Nivå;19.481;15.312;18.214;17.996;19.080;18.802;19.002;17.992
Parcel- og rækkehuse;3000 Helsingør;16.419;16.719;15.926;18.533;15.396;15.839;16.605;15.659
Parcel- og rækkehuse;3050 Humlebæk;18.912;24.892;24.023;24.588;22.102;29.002;21.250;19.094
Parcel- og rækkehuse;3060 Espergærde;21.258;20.628;21.762;20.566;21.643;21.154;18.995;19.627
Parcel- og rækkehuse;3070 Snekkersten;0;19.516;24.419;18.508;18.839;20.676;19.506;26.119
Parcel- og rækkehuse;3080 Tikøb;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3100 Hornbæk;0;0;18.023;22.718;23.172;21.629;18.610;25.922
Parcel- og rækkehuse;3120 Dronningmølle;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3140 Ålsgårde;16.873;18.514;17.335;19.731;17.918;20.503;15.342;16.961
Parcel- og rækkehuse;3150 Hellebæk;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3200 Helsinge;13.529;13.554;13.991;13.796;13.514;12.763;13.867;11.011
Parcel- og rækkehuse;3210 Vejby;0;0;9.953;0;0;0;0;0
Parcel- og rækkehuse;3220 Tisvildeleje;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3230 Græsted;12.882;11.004;13.086;12.192;13.250;13.076;10.599;11.177
Parcel- og rækkehuse;3250 Gilleleje;14.459;14.577;15.636;15.545;20.817;15.628;16.226;15.078
Parcel- og rækkehuse;3300 Frederiksværk;12.400;11.033;11.672;11.149;10.410;10.201;10.611;11.138
Parcel- og rækkehuse;3310 Ølsted;0;0;0;8.553;0;0;0;0
Parcel- og rækkehuse;3320 Skævinge;12.760;12.223;14.541;15.053;16.018;14.212;13.692;12.050
Parcel- og rækkehuse;3330 Gørløse;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3360 Liseleje;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3370 Melby;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3390 Hundested;11.240;13.406;11.116;10.809;11.852;9.781;9.138;9.757
Parcel- og rækkehuse;3400 Hillerød;16.301;17.573;17.602;18.361;18.079;18.250;18.035;17.405
