type;area;Q4_09;Q1_10;Q2_10;Q3_10;Q4_10;Q1_11;Q2_11;Q3_11
Parcel- og rækkehuse;1000 København K;0;0;1;0;0;0;1;0
Parcel- og rækkehuse;1500 København V;2;0;0;1;2;1;2;0
Parcel- og rækkehuse;1800 Frederiksberg C;4;0;1;2;0;0;1;2
Parcel- og rækkehuse;2000 Frederiksberg;8;13;15;9;9;9;6;9
Parcel- og rækkehuse;2100 København Ø;6;10;5;6;16;7;6;12
Parcel- og rækkehuse;2200 København N;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;2300 København S;34;31;38;48;35;38;41;27
Parcel- og rækkehuse;2400 København NV;4;5;12;18;12;5;13;7
Parcel- og rækkehuse;2450 København SV;1;0;0;0;0;0;0;0
Parcel- og rækkehuse;2500 Valby;30;33;36;35;20;23;24;27
Parcel- og rækkehuse;2600 Glostrup;31;24;26;30;28;25;27;26
Parcel- og rækkehuse;2605 Brøndby;11;17;18;12;17;16;24;17
Parcel- og rækkehuse;2610 Rødovre;49;44;71;56;45;33;48;36
Parcel- og rækkehuse;2620 Albertslund;24;27;20;12;10;14;12;18
Parcel- og rækkehuse;2625 Vallensbæk;19;5;9;14;7;12;11;7
Parcel- og rækkehuse;2630 Taastrup;22;33;28;37;33;41;23;30
Parcel- og rækkehuse;2633 Returpost;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;2635 Ishøj;18;19;28;18;17;20;16;14
Parcel- og rækkehuse;2640 Hedehusene;19;23;17;15;20;24;18;19
Parcel- og rækkehuse;2650 Hvidovre;73;69;70;84;75;62;49;48
Parcel- og rækkehuse;2660 Brøndby Strand;7;9;18;12;7;7;6;9
Parcel- og rækkehuse;2665 Vallensbæk Strand;16;9;13;15;11;19;10;16
Parcel- og rækkehuse;2670 Greve;51;60;73;65;56;39;49;54
Parcel- og rækkehuse;2680 Solrød Strand;38;37;44;24;22;28;34;26
Parcel- og rækkehuse;2690 Karlslunde;17;21;20;18;25;14;18;16
Parcel- og rækkehuse;2700 Brønshøj;32;34;42;32;26;29;34;35
Parcel- og rækkehuse;2720 Vanløse;22;34;29;25;31;18;22;16
Parcel- og rækkehuse;2730 Herlev;46;36;40;37;46;18;33;35
Parcel- og rækkehuse;2740 Skovlunde;15;25;23;18;11;14;19;14
Parcel- og rækkehuse;2750 Ballerup;26;29;26;36;23;15;21;17
Parcel- og rækkehuse;2760 Måløv;16;7;8;8;6;8;5;3
Parcel- og rækkehuse;2765 Smørum;24;15;24;32;21;12;22;12
Parcel- og rækkehuse;2770 Kastrup;51;58;73;66;50;53;47;57
Parcel- og rækkehuse;2791 Dragør;28;46;42;48;36;28;26;18
Parcel- og rækkehuse;2800 Kongens Lyngby;57;48;65;67;42;37;43;23
Parcel- og rækkehuse;2820 Gentofte;47;35;36;26;34;31;28;25
Parcel- og rækkehuse;2830 Virum;52;54;52;55;41;34;47;33
Parcel- og rækkehuse;2840 Holte;41;40;41;38;22;24;30;28
Parcel- og rækkehuse;2850 Nærum;4;12;6;6;5;6;8;10
Parcel- og rækkehuse;2860 Søborg;22;26;37;34;30;26;37;30
Parcel- og rækkehuse;2870 Dyssegård;11;6;13;11;11;7;9;7
Parcel- og rækkehuse;2880 Bagsværd;23;32;35;26;27;21;25;13
